Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Thomas L Pulling,Executive Committee Member,Long Island University,,,"Managing Director, Asset Management, Salomon Smith Barney",324.0,,138873065.0,192448.0,True,Other Board Member
Eric Krasnoff,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",324.0,,138873065.0,192448.0,True,Overseer
Edward J Yodowitz,Affiliation: Senior Partner,Long Island University,,,"Skadden, Arps, Slate, Meagher & Flom LLP",325.0,,138873065.0,192448.0,True,Other Board Member
Bruce C Ratner,Trustee,Long Island University,,,"President and Chief Executive Officer, Forest City Ratner Companies",324.0,,138873065.0,192448.0,True,Overseer
John O Utendahl,Trustee,Long Island University,,,"President and Chief Executive Officer, Utendahl Capital Partners, L.P",325.0,,138873065.0,192448.0,True,Overseer
David J Steinberg,President,Long Island University,,,,325.0,,138873065.0,192448.0,True,Board President
Roger Tilles,Executive Committee Member,Long Island University,,,"Director, The Tilles Investment Company",325.0,,138873065.0,192448.0,True,Other Board Member
Ronald J Sylvestri,Trustee And Executive,Long Island University,,,"Vice President, Fleet Investment Committee Member Management",325.0,,138873065.0,192448.0,True,Overseer
Edward Travaglianti,"Chancellor, Brooklyn Campus",Long Island University,,,"Chairman and Chief Executive Officer, Committee Member",325.0,,138873065.0,192448.0,True,Board President
Msgr Thomas J Hartman,Trustee,Long Island University,,,"Director, Radio and Television, Telecare",324.0,,138873065.0,192448.0,True,Overseer
Paul Smith,Trustee,Long Island University,,,"Senior Minister, First Presbyterian Church Brooklyn Heights, NY",325.0,,138873065.0,192448.0,True,Overseer
Stephen P Kaufman,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Arrow Electronics, Inc",324.0,,138873065.0,192448.0,True,Overseer
Kathleen L Mccarthy,Vice Chairperson,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Board Vice President
Thomas R Von Der Ahe Sr,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Ellen Jordan Csj,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Fiorenza Courtright Lucas,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Robert B Lawton,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Thomas E Larkin,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Robert Forgnone,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
William E Hickman,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
John F Grundhofer,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Michael E Engh,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Bobert J Emmons,Vice Chairman,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Board Vice President
John F Oreilly,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Christopher C Wrather,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
R Chad Dreier,Chairman,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Board President
Avedick B Poladian,Vice Chairman,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Board Vice President
John F Cosgrove,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Joseph A Appleyard,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Javier R Uribe,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Joan Tracy Rshm,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Marilyn P Sutton,Vice Chairperson,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Board Vice President
Dorothy Babbitt Shea,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Joan A Payden,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Clarence L Shields,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Peter B Caloyeras,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Robert V Caro,Secretary,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Other Board Member
John A Mcmahon,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Sr Mary E Milligan,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Paul W Mikos,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
John J Piderit,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,True,Regent
Hamilton V Bowser Sr,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Evanbow Construction Company, Inc",366.0,,118118575.0,185828.0,True,Overseer
Christine B Whitman,Ex Officio Trustee,New Jersey Institute Of Technology,,Education: Wheaton (MA) 1968 BA,,366.0,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Anthony J Knapp,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Proprietor, Black Horse Inn",366.0,,118118575.0,185828.0,True,Overseer
Laura Bigley Battjer,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Battier & Associates",366.0,,118118575.0,185828.0,True,Overseer
W Stanley Brown,Trustee,New Jersey Institute Of Technology,,,Affiliation: Consultant,366.0,,118118575.0,185828.0,True,Overseer
Martin Tuchman,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Chairman and Chief Executive Officer, Interpool, Inc",366.0,,118118575.0,185828.0,True,Overseer
The Hon Sharpe James,Ex Officio Trustee,New Jersey Institute Of Technology,,Education: Montclair State BA; Springfield (MA) MA,"Career: Professor, Essex County College, 1968-86",366.0,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Victor A Pelson,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Director and Senior Advisor, SBC Warburg Dillion Read IncSwiss Bank Ctr. One, 677 Washington Blvd., Stamford, CT 06901 Tel: (203) 719-3000 Fax: (203) 719-5499",366.0,,118118575.0,185828.0,True,Overseer
Oswald L Cano,Trustee,New Jersey Institute Of Technology,,,"Affiliation: General Manager, Corporate Responsibilities, Public Service Electric and Gas Company",366.0,,118118575.0,185828.0,True,Overseer
James A Kennedy,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President and Chief Executive Officer, National Starch and Chemical Company",366.0,,118118575.0,185828.0,True,Overseer
John N Bain,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Carella, Byrne, Bain & Gilfillan",366.0,,118118575.0,185828.0,True,Overseer
Harry W Janes,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Other Board Member
Dean J Paranicas,Governor,Rutgers State University Of New Jersey,,,"Chairman, President and Chief Executive Officer, The Bank of New York, Inc48 Wall St., New York, NY 10005-2901 * Member of the Board",435.0,,102322142.0,186380.0,True,Trustee
Nancy K Lotstein,Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Trustee
Richard A Levao,Chairman,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Board President
Francis L Lawrence,President,Rutgers State University Of New Jersey,,Rutgers 1970 AB; Cornell 1973 JD,,435.0,,102322142.0,186380.0,True,Board President
Albert R Gamper,Governor,Rutgers State University Of New Jersey,,Rutgers BA; Harvard PMD,,435.0,,102322142.0,186380.0,True,Trustee
Thomas A Renyi,Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Trustee
Eugene Michael Ohara,Governor,Rutgers State University Of New Jersey,,Rutgers 1962 BS,,435.0,,102322142.0,186380.0,True,Trustee
John D Ruvolo,Student Representative Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Other Board Member
Ruben Cardona,Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Trustee
Mildred R Schildkamp,Secretary,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Other Board Member
Anne M Thomas,Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Trustee
Joan L Bildner,Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Trustee
Louie Crew,Faculty Representative Governor,Rutgers State University Of New Jersey,,Baylor 1958 BA; Auburn 1959 MA; Alabama 1971 PhD,"Associate Professor. Fort Valley State College, 1973-79; Associate Professor, University of Wisconsin, Stevens Point, 1979-84; Director, Writing Program, Chinese University, Hong Kong, 1984-87",435.0,,102322142.0,186380.0,True,Other Board Member
Kevin J Collins,Vice Chairman,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Board Vice President
Enrica Gloe Chretien,Assistant Secretary,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,True,Other Board Member
Frank E Walsh,Trustee,Seton Hall University,,,"Chairman, Sandy Hill Foundation",460.0,,12524447.0,186584.0,True,Regent
Most Paul G Bootkoski,Trustee,Seton Hall University,,,"Vicar General and Moderator of the Curia, Archdiocese of Newark",460.0,,12524447.0,186584.0,True,Regent
Kurt T Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc",460.0,,12524447.0,186584.0,True,Regent
Msgr John W Flesey Std,Dean,Seton Hall University,Immaculate Conception Seminary School Of Theology,,,460.0,,12524447.0,186584.0,True,Regent
Joseph P La Sala,Trustee,Seton Hall University,,,"Partner, McElroy, Deutsch & Mulvaney",460.0,,12524447.0,186584.0,True,Regent
Kent Manahan,Trustee,Seton Hall University,,,"Senior Anchor, New Jersey Network",460.0,,12524447.0,186584.0,True,Regent
Msgr John J Gilchrist,Trustee,Seton Hall University,,,"Pastor, Holy Cross Church",460.0,,12524447.0,186584.0,True,Regent
George M Ring,Trustee,Seton Hall University,,,"President and Chief Executive Officer, Wireless Cable International, Inc",460.0,,12524447.0,186584.0,True,Regent
Thomas Sharkey,Trustee,Seton Hall University,,,"Chairman and Chief Executive Officer, Meeker Sharkey Financial Group, Inc",460.0,,12524447.0,186584.0,True,Regent
A Zachary Yamba,Trustee,Seton Hall University,,,"President, Essex County College",460.0,,12524447.0,186584.0,True,Regent
Msgr Richard Liddy,Director,Seton Hall University,Center for Catholic Studies,,,460.0,,12524447.0,186584.0,True,Regent
Msgr Robert T Sheeran Std,Trustee,Seton Hall University,,,,460.0,,12524447.0,186584.0,True,Regent
Thomas R Peterson,Chancellor,Seton Hall University,,,,460.0,,12524447.0,186584.0,True,Board President
Most Theodore E Mccarrick,Chairman,Seton Hall University,,,Archbishop of Newark,460.0,,12524447.0,186584.0,True,Board President
Wanda Mcmahan,Vice Chairperson,Tennessee Board of Regents,,,,508.0,,63920570.0,221847.0,True,Board Vice President
John Morgan,Member,Tennessee Board of Regents,,Austin Pea State 1974 BS,"Comptroller, State of Tennessee",508.0,,63920570.0,221847.0,True,Regent
William Ransom Jones,Member,Tennessee Board of Regents,,,,508.0,,63920570.0,221847.0,True,Regent
J V Sailors,Ex Officio Member,Tennessee Board of Regents,,,"Executive Director, State Board of Education",508.0,,63920570.0,221847.0,True,"Regent, Ex Officio"
Brad Windley,Member,Tennessee Board of Regents,,,,508.0,,63920570.0,221847.0,True,Regent
The Hon Steve Adams,Treasurer,Tennessee Board of Regents,,Austin Pay State 1973 BS,"Treasurer, State of Tennessee",508.0,,63920570.0,221847.0,True,Other Board Member
Tony Scott England,Member,Tennessee Board of Regents,,,,508.0,,63920570.0,221847.0,True,Regent
Dale Kelley,Member,Tennessee Board of Regents,,,,508.0,,63920570.0,221847.0,True,Regent
Debby Patterson Koch,Secretary,Tennessee Board of Regents,,,,508.0,,63920570.0,221847.0,True,Other Board Member
Lisa Verble,Member,Tennessee Board of Regents,,,,508.0,,63920570.0,221847.0,True,Regent
Joe Lancaster,Member,Tennessee Board of Regents,,,,590.0,,94658018.0,220862.0,True,Regent
The Hon Riley C Darnell,Member,Tennessee Board of Regents,,Austin Pay State 1962 BS; Vanderbilt 1965 JD,"Secretary, State of Tennessee",508.0,,63920570.0,221847.0,True,Regent
A C Wharton,Chairman,Tennessee Board of Regents,,,"Chief Public Defender, County of Shelby, Tennessee",506.0,,75256744.0,221838.0,True,Board President
June Scobee Rodgers,Member,Tennessee Board of Regents,,,,506.0,,75256744.0,221838.0,True,Regent
Samuel H Miller,Trustee,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Regent
Edward J Ed Crawford Ill,Trustee,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Regent
Sally Florkiewicz,Trustee,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Regent
David G Hill,Vice Chairman,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Board Vice President
Carl D Glickman,Trustee,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Regent
William F Patient,Chairman,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Board President
Donna Phillips,Faculty Representative Trustee,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Other Board Member
Timothy J Cosgrove,Trustee,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Regent
Michael L Climaco,Treasurer,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Other Board Member
Kristi Marie Zofchak,Student Trustee,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Other Board Member
Earl W Williams,Vice Chairman,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Board Vice President
James N Walters Iv,Student Trustee,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Other Board Member
Vincent D Pettinelli,Secretary,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Other Board Member
Lynne S Dragomier,Trustee,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Regent
R Douglas Cowan,Trustee,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Regent
Vincent A Chiarucci,Chairman,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Board President
James M Biggar,Trustee,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Regent
Burton V Jones,Vice Chairman,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Board Vice President
Norbert Lewandowski,Trustee,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Regent
James R Schubert,Trustee,University System of Ohio,,,,309.0,,2802096936.0,203517.0,True,Regent
Tahlman Krumm,Chairman,University System of Ohio,,South Florida BA; Ohio State PhD,"Founder and Chairman, Inquest LLC",387.0,,2802096936.0,204796.0,True,Board President
Robert A Gardner,Ex Officio Regent,University System of Ohio,,Bowling Green State BA,"Member, Ohio Senate 2170 Chimney Ridge Rd., Madison, OH 44057",387.0,,2802096936.0,204796.0,True,"Trustee, Ex Officio"
Clifford J Isroff,Trustee,University System of Ohio,,,,533.0,,2802096936.0,200800.0,True,Regent
Gerald H Gordon,Secretary,University System of Ohio,,"Cleveland State BA, MA","President and Chief Operating Officer, Sun Media Corporation",554.0,,2802096936.0,201885.0,True,Other Board Member
Elizabeth K Lanier,Regent,University System of Ohio,,Smith BA; Columbia JD,"Vice President and General Counsel, GE Power Systems",554.0,,2802096936.0,201885.0,True,Trustee
Stephen A Perry,Regent,University System of Ohio,,Akron BS; Stanford MS,"Vice President, Human Resources and Logistics, The Timken Company; Chairman, Timken Mercy Medical Center; Chairman, Stark County District Library Board",554.0,,2802096936.0,201885.0,True,Trustee
J Gilbert Reese,Regent,University System of Ohio,,"Ohio State BA, JD","Senior Partner, Reese, Pyle, Drake and Mever",555.0,,2802096936.0,201885.0,True,Trustee
Gerald M Miller,Regent,University System of Ohio,,Dayton BA,"Chairman and Managing Partner, Miller-Valentine Group",554.0,,2802096936.0,201885.0,True,Trustee
Jeanette G Grasselli Brown,Vice Chairperson,University System of Ohio,,Ohio BS; Case Western MS,,554.0,,2802096936.0,201885.0,True,Board Vice President
Howard L Flood,Co-Chairman,University System of Ohio,,,,533.0,,2802096936.0,200800.0,True,Board President
Ralph E Schey,Regent,University System of Ohio,,Ohio BS; Harvard MBA,Chairman and Chief Executive Officer The Scott Fetzer Company,555.0,,2802096936.0,201885.0,True,Trustee
Thomas W Noe,Regent,University System of Ohio,,,"President, Vintage Coins and Cards",659.0,,2802096936.0,206084.0,True,Trustee
Nancy C Cribbs,University Legal Counsel,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Other Board Member
Michael L Gonidakis,Student Trustee,University System of Ohio,,,,533.0,,2802096936.0,200800.0,True,Other Board Member
Patricia L Graves,Trustee,University System of Ohio,,,,533.0,,2802096936.0,200800.0,True,Regent
Mark N Apte,Trustee,University System of Ohio,,,Member of the Board,533.0,,2802096936.0,200800.0,True,Regent
John A Fink,Trustee,University System of Ohio,,,,533.0,,2802096936.0,200800.0,True,Regent
Alex Arshinkoff,Chairman,University System of Ohio,,,,533.0,,2802096936.0,200800.0,True,Board President
Donald E Demkee,Trustee,University System of Ohio,,,Member of the Board,533.0,,2802096936.0,200800.0,True,Regent
Raymond D Meyo,Trustee,University System of Ohio,,,,533.0,,2802096936.0,200800.0,True,Regent
Monte Ahuja,Trustee,University System of Ohio,,,,206.0,,2802096936.0,202134.0,True,Regent
William T Roberts,Secretary,University of Louisiana System,,,,581.0,,2799628689.0,,True,Other Board Member
Scott Brame,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Virgil Robinson,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Harold Callais,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Herschel L Abbott,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Mary Ella Sanders,Chairperson,University of Louisiana System,,,,581.0,,2799628689.0,,True,Board President
Michael K Dees,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Reggie Dupre,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Ryan Gattistudent,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Richard E Daquin,Vice Chairman,University of Louisiana System,,,,581.0,,2799628689.0,,True,Board Vice President
Melvin Rambin,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Roland M Toups,Regent,University of Louisiana System,,,,582.0,,2799628689.0,,True,Member
Pat A Strong,Regent,University of Louisiana System,,,,582.0,,2799628689.0,,True,Member
Norbert A Simmons,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
John D Georges,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Frances T Henry,Regent,University of Louisiana System,,,,581.0,,2799628689.0,,True,Member
Brad Windley,Member,University of Tennessee System,,,,648.0,,2799495847.0,,True,Trustee
Lisa Verble,Member,University of Tennessee System,,,,648.0,,2799495847.0,,True,Trustee
Wanda Mcmahan,Vice Chairperson,University of Tennessee System,,,,648.0,,2799495847.0,,True,Board Vice President
The Hon Riley C Darnell,Member,University of Tennessee System,,Austin Pay State 1962 BS; Vanderbilt 1965 JD,"Secretary, State of Tennessee",648.0,,2799495847.0,,True,Trustee
