Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Notes,Career,AffiliationId,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Jonathan Loesberg,Trustee,American University,,,,137.0,,,181401687.0,131159.0,True,,,,Trustee
Jeffrey A. Sine,Trustee,American University,,,"Vice Chairman and Global Head, Technology, Media and Telecommunications, UBS Investment Bank",137.0,,,181401687.0,131159.0,True,,,,Trustee
Mark L. Schneider,Trustee,American University,,UC Berkeley; San Jose State,"Senior Vice President, International Crisis Group",137.0,,,181401687.0,131159.0,True,,,,Trustee
Margery Kraus,Trustee,American University,,"American U BA, MA","President and Chief Executive Officer, APCO Worldwide Inc",137.0,,,181401687.0,131159.0,True,,,,Trustee
Neal A. Sharma,Trustee,American University,,American U,"Chief Executive Officer, Digital Evolution Group",137.0,,,181401687.0,131159.0,True,,,,Trustee
Gary R. Weaver,Trustee,American University,,,,137.0,,,181401687.0,131159.0,True,,,,Trustee
Pamela M. Deese,Trustee,American University,,"American U 1980 BS, 1983 JD","Partner, Arent Fox LLP",137.0,,,181401687.0,131159.0,True,,,,Trustee
Regina L. Muehlhauser,Trustee,American University,,American U,"President, San Francisco Market, Bank of America",137.0,,,181401687.0,131159.0,True,,,,Trustee
John R. Schol,Trustee,American University,,,"Bishop, Baltimore-Washington Conference of The United Methodist Church",137.0,,,181401687.0,131159.0,True,,,,Trustee
Gary D. Cohn,Trustee,American University,,American U 1982,"President and Co-Chief Operating Officer, The Goldman Sachs Group, Inc",137.0,,,181401687.0,131159.0,True,,,,Trustee
Walter L. Wright,Vice Chairman,Andrews University,,,"President, Lake Union Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Board Vice President
Gary E. Randolph,Trustee,Andrews University,,,"Director, Office of Education, Lake Union Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Glynn Scott,Trustee,Andrews University,,,"Treasurer, Lake Union Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
"William G. C. Murdoch, Jr",Trustee,Andrews University,,,,140.0,,,102298084.0,168740.0,True,,,,Trustee
Niels-Erik A. Andreasen,Secretary of the Board,Andrews University,,,,139.0,,,102298084.0,168740.0,True,,,,Other Board Member
Matthew Bediako,Trustee,Andrews University,,,"Secretary, General Conference of Seventh-day Adventists
12501 Old Columbia PikeSilver Spring, MD 20904-6600",139.0,,,102298084.0,168740.0,True,,,,Trustee
Donald W. Corkum,Trustee,Andrews University,,,"President, Wisconsin Conference of Seventh-day Adventists
P.O. Box 7310, Madison, WI 53707-7310",139.0,,,102298084.0,168740.0,True,,,,Trustee
Jay Gallimore,Trustee,Andrews University,,,"Director, Education Department, General Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Lynne K. Waihee,Trustee,Andrews University,,,"President, Read To Me International Foundation",140.0,,,102298084.0,168740.0,True,,,,Trustee
Lynn S. Gray,Trustee,Andrews University,,,"Physician, Lakeland Regional Health System",140.0,,,102298084.0,168740.0,True,,,,Trustee
Dennis N. Carlson,Trustee,Andrews University,,,"President, Mid-America Union Conference of Seventh-day Adventists",139.0,,,102298084.0,168740.0,True,,,,Trustee
Steven G. Rose,Trustee,Andrews University,,,"Undertreasurer, General Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Edwin Hernandez,Trustee,Andrews University,,,,140.0,,,102298084.0,168740.0,True,,,,Trustee
Barbara J. Randall,Trustee,Andrews University,,,,140.0,,,102298084.0,168740.0,True,,,,Trustee
Bertil Wiklander,Trustee,Andrews University,,,"President, Trans-European Division, Seventh Day Adventist Church",140.0,,,102298084.0,168740.0,True,,,,Trustee
C. Garland Dulan,Trustee,Andrews University,,,"President, Illinois Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Jan Paulsen,Trustee,Andrews University,,,"President, General Conference of Seventh-das Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Jerome Davis,Trustee,Andrews University,,,"President, Lake Region Conference of Seventh-day Adventists
8517 South State Street, Chicago, IL 60619
Tel: (773) 846-2661",139.0,,,102298084.0,168740.0,True,,,,Trustee
Rodney A. Grove,Trustee,Andrews University,,,"Secretary, Lake Union Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Sandra K. Johnson,Trustee,Andrews University,,,"Vice President, Business Development, Risk Management and Compliance, Adventist Health System",140.0,,,102298084.0,168740.0,True,,,,Trustee
Jere D. Patzer,Trustee,Andrews University,,,"President, North Pacific Union Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Edward E. Zinke,Trustee,Andrews University,,,"President, Ann's House of Nuts",140.0,,,102298084.0,168740.0,True,,,,Trustee
David R. Rowe,Trustee,Andrews University,,,"Chief Executive Officer, Adventist Midwest Health",140.0,,,102298084.0,168740.0,True,,,,Trustee
Dolores E. Slikkers,Trustee,Andrews University,,,,140.0,,,102298084.0,168740.0,True,,,,Trustee
Harold Lee,Trustee,Andrews University,,,"President, Columbia Union Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Margaret McFarland,Trustee,Andrews University,,,,140.0,,,102298084.0,168740.0,True,,,,Trustee
Paul A. Stokstad,Trustee,Andrews University,,,"President, Pasco Scientific",140.0,,,102298084.0,168740.0,True,,,,Trustee
Dale E. Twomley,Trustee,Andrews University,,,,140.0,,,102298084.0,168740.0,True,,,,Trustee
Donald C. Schneider,Trustee,Andrews University,,,"President, North American District, General Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Ella L. S. Simmons,Trustee,Andrews University,,,"General Vice President, General Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Ernie W. Sadau,Trustee,Andrews University,,,,,,,102298084.0,168740.0,True,,,,Trustee
Ken Denslow,Trustee,Andrews University,,,"President, Michigan Conference of",140.0,,,102298084.0,168740.0,True,,,,Trustee
Robert E. Lemon,Trustee,Andrews University,,,"Treasurer, General Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Gerry D. Karst,Trustee,Andrews University,,,"Vice President, General Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Jairvon L. Lee,Trustee,Andrews University,,,"President, Northern Asia-Pacific Division of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Geoffrey Mbwana,Trustee,Andrews University,,,"President, East-Central Africa Division of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Max A. Trevino,Trustee,Andrews University,,,"President, Southwestern Union Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Gary Thurber,Trustee,Andrews University,,,"President, Indiana Conference of Seventh-day Adventists",140.0,,,102298084.0,168740.0,True,,,,Trustee
Janet Ann Napolitano,Ex Officio Regent,Arizona Board of Regents,,Santa Clara 1979 BS; Virginia 1983 JD,"Member, Arizona State Legislature (1979-1993)",513.0,,,203172682.0,105330.0,True,,,Arizona Board of Regents,"Regent, Ex Officio"
Tom Horne,Ex Officio Regent,Arizona Board of Regents,,,"Superintendent of Public Instruction (R), Education Department, State of Arizona",513.0,,,203172682.0,105330.0,True,,,Arizona Board of Regents,"Regent, Ex Officio"
Dennis W. DeConcini,Regent,Arizona Board of Regents,,"Arizona 1959, 1963 JD","Partner and Vice President (D), Parry, Romani, DeConcini & Symms",512.0,,,203172682.0,105330.0,True,,,Arizona Board of Regents,Regent
Anne L. Mariucci,Regent,Arizona Board of Regents,,Arizona,"President, Inlign Capital Partners",513.0,,,203172682.0,105330.0,True,,,Arizona Board of Regents,Regent
Robert Bulla,Regent,Arizona Board of Regents,,,"Chairman and Chief Executive Officer, Blue Cross and Blue Shield of Arizona",147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Joel Sideman,Executive Director,Arizona Board of Regents,,,,147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Fred DuVal,Treasurer,Arizona Board of Regents,,,"President, DuVal and Associates",147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Other Board Member
Fred Boice,President,Arizona Board of Regents,,Occidental,"Head, Boice Financial Company",147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Board President
Christina A. Palacios,Regent,Arizona Board of Regents,,,"Senior Vice President, Central Arizona Division, Southwest Gas Corporation",147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Ernest Calderon,Vice President,Arizona Board of Regents,,,"Attorney, Calderon Law Offices",147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Board Vice President
Mary Venezia,Student Regent,Arizona Board of Regents,,,,147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
David Martinez III,Student Regent,Arizona Board of Regents,,,,147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Gary Stuart,Regent,Arizona Board of Regents,,Arizona,,147.0,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Samuel L. Ginn,At Large Member,Auburn University,,Auburn 1959 BS,"Chairman, Vodafone AirTouch Ple (1999-2000)",150.0,,,82497590.0,100858.0,True,,,,Trustee
Ralph H. Zee,Associate Provost,Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Trustee
Virginia N. Thompson,Third Congressional District Trustee,Auburn University,,Auburn 1978,"Director, Marketing, East Alabama Medical Center",150.0,,,82497590.0,100858.0,True,,,,Trustee
D. Robert McGinnis,"Vice President, Development",Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Board Vice President
"Donald L. Large, Jr.",Executive Vice President,Auburn University,,,Type of Foundation: University Foundation,149.0,,,82497590.0,100858.0,True,,,,Board Vice President
Earlon C. McWhorter,At Large Member,Auburn University,,Auburn 1968 BS,"President, McWhorter and Co., Inc",150.0,,,82497590.0,100858.0,True,,,,Trustee
Grant Davis,Secretary to the Board of Trustees,Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Trustee
"John C. H. Miller, Jr",First Congressional District Trustee,Auburn University,,Duke; Alabama JD,"Partner, Miller, Hamilton, Snider & Odom, L.L.CP.O. Box 46, Mobile, AL 36601",150.0,,,82497590.0,100858.0,True,,,,Trustee
"Robert R. ""Bob"" Riley",Ex Officio President,Auburn University,,Alabama 1965 BS,"Governor (R), State of Alabama",150.0,,,82497590.0,100858.0,True,,,,"Board President, Ex Officio"
Sarah B. Newton,Seventh Congressional District Trustee,Auburn University,,Auburn 1974 BS; Alabama,"Principal, Fayette Elementary School 509 Second Street, NE, Fayette, AL 35555",150.0,,,82497590.0,100858.0,True,,,,Trustee
James W. Rane,Third Congressional District Trustee,Auburn University,,Auburn BS; Cumberland JD,"President and Chief Executive Officer, Great Southern Wood Preserving",150.0,,,82497590.0,100858.0,True,,,,Trustee
Dwight L. Carlisle,Fourth Congressional District Trustee,Auburn University,,Auburn 1958 BS,"Commissioner, Revenue Department, State of Alabama",150.0,,,82497590.0,100858.0,True,,,,Trustee
Charles D. McCrary,At Large Member,Auburn University,,Auburn 1973 BS; Birmingham 1978 JD,"President and Chief Executive Officer, Alabama Power Company 600 North 18th Street, Birmingham, AL 35203",150.0,,,82497590.0,100858.0,True,,,,Trustee
Robert E. Lowder,Second Congressional District Trustee,Auburn University,,Auburn 1964 BS,"Chairman, President and Chief Executive Officer, The Colonial BaneGroup, Inc100 Colonial Bank Boulevard, Montgomery, AL 36117",150.0,,,82497590.0,100858.0,True,,,,Trustee
"Rev. Byron Paul Franklin, Sr",Ninth Congressional District Trustee,Auburn University,,Auburn BS,"Director, Special Marketing and Public Relations, Buffalo Rock Co111 Oxmoor Road, Birmingham, AL 35209",150.0,,,82497590.0,100858.0,True,,,,Trustee
John G. Blackwell,Eighth Congressional District Trustee,Auburn University,,Auburn 1964 BS,,150.0,,,82497590.0,100858.0,True,,,,Trustee
Deborah Shaw,"Vice President, Alumni Affairs",Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Board Vice President
Nancy McDaniel,"Assistant Vice President, Student Life",Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Board Vice President
Yvonne Kozlowski,Librarian,Auburn University,,,,150.0,,,82497590.0,100858.0,True,,,,Other Board Member
Martha M. Taylor,"Assistant Vice President, Research",Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Board Vice President
"Paul J. Spina, Jr",Sixth Congressional District Trustee,Auburn University,,Auburn 1963 BS,,150.0,,,82497590.0,100858.0,True,,,,Trustee
Lee F. Armstrong,General Counsel,Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Other Board Member
Charles W. Bruce,Assistant Treasurer,Auburn University,,,,149.0,,,82497590.0,100858.0,True,,,,Other Board Member
Shauna Buring,Librarian,Auburn University,,,,150.0,,,82497590.0,100858.0,True,,,,Other Board Member
Richard J. Hall,Trustee,Ball State University,,,,156.0,,,198089087.0,150136.0,True,,,,Trustee
Kellie Conrad,Student Trustee,Ball State University,,,,156.0,,,198089087.0,150136.0,True,,,,Trustee
Marianne Glick,Trustee,Ball State University,,Ball State 1989 BS; Northwestern 1992 JD,"Chair, Economic Development Practice Group, Barnes & Thornburg LLP, 11 South Meridian Street, Indianapolis, IN 46204, Tel: (317) 231-7516",156.0,,,198089087.0,150136.0,True,,,,Trustee
Frank A. Bracken,Vice President,Ball State University,,,,156.0,,,198089087.0,150136.0,True,,,,Board Vice President
Hollis E. Hughes,Trustee,Ball State University,,,,156.0,,,198089087.0,150136.0,True,,,,Trustee
Frank Hancock,Trustee,Ball State University,,,,156.0,,,198089087.0,150136.0,True,,,,Trustee
Thomas L. DeWeese,President,Ball State University,,"Ball State 1968 BB, 1969",,156.0,,,198089087.0,150136.0,True,,,,Board President
Barbara Phillips,Trustee,Ball State University,,,Secretary,156.0,,,198089087.0,150136.0,True,,,,Trustee
Gregory S. Fehribach,Trustee,Ball State University,,"Ball State 1981, 1983; Ohio Northern 1985",,156.0,,,198089087.0,150136.0,True,,,,Trustee
"John G. Wilkerson, Jr",Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Rev. Duane Brooks,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
"William H. Brian, Jr",Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Anne Graham Lotz,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Stephen Carmack,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
R. Dary Stone,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Harold R. Cunningham,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Carl W. Bell,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Will D. Davis,Chairman,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Board President
Gary D. Elliston,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Donell Phillips Teaff,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Jim L. Turner,Vice Chairman,Baylor University,,Baylor BBA,,164.0,,,157394403.0,223232.0,True,,,,Board Vice President
Joe Edwin Coleman,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Wes Bailey,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Miles Jay Allison,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Joseph Brooks Armes,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Howard K. Batson,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Tommy L. Bowman,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
"Neal T. ""Buddy"" Jones",Regent,Baylor University,,"Baylor BA, JD",,164.0,,,157394403.0,223232.0,True,,,,Regent
Sue Holt Getterman,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Arthur Phillip Lineberger,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
"Albert C. Black, Jr",Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Randy Ferguson,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
"Ramiro Pena, Jr",Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Laree Estes Perez,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Minette Drumwright Pratt,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
John C. Reimers,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Belinda A. Reyes,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Stan Allcorn,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Rev. Bobby Charles Dagnel,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
James Alan Bowden,Regent,Baylor University,,,,164.0,,,157394403.0,223232.0,True,,,,Regent
Arthur Fraser,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Stanley Jantz,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
"Ronald Rallis, Sr",Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Hudson Saffell,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Michael Chang,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Jerry Reub,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Gorden Romberger,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Allan Kavalich,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Carol Hawkins,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Promod Haque,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Carol Lindskog,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Edgar R. Lehman,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Hannah Lee,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
David Mitchell,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Damoi Park,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Ray Johnson,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
John Siefker,Chairman,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Board President
David Karnes,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
William Bauer,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Dwight Hanger,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Dean Bursch,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Rosemarie Avila,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Kennith Thompson,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Wayne Lowell,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Robert Thompson,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
Barry H. Corey,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
G. Bradley Cole,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
William G. Billard,Trustee,Biola University,,,,168.0,,,152479009.0,110097.0,True,,,,Trustee
"Rev. Paul F. Harman, SJ",Secretary,Boston College,,,"Rector, Jesuit Community, Boston College",172.0,,,103531236.0,164924.0,True,,,,Other Board Member
Mario J. Gabelli,Trustee,Boston College,,Fordham 1965 BS; Columbia 1967 MBA,"Chairman, Chief Executive Officer and Chief Investment Officer, Value, GAMCO Investors, Inc",172.0,,,103531236.0,164924.0,True,,,,Trustee
"Thomas F. Ryan, Jr",Trustee,Boston College,,,,173.0,,,103531236.0,164924.0,True,,,,Trustee
Rev. Nicholas A. Sannella,Trustee,Boston College,,,,173.0,,,103531236.0,164924.0,True,,,,Trustee
Patrick T. Stokes,Chairman,Boston College,,Boston Col 1964 BA; Columbia 1966 MBA,"Chairman of the Board and Chief Executive Officer, Anheuser-Busch, Incorporated (2000-2006)",173.0,,,103531236.0,164924.0,True,,,,Board President
