Source,Target,board_size_source,board_size_target,shared_members,Year
Depaul University,University Of Illinois At Urbana Champaign,84,13,0.010416666666666666,1999
Iowa State University,University Of Iowa,9,9,1.0,1999
Kansas State University,University Of Kansas,9,9,0.8,1999
Mississippi State University,University Of Mississippi,12,11,0.7692307692307693,1999
New Mexico State University,University Of New Mexico,7,8,0.07142857142857142,1999
Middle Tennessee State University,University Of North Texas,10,9,0.05555555555555555,1999
New York University,University Of Notre Dame,45,54,0.01020408163265306,1999
New Jersey Institute Of Technology,University Of Notre Dame,59,54,0.008928571428571428,1999
Carnegie Mellon University,University Of Oklahoma,93,14,0.009433962264150943,1999
Oklahoma State University,University Of Oklahoma,20,14,0.13333333333333333,1999
Hofstra University,University Of Pittsburgh,39,51,0.011235955056179775,1999
Carnegie Mellon University,University Of Pittsburgh,93,51,0.006993006993006993,1999
Temple University,University Of Pittsburgh,40,51,0.011111111111111112,1999
Pennsylvania State University,University Of Pittsburgh,39,51,0.011235955056179775,1999
New Jersey Institute Of Technology,University Of Pittsburgh,59,51,0.009174311926605505,1999
Rochester Institute Of Technology,University Of Rochester,44,58,0.009900990099009901,1999
Johns Hopkins University,University Of Rochester,61,58,0.00847457627118644,1999
University Of Chicago,University Of Rochester,48,58,0.009523809523809525,1999
Auburn University,University Of South Alabama,12,19,0.06896551724137931,1999
University Of Alabama,University Of South Alabama,16,19,0.029411764705882353,1999
South Dakota State University,University Of South Dakota,9,10,0.35714285714285715,1999
Carnegie Mellon University,University Of Southern California,93,42,0.007462686567164179,1999
Loyola Marymount University,University Of Southern California,51,42,0.010869565217391304,1999
Mississippi State University,University Of Southern Mississippi,12,11,0.9166666666666666,1999
University Of Mississippi,University Of Southern Mississippi,11,11,0.8333333333333334,1999
Marquette University,University Of St Thomas Minnesota,32,38,0.014492753623188406,1999
University Of Notre Dame,University Of St Thomas Minnesota,54,38,0.01098901098901099,1999
University Of Oklahoma,University Of Tulsa,14,36,0.02040816326530612,1999
Carnegie Mellon University,University Of Tulsa,93,36,0.0078125,1999
University Of Utah,Utah State University,29,27,0.3333333333333333,1999
Seton Hall University,Villanova University,32,26,0.017543859649122806,1999
University Of North Carolina At Greensboro,Wake Forest University,6,42,0.02127659574468085,1999
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,11,11,0.047619047619047616,1999
Marshall University,West Virginia University,16,18,0.7894736842105263,1999
University Of Kansas,Wichita State University,9,9,1.0,1999
Kansas State University,Wichita State University,9,9,0.8,1999
Thomas Jefferson University,Widener University,32,26,0.017543859649122806,1999
Carnegie Mellon University,Worcester Polytechnic Institute,93,38,0.007692307692307693,1999
University Of Connecticut,Yale University,17,19,0.02857142857142857,1999
Brown University,University Of Rhode Island,54,16,0.014492753623188406,1999
Cleveland State University,University Of Akron,24,17,0.3225806451612903,1999
Cleveland State University,University Of Cincinnati,24,20,0.29411764705882354,1999
Cleveland State University,Ohio University,24,21,0.2857142857142857,1999
Cleveland State University,Kent State University,24,19,0.30303030303030304,1999
New Jersey Institute Of Technology,Princeton University,59,40,0.01020408163265306,1999
Ohio State University,University Of Akron,13,17,0.15384615384615385,1999
Ohio State University,University Of Cincinnati,13,20,0.13793103448275862,1999
Ohio State University,Ohio University,13,21,0.13333333333333333,1999
Kent State University,Ohio State University,19,13,0.14285714285714285,1999
Cleveland State University,Ohio State University,24,13,0.08823529411764706,1999
Catholic University Of America,Seton Hall University,41,32,0.013888888888888888,1999
Ohio University,University Of Toledo,21,22,0.34375,1999
University Of Akron,University Of Toledo,17,22,0.39285714285714285,1999
Kent State University,University Of Toledo,19,22,0.36666666666666664,1999
University Of Cincinnati,University Of Toledo,20,22,0.3548387096774194,1999
Ohio State University,University Of Toledo,13,22,0.12903225806451613,1999
Cleveland State University,University Of Toledo,24,22,0.2777777777777778,1999
New York University,Yeshiva University,45,97,0.0070921985815602835,1999
Hofstra University,Yeshiva University,39,97,0.007407407407407408,1999
Massachusetts Institute Of Technology,Yeshiva University,53,97,0.006711409395973154,1999
California Institute Of Technology,Chapman University,51,46,0.010416666666666666,2000
Carnegie Mellon University,Duquesne University,99,43,0.02158273381294964,2000
Brandeis University,Fordham University,49,36,0.011904761904761904,2000
Fordham University,Georgetown University,36,34,0.014492753623188406,2000
California Institute Of Technology,Harvard University,51,31,0.012345679012345678,2000
Howard University,Johns Hopkins University,18,65,0.012195121951219513,2000
Brown University,Johns Hopkins University,52,65,0.008620689655172414,2000
Cleveland State University,Kent State University,21,21,0.2727272727272727,2000
Andrews University,Loma Linda University,36,23,0.03508771929824561,2000
Boston College,Loyola University Chicago,45,30,0.013513513513513514,2000
Illinois Institute Of Technology,Loyola University Chicago,62,30,0.022222222222222223,2000
Creighton University,Loyola University Chicago,35,30,0.015625,2000
George Washington University,Marquette University,43,35,0.012987012987012988,2000
Johns Hopkins University,Massachusetts Institute Of Technology,65,53,0.008547008547008548,2000
Boston University,Massachusetts Institute Of Technology,53,53,0.009523809523809525,2000
East Tennessee State University,Middle Tennessee State University,19,19,1.0,2000
Georgetown University,New York University,34,51,0.011904761904761904,2000
Arizona State University,Northern Arizona University,11,11,0.8333333333333334,2000
Case Western Reserve University,Ohio State University,50,21,0.014285714285714285,2000
Hampton University,Old Dominion University,23,17,0.02564102564102564,2000
Polytechnic University,Rensselaer Polytechnic Institute,33,33,0.03125,2000
Dartmouth College,Rockefeller University,16,31,0.021739130434782608,2000
Georgetown University,Rockefeller University,34,31,0.015625,2000
Princeton University,Rockefeller University,39,31,0.014492753623188406,2000
New York University,Rockefeller University,51,31,0.012345679012345678,2000
Georgetown University,Saint Louis University,34,49,0.012195121951219513,2000
Lehigh University,Seton Hall University,38,38,0.013333333333333334,2000
Catholic University Of America,Seton Hall University,41,38,0.01282051282051282,2000
Rice University,Stanford University,18,34,0.0196078431372549,2000
Rockefeller University,Stanford University,31,34,0.015625,2000
Pennsylvania State University,Temple University,35,41,0.013333333333333334,2000
Middle Tennessee State University,Tennessee State University,19,33,0.5757575757575758,2000
East Tennessee State University,Tennessee State University,19,33,0.5757575757575758,2000
Middle Tennessee State University,Tennessee Technological University,19,33,0.5294117647058824,2000
Tennessee State University,Tennessee Technological University,33,33,0.8333333333333334,2000
East Tennessee State University,Tennessee Technological University,19,33,0.5294117647058824,2000
Brown University,Tufts University,52,35,0.011627906976744186,2000
Cleveland State University,University Of Akron,21,19,0.2903225806451613,2000
Kent State University,University Of Akron,21,19,0.3333333333333333,2000
Northern Arizona University,University Of Arizona,11,10,0.9090909090909091,2000
Arizona State University,University Of Arizona,11,10,0.75,2000
Tufts University,University Of Chicago,35,49,0.012048192771084338,2000
Illinois Institute Of Technology,University Of Chicago,62,49,0.00909090909090909,2000
Marquette University,University Of Chicago,35,49,0.012048192771084338,2000
New School University,University Of Chicago,41,49,0.011235955056179775,2000
New York University,University Of Connecticut,51,18,0.014705882352941176,2000
Georgetown University,University Of Connecticut,34,18,0.0196078431372549,2000
Marquette University,University Of Dayton,35,33,0.014925373134328358,2000
Tufts University,University Of Delaware,35,32,0.015151515151515152,2000
Georgetown University,University Of Delaware,34,32,0.015384615384615385,2000
Idaho State University,University Of Idaho,8,4,0.2,2000
Iowa State University,University Of Iowa,8,7,0.875,2000
Kansas State University,University Of Kansas,9,9,1.0,2000
Middle Tennessee State University,University Of Memphis,19,33,0.5757575757575758,2000
Tennessee State University,University Of Memphis,33,33,0.8857142857142857,2000
East Tennessee State University,University Of Memphis,19,33,0.5757575757575758,2000
Tennessee Technological University,University Of Memphis,33,33,0.9411764705882353,2000
Mississippi State University,University Of Mississippi,11,11,1.0,2000
New Mexico State University,University Of New Mexico,5,11,0.06666666666666667,2000
Massachusetts Institute Of Technology,University Of North Carolina At Greensboro,53,13,0.015384615384615385,2000
New York University,University Of Notre Dame,51,55,0.009523809523809525,2000
New Jersey Institute Of Technology,University Of Notre Dame,59,55,0.008849557522123894,2000
Carnegie Mellon University,University Of Oklahoma,99,12,0.00909090909090909,2000
Oklahoma State University,University Of Oklahoma,20,12,0.14285714285714285,2000
New York University,University Of Pennsylvania,51,60,0.00909090909090909,2000
Rockefeller University,University Of Pennsylvania,31,60,0.011111111111111112,2000
Pennsylvania State University,University Of Pittsburgh,35,51,0.023809523809523808,2000
Hofstra University,University Of Pittsburgh,31,51,0.012345679012345678,2000
New Jersey Institute Of Technology,University Of Pittsburgh,59,51,0.009174311926605505,2000
Temple University,University Of Pittsburgh,41,51,0.01098901098901099,2000
Carnegie Mellon University,University Of Pittsburgh,99,51,0.013513513513513514,2000
Loyola University Chicago,University Of San Diego,30,35,0.015625,2000
Loyola University Chicago,University Of San Francisco,30,43,0.013888888888888888,2000
Auburn University,University Of South Alabama,11,20,0.06896551724137931,2000
South Dakota State University,University Of South Dakota,8,9,0.21428571428571427,2000
Mississippi State University,University Of Southern Mississippi,11,11,1.0,2000
University Of Mississippi,University Of Southern Mississippi,11,11,1.0,2000
Marquette University,University Of St Thomas Minnesota,35,42,0.013157894736842105,2000
University Of Notre Dame,University Of St Thomas Minnesota,55,42,0.010416666666666666,2000
Cornell University,University Of Tulsa,46,35,0.0125,2000
University Of Utah,Utah State University,24,26,0.42857142857142855,2000
Seton Hall University,Villanova University,38,26,0.015873015873015872,2000
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,11,10,0.05,2000
Marshall University,West Virginia University,17,17,0.5454545454545454,2000
University Of Kansas,Wichita State University,9,9,1.0,2000
Kansas State University,Wichita State University,9,9,1.0,2000
Thomas Jefferson University,Widener University,37,26,0.016129032258064516,2000
Carnegie Mellon University,Worcester Polytechnic Institute,99,42,0.007142857142857143,2000
Stevens Institute Of Technology,Worcester Polytechnic Institute,36,42,0.012987012987012988,2000
New School University,Yale University,41,18,0.017241379310344827,2000
University Of Connecticut,Yale University,18,18,0.02857142857142857,2000
Hofstra University,Yeshiva University,31,96,0.007936507936507936,2000
Massachusetts Institute Of Technology,Yeshiva University,53,96,0.006756756756756757,2000
Columbia University,Yeshiva University,24,96,0.008403361344537815,2000
New York University,Yeshiva University,51,96,0.00684931506849315,2000
Brown University,University Of Rhode Island,52,16,0.014925373134328358,2000
Harvard University,Rockefeller University,31,31,0.01639344262295082,2000
Loyola Marymount University,University Of Notre Dame,84,55,0.007246376811594203,2000
Loyola Marymount University,University Of Southern California,84,44,0.007874015748031496,2000
Loyola Marymount University,Loyola University Chicago,84,30,0.008849557522123894,2000
Ohio State University,University Of Akron,21,19,0.2903225806451613,2000
Cleveland State University,Ohio State University,21,21,0.23529411764705882,2000
Kent State University,Ohio State University,21,21,0.2727272727272727,2000
Ohio University,University Of Akron,22,19,0.3225806451612903,2000
Ohio State University,Ohio University,21,22,0.2647058823529412,2000
Cleveland State University,Ohio University,21,22,0.2647058823529412,2000
Kent State University,Ohio University,21,22,0.30303030303030304,2000
Cleveland State University,University Of Cincinnati,21,21,0.2727272727272727,2000
Ohio University,University Of Cincinnati,22,21,0.30303030303030304,2000
University Of Akron,University Of Cincinnati,19,21,0.3333333333333333,2000
Kent State University,University Of Cincinnati,21,21,0.3125,2000
Ohio State University,University Of Cincinnati,21,21,0.2727272727272727,2000
Cleveland State University,University Of Toledo,21,21,0.2727272727272727,2000
Ohio University,University Of Toledo,22,21,0.30303030303030304,2000
University Of Akron,University Of Toledo,19,21,0.3333333333333333,2000
Kent State University,University Of Toledo,21,21,0.3125,2000
University Of Cincinnati,University Of Toledo,21,21,0.3125,2000
Ohio State University,University Of Toledo,21,21,0.2727272727272727,2000
California Institute Of Technology,Chapman University,54,48,0.009900990099009901,2005
Carnegie Mellon University,Duquesne University,98,35,0.015267175572519083,2005
Duke University,Emory University,36,35,0.014285714285714285,2005
Creighton University,Georgetown University,35,44,0.01282051282051282,2005
Fordham University,Georgetown University,38,44,0.012345679012345678,2005
California Institute Of Technology,Harvard University,54,41,0.021505376344086023,2005
Andrews University,Loma Linda University,32,22,0.10204081632653061,2005
Boston College,Loyola Marymount University,44,83,0.016,2005
Fordham University,Loyola University Chicago,38,66,0.009708737864077669,2005
Creighton University,Loyola University Chicago,35,66,0.01,2005
Boston College,Loyola University Chicago,44,66,0.018518518518518517,2005
Loyola University Chicago,Marquette University,66,40,0.009523809523809525,2005
Howard University,Massachusetts Institute Of Technology,26,49,0.013513513513513514,2005
Cornell University,Massachusetts Institute Of Technology,66,49,0.008771929824561403,2005
California Institute Of Technology,Massachusetts Institute Of Technology,54,49,0.019801980198019802,2005
Harvard University,Massachusetts Institute Of Technology,41,49,0.011235955056179775,2005
East Tennessee State University,Middle Tennessee State University,18,18,0.8,2005
Dartmouth College,New School University,17,47,0.015873015873015872,2005
Massachusetts Institute Of Technology,New School University,49,47,0.010526315789473684,2005
Cornell University,New School University,66,47,0.018018018018018018,2005
Columbia University,New York University,54,62,0.008695652173913044,2005
New School University,New York University,47,62,0.009259259259259259,2005
Georgetown University,New York University,44,62,0.009523809523809525,2005
Hofstra University,New York University,30,62,0.01098901098901099,2005
Arizona State University,Northern Arizona University,10,10,0.8181818181818182,2005
Clarkson University,Polytechnic University,28,37,0.015625,2005
Carnegie Mellon University,Princeton University,98,40,0.0072992700729927005,2005
Georgetown University,Rensselaer Polytechnic Institute,44,30,0.0136986301369863,2005
Cornell University,Rochester Institute Of Technology,66,54,0.008403361344537815,2005
Johns Hopkins University,Rockefeller University,71,37,0.009345794392523364,2005
Brown University,Rockefeller University,56,37,0.010869565217391304,2005
Massachusetts Institute Of Technology,Rockefeller University,49,37,0.011764705882352941,2005
Georgetown University,Rockefeller University,44,37,0.0125,2005
Princeton University,Rockefeller University,40,37,0.013157894736842105,2005
Dartmouth College,Rockefeller University,17,37,0.018867924528301886,2005
Brandeis University,Rockefeller University,51,37,0.011494252873563218,2005
Rockefeller University,Stanford University,37,37,0.0136986301369863,2005
Pennsylvania State University,Temple University,40,44,0.012048192771084338,2005
Middle Tennessee State University,Tennessee State University,18,18,0.7142857142857143,2005
East Tennessee State University,Tennessee State University,18,18,0.8947368421052632,2005
Middle Tennessee State University,Tennessee Technological University,18,18,0.8,2005
Tennessee State University,Tennessee Technological University,18,18,0.8947368421052632,2005
East Tennessee State University,Tennessee Technological University,18,18,1.0,2005
Brown University,Tufts University,56,36,0.01098901098901099,2005
Northern Arizona University,University Of Arizona,10,10,0.8181818181818182,2005
Arizona State University,University Of Arizona,10,10,1.0,2005
Tufts University,University Of Chicago,36,50,0.011764705882352941,2005
New York University,University Of Chicago,62,50,0.009009009009009009,2005
Princeton University,University Of Chicago,40,50,0.011235955056179775,2005
New School University,University Of Chicago,47,50,0.010416666666666666,2005
Illinois Institute Of Technology,University Of Chicago,60,50,0.009174311926605505,2005
New York University,University Of Connecticut,62,20,0.012345679012345678,2005
Georgetown University,University Of Connecticut,44,20,0.015873015873015872,2005
Idaho State University,University Of Idaho,8,8,1.0,2005
Iowa State University,University Of Iowa,8,8,0.7777777777777778,2005
Kansas State University,University Of Kansas,9,9,0.6363636363636364,2005
Tennessee Technological University,University Of Memphis,18,19,0.9473684210526315,2005
Middle Tennessee State University,University Of Memphis,18,19,0.7619047619047619,2005
Tennessee State University,University Of Memphis,18,19,0.85,2005
East Tennessee State University,University Of Memphis,18,19,0.9473684210526315,2005
Tufts University,University Of New Mexico,36,9,0.022727272727272728,2005
Massachusetts Institute Of Technology,University Of North Carolina At Greensboro,49,12,0.016666666666666666,2005
New Jersey Institute Of Technology,University Of Notre Dame,54,57,0.00909090909090909,2005
Oklahoma State University,University Of Oklahoma,19,16,0.25,2005
Rockefeller University,University Of Pennsylvania,37,61,0.020833333333333332,2005
New York University,University Of Pennsylvania,62,61,0.00819672131147541,2005
Temple University,University Of Pennsylvania,44,61,0.009615384615384616,2005
Pennsylvania State University,University Of Pennsylvania,40,61,0.01,2005
Temple University,University Of Pittsburgh,44,52,0.02127659574468085,2005
Carnegie Mellon University,University Of Pittsburgh,98,52,0.006711409395973154,2005
University Of Pennsylvania,University Of Pittsburgh,61,52,0.008928571428571428,2005
Pennsylvania State University,University Of Pittsburgh,40,52,0.01098901098901099,2005
Auburn University,University Of South Alabama,28,15,0.023809523809523808,2005
South Dakota State University,University Of South Dakota,10,10,0.8181818181818182,2005
University Of Notre Dame,University Of St Thomas Minnesota,57,34,0.011111111111111112,2005
Princeton University,University Of Virginia,40,17,0.017857142857142856,2005
University Of Utah,Utah State University,28,27,0.41025641025641024,2005
Harvard University,Vanderbilt University,41,64,0.009615384615384616,2005
University Of St Thomas Minnesota,Vanderbilt University,34,64,0.010309278350515464,2005
University Of Notre Dame,Vanderbilt University,57,64,0.008333333333333333,2005
Drexel University,Villanova University,41,27,0.014925373134328358,2005
University Of San Diego,Wake Forest University,36,44,0.012658227848101266,2005
George Washington University,Washington State University,33,10,0.023809523809523808,2005
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,11,21,0.03225806451612903,2005
Lehigh University,West Virginia University,33,15,0.02127659574468085,2005
University Of Kansas,Wichita State University,9,9,1.0,2005
Kansas State University,Wichita State University,9,9,0.6363636363636364,2005
Massachusetts Institute Of Technology,Yale University,49,16,0.015625,2005
Fordham University,Yeshiva University,38,95,0.007575757575757576,2005
Hofstra University,Yeshiva University,30,95,0.008064516129032258,2005
New York University,Yeshiva University,62,95,0.00641025641025641,2005
Columbia University,Yeshiva University,54,95,0.006756756756756757,2005
Johns Hopkins University,Loyola Marymount University,71,83,0.006535947712418301,2005
Loyola Marymount University,University Of San Francisco,83,44,0.007936507936507936,2005
Loyola Marymount University,Loyola University Chicago,83,66,0.006756756756756757,2005
Fordham University,Loyola Marymount University,38,83,0.008333333333333333,2005
Loyola Marymount University,University Of Southern California,83,46,0.023809523809523808,2005
Loyola Marymount University,University Of Notre Dame,83,57,0.007194244604316547,2005
Loyola Marymount University,University Of San Diego,83,36,0.00847457627118644,2005
New Jersey Institute Of Technology,Princeton University,54,40,0.010752688172043012,2005
California Institute Of Technology,Chapman University,59,48,0.009433962264150943,2007
Brandeis University,Columbia University,47,50,0.010416666666666666,2007
Brown University,Cornell University,57,169,0.0044444444444444444,2007
Columbia University,Cornell University,50,169,0.0045871559633027525,2007
Cornell University,Duke University,169,40,0.004807692307692308,2007
Boston College,Georgetown University,39,38,0.013157894736842105,2007
Fordham University,Georgetown University,38,38,0.02702702702702703,2007
Duke University,Johns Hopkins University,40,67,0.009433962264150943,2007
Andrews University,Loma Linda University,38,22,0.1111111111111111,2007
Cornell University,Long Island University,169,41,0.004784688995215311,2007
Boston College,Loyola Marymount University,39,91,0.007751937984496124,2007
Boston College,Loyola University Chicago,39,40,0.01282051282051282,2007
Fordham University,Loyola University Chicago,38,40,0.012987012987012988,2007
Cornell University,Massachusetts Institute Of Technology,169,50,0.0045871559633027525,2007
Howard University,Massachusetts Institute Of Technology,29,50,0.01282051282051282,2007
California Institute Of Technology,Massachusetts Institute Of Technology,59,50,0.018691588785046728,2007
Clemson University,Mercer University,83,47,0.007751937984496124,2007
East Tennessee State University,Middle Tennessee State University,16,16,1.0,2007
Massachusetts Institute Of Technology,New School,50,55,0.009615384615384616,2007
Cornell University,New School,169,55,0.009009009009009009,2007
Cornell University,New York University,169,57,0.0044444444444444444,2007
New School,New York University,55,57,0.009009009009009009,2007
Columbia University,New York University,50,57,0.009433962264150943,2007
Brandeis University,New York University,47,57,0.009708737864077669,2007
Clarkson University,Polytechnic University,28,31,0.017241379310344827,2007
New School,Princeton University,55,30,0.011904761904761904,2007
Cornell University,Rochester Institute Of Technology,169,53,0.004524886877828055,2007
Johns Hopkins University,Rockefeller University,67,38,0.009615384615384616,2007
Brandeis University,Rockefeller University,47,38,0.024096385542168676,2007
Massachusetts Institute Of Technology,Rockefeller University,50,38,0.011494252873563218,2007
Cornell University,Rockefeller University,169,38,0.0048543689320388345,2007
Dartmouth College,Rockefeller University,18,38,0.01818181818181818,2007
Princeton University,Rockefeller University,30,38,0.014925373134328358,2007
Georgetown University,Saint Louis University,38,41,0.01282051282051282,2007
Rensselaer Polytechnic Institute,St Johns University,32,39,0.014285714285714285,2007
Rice University,Stanford University,23,34,0.017857142857142856,2007
Rockefeller University,Stanford University,38,34,0.014084507042253521,2007
Middle Tennessee State University,Tennessee State University,16,16,0.8823529411764706,2007
East Tennessee State University,Tennessee State University,16,16,0.8823529411764706,2007
Middle Tennessee State University,Tennessee Technological University,16,16,1.0,2007
Tennessee State University,Tennessee Technological University,16,16,0.8823529411764706,2007
East Tennessee State University,Tennessee Technological University,16,16,1.0,2007
Drexel University,Thomas Jefferson University,40,38,0.012987012987012988,2007
Northern Arizona University,University Of Arizona,13,13,1.0,2007
Tufts University,University Of Chicago,39,50,0.011363636363636364,2007
Princeton University,University Of Chicago,30,50,0.02564102564102564,2007
Carnegie Mellon University,University Of Chicago,97,50,0.00684931506849315,2007
Illinois Institute Of Technology,University Of Chicago,25,50,0.013513513513513514,2007
New School,University Of Chicago,55,50,0.009615384615384616,2007
Idaho State University,University Of Idaho,7,3,0.42857142857142855,2007
Iowa State University,University Of Iowa,8,8,1.0,2007
Kansas State University,University Of Kansas,9,9,1.0,2007
Tennessee Technological University,University Of Memphis,16,16,0.8823529411764706,2007
Middle Tennessee State University,University Of Memphis,16,16,0.8823529411764706,2007
Tennessee State University,University Of Memphis,16,16,0.7777777777777778,2007
East Tennessee State University,University Of Memphis,16,16,0.8823529411764706,2007
Tufts University,University Of New Mexico,39,8,0.021739130434782608,2007
Massachusetts Institute Of Technology,University Of North Carolina At Greensboro,50,13,0.016129032258064516,2007
New Jersey Institute Of Technology,University Of Notre Dame,51,52,0.00980392156862745,2007
Oklahoma State University,University Of Oklahoma,18,16,0.3076923076923077,2007
New York University,University Of Pennsylvania,57,104,0.00625,2007
Pennsylvania State University,University Of Pennsylvania,33,104,0.007352941176470588,2007
California Institute Of Technology,University Of Pennsylvania,59,104,0.006172839506172839,2007
Pennsylvania State University,University Of Pittsburgh,33,51,0.024390243902439025,2007
University Of Pennsylvania,University Of Pittsburgh,104,51,0.006493506493506494,2007
Carnegie Mellon University,University Of Pittsburgh,97,51,0.0136986301369863,2007
Chapman University,University Of San Diego,48,38,0.011764705882352941,2007
Auburn University,University Of South Alabama,25,17,0.024390243902439025,2007
South Dakota State University,University Of South Dakota,10,10,0.8181818181818182,2007
Cornell University,University Of Southern California,169,51,0.0045662100456621,2007
Cornell University,University Of Tulsa,169,39,0.004830917874396135,2007
Princeton University,University Of Virginia,30,17,0.021739130434782608,2007
University Of Utah,Utah State University,28,26,0.38461538461538464,2007
New York University,Vanderbilt University,57,58,0.008771929824561403,2007
University Of St Thomas Minnesota,Vanderbilt University,41,58,0.01020408163265306,2007
New York University,Virginia Commonwealth University,57,16,0.013888888888888888,2007
University Of San Diego,Wake Forest University,38,43,0.0125,2007
George Washington University,Washington State University,33,10,0.023809523809523808,2007
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,11,11,0.047619047619047616,2007
University Of Kansas,Wichita State University,9,9,1.0,2007
Kansas State University,Wichita State University,9,9,1.0,2007
University Of Pennsylvania,Widener University,104,26,0.007751937984496124,2007
University Of Connecticut,Yale University,22,18,0.02564102564102564,2007
Massachusetts Institute Of Technology,Yale University,50,18,0.014925373134328358,2007
Fordham University,Yeshiva University,38,98,0.007407407407407408,2007
Johns Hopkins University,Yeshiva University,67,98,0.006097560975609756,2007
Cornell University,Yeshiva University,169,98,0.0037593984962406013,2007
Columbia University,Yeshiva University,50,98,0.006802721088435374,2007
Rockefeller University,Yeshiva University,38,98,0.007407407407407408,2007
Clemson University,Cleveland State University,83,14,0.021052631578947368,2007
California Institute Of Technology,Harvard University,59,35,0.010752688172043012,2007
Johns Hopkins University,Loyola Marymount University,67,91,0.006369426751592357,2007
Loyola Marymount University,University Of Notre Dame,91,52,0.007042253521126761,2007
Loyola Marymount University,University Of Southern California,91,51,0.02158273381294964,2007
Loyola Marymount University,University Of San Diego,91,38,0.0078125,2007
Columbia University,New Jersey Institute Of Technology,50,51,0.01,2007
New Jersey Institute Of Technology,University Of Chicago,51,50,0.01,2007
New Jersey Institute Of Technology,Princeton University,51,30,0.0125,2007
Baylor College Of Medicine,Baylor University,47,31,0.012987012987012988,2008
California Institute Of Technology,Chapman University,60,48,0.009345794392523364,2008
Brandeis University,Columbia University,48,74,0.008264462809917356,2008
Fordham University,Georgetown University,39,41,0.02564102564102564,2008
Boston College,Georgetown University,45,41,0.011764705882352941,2008
Boise State University,Idaho State University,7,6,0.8571428571428571,2008
Duke University,Johns Hopkins University,39,67,0.009523809523809525,2008
Andrews University,Loma Linda University,38,21,0.09259259259259259,2008
Boston College,Loyola University Chicago,45,38,0.012195121951219513,2008
Fordham University,Loyola University Chicago,39,38,0.013157894736842105,2008
Loyola University Chicago,Marquette University,38,40,0.012987012987012988,2008
California Institute Of Technology,Massachusetts Institute Of Technology,60,51,0.00909090909090909,2008
Howard University,Massachusetts Institute Of Technology,33,51,0.012048192771084338,2008
Cornell University,Massachusetts Institute Of Technology,51,51,0.009900990099009901,2008
Clemson University,Mercer University,70,46,0.008695652173913044,2008
East Tennessee State University,Middle Tennessee State University,14,14,0.8666666666666667,2008
Massachusetts Institute Of Technology,New School,51,58,0.009259259259259259,2008
