Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,FixedPosition
John J. Britton,Trustee,Clemson University,,,,,,,,8078737.0,217882.0,True,Member
"Leon J. ""Bill"" Hendrix, Jr.",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",,,,,8078737.0,217882.0,True,Board President
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, IncP.O. Box 23285, Columbia, SC 29224",,,,,8078737.0,217882.0,True,Member
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions111-D Jasmine Court, Greenwood, SC 29646",,,,,8078737.0,217882.0,True,Member
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",,,,,8078737.0,217882.0,True,Member
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, McTeer Real Estate, IncP.O. Box 11923, Columbia, SC 29211",,,,,8078737.0,217882.0,True,Member
Kevin Scott Bright,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Sheryl S. Levy,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Jacqueline W. Liebergott,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Jonathan F. Miller,Trustee,Emerson College,,,"Partner, Velocity Interactive Group 305 Lytton Avenue, Palo Alto, CA 94301 Tel: (650) 325-9600 Education: Harvard 1980 AB",,,,,87650153.0,165662.0,False,Overseer
Steven Samuels,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Peter Meade,Chairman,Emerson College,,,"Managing Director, Rasky Baerlein Strategic Communications 70 Franklin Street, 3rd Floor, Boston, MA 02110 Tel: (617) 443-9933",,,,,87650153.0,165662.0,False,Board President
"James A. Aloisi, Jr",Trustee,Emerson College,,"Boston Col 1975 BA, 1978 JD; Harvard 1998 ALM",,,,,,87650153.0,165662.0,False,Overseer
Bobbi Brown,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Eric Alexander,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Max Mutchnick,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
"Lawrence ""Larry"" Rasky",Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Nancy Ryan,A Miliation,Emerson College,,,"President, ProMedia, IncFresh",,,,,87650153.0,165662.0,False,Overseer
Lucille S. Salhanyoo,Trustee,Emerson College,,,"President and Chief Executive Officer, JHMedia",,,,,87650153.0,165662.0,False,Overseer
Michael Carson,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Terry S. Semel,Trustee,Emerson College,,Long Island 1964 BSAcc,,,,,,87650153.0,165662.0,False,Overseer
Vincent J. Di Bona,Vice Chairman,Emerson College,,,,,,,,87650153.0,165662.0,False,Board Vice President
Suzan Johnson Cook,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Gary Grossman,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Doug A. Herzog,Trustee,Emerson College,,Emerson BS,,,,,,87650153.0,165662.0,False,Overseer
Douglas V. Holloway,Trustee,Emerson College,,Emerson 1976 BS; Columbia 1978 MBA,,,,,,87650153.0,165662.0,False,Overseer
"Albert M. ""Al"" Jaffe",Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Richard Janssen,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
"Judith ""Judy"" Huret",Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Jeffrey Greenhawt,Treasurer,Emerson College,,,,,,,,87650153.0,165662.0,False,Other Board Member
Tony Goldman,Trustee,Emerson College,,Emerson 1965,,,,,,87650153.0,165662.0,False,Overseer
Sandra Goldfarb,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Linda Gersh,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
Robert Friend,Trustee,Emerson College,,,,,,,,87650153.0,165662.0,False,Overseer
"Thomas E. ""Tom"" Freston",Trustee,Emerson College,,St Michael's BA; NYU MBA,,,,,,87650153.0,165662.0,False,Overseer
Linda Schwartz,Trustee,Emerson College,,,"President, Firm Affairs, Inc47 River Street, Wellesley, MA 02481 Tel: (781) 239-0022",,,,,87650153.0,165662.0,False,Overseer
Harry F. Magnuson,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Donald H. Herak,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"Rev. William E. Hayes, S.J",Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Walter J. Conn,Trustee,Gonzaga University,,Santa Clara BA,,,,,,119888943.0,235316.0,False,Regent
J. Donald Curran,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Timothy Barnard,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
James R. Jundt,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
John M. Stone,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Thomas B. Tilford,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"Rev. Kevin Waters, S.J",Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"Alvin J. ""Pappy"" Wolff, Jr",Trustee,Gonzaga University,,,Chief Executive Officer. The Wolff Companies,,,,,119888943.0,235316.0,False,Regent
Patrick J. West,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Fred Brown,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"Rev. Robert J. Spitzer, S.J",Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"Rev. Joseph W. Koterski, S.J",Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"Michael Moynahan, S.J",Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
John Luger,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Elizabeth Hanson,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Harry H. Sladich,Secretary,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Other Board Member
Gerald A. Schwalbach,Trustee,Gonzaga University,,,"Chairman, Spensa Development Group, LLC",,,,,119888943.0,235316.0,False,Regent
William M. Pohlad,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Michael A. Patterson,Chairman,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Board President
Donald P. Nelles,Vice Chairman,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Board Vice President
Angelo R. Mozilo,Trustee,Gonzaga University,,Fordham 1960 BS,"Chairman and Chief Executive Officer, Countrywide Financial Corporation (2003-2008)",,,,,119888943.0,235316.0,False,Regent
Scott L. Morris,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Philip G. McCarthey,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
John McCann,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Shannon McCambridge,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
Gerri Craves,Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"Rev. Robert V. Lyons, S.J",Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
"David Leigh, S.J",Trustee,Gonzaga University,,,,,,,,119888943.0,235316.0,False,Regent
James F. Rothenberg,Fellow,Harvard University,,"Harvard 1968 AB, 1970 MBA","Chairman and Principal Executive Officer, Capital Research & Management Company",,,,,136199984.0,166027.0,True,Overseer
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Professor of Law, Georgetown University",,,,,136199984.0,166027.0,True,Overseer
James F. Rothenberg,Treasurer,Harvard University,,"Harvard 1968 AB, 1970 MBA","Chairman and Principal Executive Officer, Capital Research & Management Company",,,,,136199984.0,166027.0,True,Other Board Member
"Robert E. ""Bob"" Rubin",Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Senior Counselor, Executive Committee, Citigroup Inc399 Park Avenue, New York, NY 10022",,,,,136199984.0,166027.0,True,Overseer
James R. Houghton,Fellow,Harvard University,,"Harvard 1958 AB, 1962 MBA","Chairman and Chief Executive Officer, Corning Incorporated (2002-2005)",,,,,136199984.0,166027.0,True,Overseer
Nannerl Overholser Keohane,Fellow,Harvard University,,Wellesley 1961 BA: Oxford (UK) 1963 BA. MA: Yale 1967 PhD,"Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Princeton University",,,,,136199984.0,166027.0,True,Overseer
Robert D. Reischauer,Fellow,Harvard University,,"Harvard 1963 AB; Columbia 1966 MIA, 1971 PhD",,,,,,136199984.0,166027.0,True,Overseer
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Michael R. Steed,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Liam E. McGee,Trustee,Loyola Marymount University,,UC San Diego; Pepperdine MBA; Loyola Law JD,,,,,,35566140.0,117946.0,True,Regent
John A. McMahon,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Paul W. Mikos,Vice Chairman,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Board Vice President
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA; UCLA 1981 MBA,,,,,,35566140.0,117946.0,True,Regent
Stephen M. Mosko,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Susan F. Moley,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Jeffrey P. von Arx, S.J",Trustee,Loyola Marymount University,,Princeton 1969 AB; Yale 1973 MA. 1975 MPhil 1980 PhD; Weston Theology 1981 MDiv,,,,,,35566140.0,117946.0,True,Regent
Walter F. Ulloa,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Elbridge H. Stuart III,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Robert W. Scholla, S.J",Secretary,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Other Board Member
"Edward P. Roski, Jr",Trustee,Loyola Marymount University,,USC 1962 BS,,,,,,35566140.0,117946.0,True,Regent
"Rev. Kevin P. Quinn, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,,,,,35566140.0,117946.0,True,Regent
Stephen F. Page,Trustee,Loyola Marymount University,,Loyola Marymount,,,,,,35566140.0,117946.0,True,Regent
"Rev. Robert B. Lawton, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Rosemary L. Turner,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Thomas E. Larkin, Jr.",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,,,,,35566140.0,117946.0,True,Regent
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Daniel K. Lahart, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Larry R. Carter,Trustee,Loyola Marymount University,,Arizona State 1974 BS,,,,,,35566140.0,117946.0,True,Regent
"Rudy F. deLeon, JrTrusted",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Deborah Lanni,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
John F. Cosgrove,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Alex Chaves, SrTrusted",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Robert C. Baker,Trustee,Loyola Marymount University,,Yale 1956 BA. 1959 LLB,,,,,,35566140.0,117946.0,True,Regent
"Sister Rita Arthur, RSHM",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Kathleen Hannon Aikenhead,Vice Chairman,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Board Vice President
Frederick B. Craves,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
R. Chad Dreier,Chairman,Loyola Marymount University,,Loyola Marymount 1969 BS,,,,,,35566140.0,117946.0,True,Board President
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
George A.V. Dunning,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Paul J. Fitzgerald, S.J",Trustee,Loyola Marymount University,,"Santa Clara 1980 BA; Weston Theology 1991 MDiv, 1993",,,,,,35566140.0,117946.0,True,Regent
"Rev. Robert T. Walsh, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Laura D. Williamson,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Sister Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Thomas G. Hynes,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Michael A. Enright,Chairman,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Board President
Kathleen McCarthy Duncan,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
Jacqueline Powers Doud,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
Monsignor Clement J. Connolly,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
James A. Cole,Trustee,Mount St Marys College,,,"General Partner, Windward Ventures, L.P600 B Street, Suite 1850, San Diego, CA 92101",,,,,4210134096.0,163462.0,False,Regent
Thomas J. Blumenthal,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
James R. Belardi,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
Helen S. Astin,Trustee,Mount St Marys College,,Stanford 1979 BA; UCLA 1981 MBA,,,,,,4210134096.0,163462.0,False,Regent
Joseph J. Kearns,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
Valerie Zavala,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
Joseph M. Waechter,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
James J. Flanigan,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
"Sister Marilyn Binder, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1965,,,,,,4210134096.0,163462.0,False,Regent
"Sister Joan Henehan, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1963,,,,,,4210134096.0,163462.0,False,Regent
"Sister Catherine Marie Kreta, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1961,,,,,,4210134096.0,163462.0,False,Regent
Jane Luecke Johnson,Trustee,Mount St Marys College,,Mount St Mary's 1964,,,,,,4210134096.0,163462.0,False,Regent
"Thomas E. Larkin, Jr",Trustee,Mount St Marys College,,Notre Dame 1961 BA,,,,,,4210134096.0,163462.0,False,Regent
Karl H. Loring,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
Monica S. Luechtefeld,Trustee,Mount St Marys College,,Mount St Mary's 1971 BS,,,,,,4210134096.0,163462.0,False,Regent
Joan Otomo-Corgel,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
"Sister Jill Marie Napier, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1971,,,,,,4210134096.0,163462.0,False,Regent
A. Barry Patmore,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
Judith R. McDonald,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
"Sister Miriam Therese Larkin, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1953,,,,,,4210134096.0,163462.0,False,Regent
Jack H. Schuster,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
"Sister Mary McKay, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1967,,,,,,4210134096.0,163462.0,False,Regent
Phyllis L. Hennigan,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
William H. Elliott,Trustee,Mount St Marys College,,,,,,,,4210134096.0,163462.0,False,Regent
"Sister Mary Patricia Rosholt, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1964,,,,,,4210134096.0,163462.0,False,Regent
Diane Montalto,Trustee,New Jersey Institute Of Technology,,,"Senior Director, Corporate Engineering and Facilities Management, Par Pharmaceutical Companies, Inc. bae insbi 300 Tice Boulevard, Woodcliff Lake, NJ 07677",,,,,118118575.0,185828.0,True,Overseer
Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,,"President. Verizon New Jersey Inc140 West Street, New York, NY 10007",,,,,118118575.0,185828.0,True,Overseer
David J. Samuel,Trustee,New Jersey Institute Of Technology,,,"Managing Partner, CME Associates",,,,,118118575.0,185828.0,True,Overseer
Stephen P. DePalma,Vice Chairmar,New Jersey Institute Of Technology,,NJIT 1972,"President and Chief Executive Officer, Schoor DePalma",,,,,118118575.0,185828.0,True,Board Vice President
"Elizabeth ""Liz"" Garcia",Trustee,New Jersey Institute Of Technology,,,"Manager, Public Affairs, Infineum",,,,,118118575.0,185828.0,True,Overseer
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,"Owner, Black Horse Inn",,,,,118118575.0,185828.0,True,Overseer
Arthur F. Powell,Trustee,New Jersey Institute Of Technology,,,"President, Powell Capital Markets, Inc",,,,,118118575.0,185828.0,True,Overseer
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,,,,,,118118575.0,185828.0,True,Overseer
Kevin F. Toolan.V,Trustee,New Jersey Institute Of Technology,,,"President and Chairman of the Board, T&M Associates",,,,,118118575.0,185828.0,True,Overseer
James M. Burns,Vice Chairman,New Jersey Institute Of Technology,,,"Affiliation: Partner, Genova, Burns & Vernoia",,,,,118118575.0,185828.0,True,Board Vice President
Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,"Stanford 1991 BA, 1992 MA; Yale 1997 JD","Mayor, Office of the Mayor, City of Newark, New Jersey City Hall, 920 Broad Street. Room 200, Newark, NJ 07102 Tel: (973) 733-6400",,,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,President. New Jersey Alliance for Action,,,,,118118575.0,185828.0,True,Overseer
Jon S. Corzine,Ex Officio Trustee,New Jersey Institute Of Technology,,Illinois 1969 BA; Chicago 1973 MBA,"Governor (D), State of New Jersey P.O. Box 001, Trenton, NJ 08625 rviewoll neel, Tel: (609) 292-6000",,,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris Holdings",,,,,118118575.0,185828.0,True,Overseer
Robert A. Laudicina. wow.Ww,Governor,Rutgers State University Of New Jersey,,"Rutgers 1963 BA, 1965. MA; Columbia 1968 PhD save",,,,,,102322142.0,186380.0,True,Trustee
Eugene Michael O'Hara,Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1962 BS,"Chief Financial Officer, Prudential Insurance Company of America",,,,,102322142.0,186380.0,True,Trustee
Richard L. McCormick,President,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Board President
Patricia Nachtigal,Vice Chairman,Rutgers State University Of New Jersey,,Montclair State Col 1968 BA; Rutgers (Newark) 1976 JD; NYU 1982 LLM,"Senior Vice President and General Counsel, or Ingersoll-Rand Company Limited P.O. Box 445, Montvale, NJ 07645-0445 Tel: (201) 573-3473",,,,,102322142.0,186380.0,True,Board Vice President
