Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample
Harriet M. King,Trustee,Agnes Scott College,,,"Senior Vice Provost, Academic Affairs and Associate Professor, Law, Emory University",114.0,,64506506.0,138600.0,False
Kay Lawther Krill,Trustee,Agnes Scott College,,,"Executive Vice President, Ann Taylor, IncNew York, NY",114.0,,64506506.0,138600.0,False
Christopher M. Little,Trustee,Agnes Scott College,,,"President, Meredith Corporation Publishing Group Des Moines. IA",114.0,,64506506.0,138600.0,False
Susan M. Lowance,Trustee,Agnes Scott College,,,"Director, Executive Education, Sloan Fellows Program, Massachusetts Institute of Technology Cambridge, MA",114.0,,64506506.0,138600.0,False
Clair McLeod Muller,Trustee,Agnes Scott College,,,"Council Member, Atlanta City Council",114.0,,64506506.0,138600.0,False
Louise H. Reaves,Trustee,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Sally A. Skardon,Trustee,Agnes Scott College,,,"Senior Vice President, NationsBank, N.ATampa, FL",115.0,,64506506.0,138600.0,False
Susan G. Smathers,Trustee,Agnes Scott College,,,"Attorney Jacksonville, FL",115.0,,64506506.0,138600.0,False
Jesse J. Spikes,Trustee,Agnes Scott College,,,"Attorney, Long, Aldridge & Norman",115.0,,64506506.0,138600.0,False
"W. G. Tittle, Jr",Trustee,Agnes Scott College,,,"Chief Executive Officer, T. MPolyfim, IncValdosta, GA",115.0,,64506506.0,138600.0,False
Jean H. Toal,Trustee,Agnes Scott College,,,"Senior Associate Justice, Supreme Court of South Carolina Columbia, SC",115.0,,64506506.0,138600.0,False
Sara E. Vagliano,Trustee,Agnes Scott College,,,"Norfolk, CT",115.0,,64506506.0,138600.0,False
Dan C. West,Trustee,Agnes Scott College,,,"Vice President, Swarthmore College Swarthmore, PA",115.0,,64506506.0,138600.0,False
E. Jenner Wood III,Trustee,Agnes Scott College,,,"Executive Vice President, Trust and Investment Services, SunTrust Banks, Inc611 East Porter Street, Albion, MI 49224 Tel: (517) 629-1000 Internet: http://www.albion.edu Enrollment: Over 1,500 Faculty: Over 100 Administration President Peter T. Mitchell* (517) 629-1000",115.0,,64506506.0,138600.0,False
Peter T. Mitchell,President,Albion College,,Albion 1967 BA; Michigan 1968 MA; Indiana 1972 EdS; Northeastern 1981 EdD,,,,45644089.0,168546.0,False
Karla J. Hammond,Assistant,Albion College,,Albion 1989 BA,,115.0,,45644089.0,168546.0,False
Jean Bachus,Executive Secretary,Albion College,,,,115.0,,45644089.0,168546.0,False
Jeffrey C. Carrier,"Vice President, Academic Affairs",Albion College,Academic Affairs and Dean of Faculty,"Miami 1971 BS. 1973 MS, 1974 PhD",,115.0,,45644089.0,168546.0,False
Jeffrey C. Carrier,Dean Of Faculty,Albion College,Academic Affairs and Dean of Faculty,"Miami 1971 BS. 1973 MS, 1974 PhD",,115.0,,45644089.0,168546.0,False
Marlene R. Kondelik,Assistant,Albion College,,Miami 1959 AB; Florida State 1966 MS,,115.0,,45644089.0,168546.0,False
Lori Duff,Administrative Assistant,Albion College,,,,115.0,,45644089.0,168546.0,False
Robert E. Johnson,"Vice President, Enrollment",Albion College,,,,115.0,,45644089.0,168546.0,False
Helen Bungart,Executive Secretary,Albion College,,,,115.0,,45644089.0,168546.0,False
Dale R. Dopp,"Vice President, Finance and Management",Albion College,,Siena Heights 1975 BA,,115.0,,45644089.0,168546.0,False
Cynthia A. Aschemeier,Administrative Assistant,Albion College,,,,115.0,,45644089.0,168546.0,False
Troy D. Vanaken,"Vice President, Information Technology",Albion College,,,,115.0,,45644089.0,168546.0,False
"Ben E. Hancock, Jr.","Vice President, Institutional Advancement",Albion College,,"James Madison 1974 BA, 1975 ME",,115.0,,45644089.0,168546.0,False
Vicki Geisen,Executive Secretary,Albion College,,,,115.0,,45644089.0,168546.0,False
Sally J. Walker,"Vice President, Student Affairs",Albion College,Student Affairs and Dean of Students,Southwestern 1973 BA; Indiana 1976 MSEd; Harvard 1995 EdD,,115.0,,45644089.0,168546.0,False
Sally J. Walker,Dean Of Students,Albion College,Student Affairs and Dean of Students,Southwestern 1973 BA; Indiana 1976 MSEd; Harvard 1995 EdD,,115.0,,45644089.0,168546.0,False
M. Sue Klepper,Administrative Assistant,Albion College,,,,115.0,,45644089.0,168546.0,False
Sarah F. Briggs,"Director, Communications",Albion College,,Ohio Weslevan 1974 BA,,115.0,,45644089.0,168546.0,False
Madeline A. Adie,"Director, Human Resources",Albion College,,Western Michigan 1971 BA,,115.0,,45644089.0,168546.0,False
John P. Kondelik,"Director, Libraries",Albion College,,Florida 1964 BA; Florida State 1966 MLS; Michigan 1993 PhD,,115.0,,45644089.0,168546.0,False
Carolyn E. Aishton,Trustee,Albion College,,,"Director, Sales Expansion Opportunities, Avon Products, Inc1345 Ave. of the Americas, New York, NY 10105-0196 Tel: (212) 282-5000 Fax: (212) 282-6220",115.0,,45644089.0,168546.0,False
Dale W. Austin,Trustee,Albion College,,,"Vice President, Donald C. Austin, M.DGross Pointe, MI",115.0,,45644089.0,168546.0,False
Richard L. Baird,Trustee,Albion College,,,"Principal, Human Resources and Operations, Coopers & Lybrand Chicago, IL",115.0,,45644089.0,168546.0,False
Alfred T. Bamsey,Trustee,Albion College,,,"Senior Pastor, The First United Methodist Church Ann Arbor, MI",115.0,,45644089.0,168546.0,False
"David Barrett, MD",Trustee,Albion College,,,"Chair, Department of Urology, Mayo Foundation 200 First St., SW, Rochester, MN 55905 Tel: (507) 284-2511",115.0,,45644089.0,168546.0,False
"Daniel Boggan, Jr",Trustee,Albion College,,,"Chief Operating Executive, National Collegiate Athletic Association Overland Park, KS",115.0,,45644089.0,168546.0,False
Robert B. Feduniak,Trustee,Albion College,,,"Senior Advisor, Tiger Management New York, NY",115.0,,45644089.0,168546.0,False
William C. Ferguson,Trustee,Albion College,,,"Chairman and Chief Executive Officer, NYNEX Corporation New York, NY",115.0,,45644089.0,168546.0,False
Janet M. Goudie,Trustee,Albion College,,,"Fashion Consultant, Doncaster Rochester, MI",115.0,,45644089.0,168546.0,False
Edward E. Hagenlocker,Trustee,Albion College,,,"Vice Chairman, Ford Motor Company",115.0,,45644089.0,168546.0,False
Robert B. Hetler,Trustee,Albion College,,,"Partner, Coopers & Lybrand San Francisco, CA",115.0,,45644089.0,168546.0,False
Edmund L. Jenkins,Trustee,Albion College,,,"Managing Director, Arthur Andersen and Company Chicago, IL",115.0,,45644089.0,168546.0,False
James A. Klungness,Trustee,Albion College,,,"President, Cable Constructors, IncIron Mountain, MI",115.0,,45644089.0,168546.0,False
"Bruce A. Kresge, MD",Trustee,Albion College,,,"Physician Lake Angelus, MI",115.0,,45644089.0,168546.0,False
Arnold G. Langbo,Chairman,Albion College,,,"Chairman, Kellogg Company",115.0,,45644089.0,168546.0,False
John S. Ludington,Trustee,Albion College,,,"Chairman, Dow Corning Corporation Midland, MI",115.0,,45644089.0,168546.0,False
Joel K. Manby,Trustee,Albion College,,Albion 1981 BA; Harvard 1985 MBA,"Chief Executive Officer, Saab Cars USA, Inc4405-A International Blvd., Norcross, GA 30093 Tel: (770) 279-0100",115.0,,45644089.0,168546.0,False
Peter T. Mitchell,President,Albion College,,,,115.0,,45644089.0,168546.0,False
