Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
N. Gerry House,Trustee,Adelphi University,,,"President and Chief Executive Officer, Institute for Student Achievement",,,,,71965598.0,188429.0,,,Trustee,True,
Frank Angello,Trustee,Adelphi University,,Adelphi 1977,"Chief Financial Officer, Treasury and Securities Services, JPMorgan Chase & Co",,,,,71965598.0,188429.0,,,Trustee,True,
John C. Bierwirth,Trustee,Adelphi University,,,"Chairman, Grumman Corporation",,,,,71965598.0,188429.0,,,Trustee,True,
Richard C. Cahn,Trustee,Adelphi University,,,"Attorney and Founding Partner, Cahn and Cahn, LLP",,,,,71965598.0,188429.0,,,Trustee,True,
Michael Campbell,Trustee Emeritus,Adelphi University,,Adelphi 1965,"President and Chief Executive Officer, Dominick & Dominick LLC",,,,,71965598.0,188429.0,,,Trustee,True,
Michael J. Driscoll,Trustee,Adelphi University,,,"Head Trader, GeoSphere Capital Management, LLC",,,,,71965598.0,188429.0,,,Trustee,True,
"CAPT Robert G. Darling, USN",Director,Adelphi University,,,,,,,,71965598.0,188429.0,,,Trustee,True,
Joan S. Girgus,Trustee,Adelphi University,,"Sarah Lawrence 1963 BA; New School 1965 MA, 1969 PhD","Professor, Department of Psychology, Princeton University",,,,,71965598.0,188429.0,,,Trustee,True,
Douglas J. Green,Trustee,Adelphi University,,,"Partner in Charge, Leadership Development, KPMG LLP",,,,,71965598.0,188429.0,,,Trustee,True,
Jeffrey R. Greene,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,,,Trustee,True,
Palmina R. Grella,Trustee,Adelphi University,,,"Budget Director, County of Nassau, New York",,,,,71965598.0,188429.0,,,Trustee,True,
John J. Gutleberdown.mela.o,Trustee,Adelphi University,,,"President and Chief Executive Officer, Castagna Realty Company",,,,,71965598.0,188429.0,,,Trustee,True,
Steven N. Fischer,Chairman Emeritus,Adelphi University,,,,,,,,71965598.0,188429.0,,,Board President,True,
Regina L. Muehlhauser,Trustee,American University,,,"President, San Francisco Market, Bank of America",,,,,181401687.0,131159.0,,,Trustee,True,
Margery Kraus,Trustee,American University,,,"President and Chief Executive Officer, APCO Worldwide Inc700 12th Street, NW, Suite 800, Washington, DC 20005-3949",,,,,181401687.0,131159.0,,,Trustee,True,
Charles H. Lydecker,Trustee,American University,,American U BA,"Executive Vice President, Brown & Brown, Inc220 South Ridgewood Avenue, Daytona Beach, FL 32114-4393",,,,,181401687.0,131159.0,,,Trustee,True,
Robyn Rafferty Mathias,Trustee,American University,,,"Principal, Rolling Terrace Elementary School",,,,,181401687.0,131159.0,,,Trustee,True,
Alan L. Meltzer,Trustee,American University,,,"Founder and Chief Executive Officer, The Meltzer Group6500 Rock Spring Drive, Suite 500, Bethesda, MD 20817",,,,,181401687.0,131159.0,,,Trustee,True,
Arthur J. Rothkopf,Trustee,American University,,Lafayette 1955 AB; Harvard 1958 JD,"Senior Vice President and Counselor to the President, U.S. Chamber of Commerce",,,,,181401687.0,131159.0,,,Trustee,True,
David Teslicko,Student Trustee,American University,,,,,,,,181401687.0,131159.0,,,Trustee,True,
John R. Schol,Trustee,American University,,,"Bishop, Baltimore- Washington Conference of The United Methodist Church100 Maryland Avenue, NE, Washington, DC 20002",,,,,181401687.0,131159.0,,,Trustee,True,
Neal A. Sharma,Trustee,American University,,,"Chief Executive Officer, Digital Evolution Group* 10801 Mastin Street, Overland Park, KS 66210",,,,,181401687.0,131159.0,,,Trustee,True,
Stephen Silvia,Faculty Trustee,American University,,,,,,,,181401687.0,131159.0,,,Trustee,True,
Jeffrey A. Sine,Trustee,American University,,,"Vice Chairman and Global Head, Technology, Media and Telecommunications, UBS Investment Bank299 Park Avenue, New York, NY 10171-0026",,,,,181401687.0,131159.0,,,Trustee,True,
Gary R. Weaver,Trustee,American University,,,,,,,,181401687.0,131159.0,,,Trustee,True,
"C. Nicholas Keating, Jr",Trustee,American University,,"American U 1963 BA, 1964 MA","President and Chief Executive Officer, Network Equipment Technologies",,,,,181401687.0,131159.0,,,Trustee,True,
Mark L. Schneider,Trustee,American University,,UC Berkeley; San Jose State,"Senior Vice President, International Crisis Group1629 K Street NW, Suite 450, Washington, DC 20006",,,,,181401687.0,131159.0,,,Trustee,True,
Gisela B. Huberman,Trustee,American University,,"George Washington 1964 AB, 1965 MA, 1970 PhD; American U 1980 JD",,,,,,181401687.0,131159.0,,,Trustee,True,
Thomas A. Gottschalk,Vice Chairman,American University,,,"Of Counsel, Washington, DC Office, Kirkland & Ellis LLP",,,,,181401687.0,131159.0,,,Board Vice President,True,
Dan Gasby,Trustee,American University,,,"President, GBH Radio, Inc",,,,,181401687.0,131159.0,,,Trustee,True,
Gary M. Abramson,Chairman,American University,,American U 1980 BA; Howard U 1983 JD; Georgetown 1987 LLM,"Partner, The Tower Companies",,,,,181401687.0,131159.0,,,Board President,True,
Gina F. Adams,Trustee,American University,,,"Corporate Vice President, Government Affairs, FedEx Corporation",,,,,181401687.0,131159.0,,,Trustee,True,
Stephanie Bennett-Smith,Trustee,American University,,"New Mexico BA, MA; Iowa 1973 PhD","President, Centenary College (1984-2001)",,,,,181401687.0,131159.0,,,Trustee,True,
Patrick H. Butler,Trustee,American University,,American U 1996 MA,,,,,,181401687.0,131159.0,,,Trustee,True,
Edward R. Carr,Trustee,American University,,,"President, Carrhomes, Inc",,,,,181401687.0,131159.0,,,Trustee,True,
Jack C. Cassell,Trustee,American University,,,"President and Chief Executive Officer, Visual Aids Electronics & Conference Systems, Inc",,,,,181401687.0,131159.0,,,Trustee,True,
Richard Beyer,Trustee,American University,,Olivet BA,"Vice President, Trimble Navigation Limited",,,,,181401687.0,131159.0,,,Trustee,True,
Pamela M. Deese,Trustee,American University,,"American U 1980 BS, 1983 JD","Partner, Arent Fox LLP",,,,,181401687.0,131159.0,,,Trustee,True,
Jerome King Del Pino,Trustee,American University,,,"General Secretary, General Board of Higher Education and Ministry, The United Methodist Church",,,,,181401687.0,131159.0,,,Trustee,True,
David R. Drobis,Trustee,American University,,American U MA,"Chairman, Ketchum Inc. (1994-2001)",,,,,181401687.0,131159.0,,,Trustee,True,
Marc N. Duber,Trustee,American University,,American U 1981 BS,"Executive Vice President and Chief Operating Officer, The Bernstein Companies",,,,,181401687.0,131159.0,,,Trustee,True,
Fuad EI-Hibri,Trustee,American University,,Yale 1982 MPPM,"Chief Executive Officer and Chairman, Emergent BioSolutions",,,,,181401687.0,131159.0,,,Trustee,True,
Hani M. S. Farsi,Trustee,American University,,,"Managing Director and Chairman, Farsi Enterprises",,,,,181401687.0,131159.0,,,Trustee,True,
Gary D. Cohn,Trustee,American University,,American U 1982,"President and Co-Chief Operating Officer, The Goldman Sachs Group, Inc",,,,,181401687.0,131159.0,,,Trustee,True,
Paul A. Stokstad,Trustee,Andrews University,,,"President, Pasco Scientific",,,,,102298084.0,168740.0,,,Trustee,True,
Barbara J. Randall,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
David R. Rowe,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Donald C. Schneider,Trustee,Andrews University,,,"President, North American District, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Glynn Scott. ones,Trustee,Andrews University,,,"Treasurer, Lake Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Juan R. Prestol,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Dolores E. Slikkers,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Garry Sudds,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Dana L. Wales,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Max A. Trevino,Trustee,Andrews University,,,"President, Southwestern Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Dale E. Twomley,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Lynne K. Waihee,Trustee,Andrews University,,,"President, Read To Me International Foundation",,,,,102298084.0,168740.0,,,Trustee,True,
Rebekah Wang Cheng,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
"David ""Dave"" Weigley",Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Danielle Wuchenich,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Edward E. Zinke,Trustee,Andrews University,,,"President, Ann's House of Nuts",,,,,102298084.0,168740.0,,,Trustee,True,
Jan Paulsen,Trustee,Andrews University,,Union Col (NE); Andrews,"President, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Gary Thurber,Trustee,Andrews University,,,"President, Indiana Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Jere D. Patzer,Trustee,Andrews University,,,"President, North Pacific Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Lynn S. Gray,Trustee,Andrews University,,,"Physician, Lakeland Regional Health System",,,,,102298084.0,168740.0,,,Trustee,True,
Naomi McKenzie,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Niels-Erik A. Andreasen,Secretary of the Board,Andrews University,,,"Secretary, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Other Board Member,True,
Matthew Bediako,Trustee,Andrews University,,,"President, Wisconsin Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
"William G. C. Murdoch, Jr",Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Jerome Davis,Trustee,Andrews University,,,"President, Lake Region Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Ken Denslow,Trustee,Andrews University,,,"President, Illinois Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
C. Garland Dulan,Trustee,Andrews University,,,"Director, Education Department, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Jay Gallimore,Trustee,Andrews University,,,"President, Michigan Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Cletus R. Georges,Trustee,Andrews University,,,"Physician, Mid-Florida Urological Associates",,,,,102298084.0,168740.0,,,Trustee,True,
Donald W. Corkum,Trustee,Andrews University,,,"President, Wisconsin Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Rodney A. Grove,Trustee,Andrews University,,,"Secretary, Lake Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Edwin Hernandez,Trustee,Andrews University,,,"Vice President, Business Development, Risk Management and Compliance, Adventist Health System",,,,,102298084.0,168740.0,,,Trustee,True,
Roscoe Howard III,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Sandra K. Johnson,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Gerry D. Karst,Chairman,Andrews University,,,"Vice President, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Board President,True,
Robert E. Lemon,Trustee,Andrews University,,,"Treasurer, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,,,Trustee,True,
Fred M. Manchur,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Margaret McFarland,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,,,Trustee,True,
Anne L. Mariucci,Regent,Arizona Board of Regents,Arizona Board of Regents,Arizona,"President, Inlign Capital Partners",,,,,203172682.0,105330.0,,,Regent,True,Arizona Board of Regents
Ernest Calderon,Vice President,Arizona Board of Regents,Arizona Board of Regents,Northern Arizona; Arizona,"Attorney, Calderon Law Offices",,,,,203172682.0,105330.0,,,Board Vice President,True,Arizona Board of Regents
Robert Bulla,Chief Executive Officer,Arizona Board of Regents,Arizona Board of Regents,,Blue Cross and Blue Shield of Arizona,,,,,203172682.0,105330.0,,,Other Board Member,True,Arizona Board of Regents
Robert Bulla,Chairman,Arizona Board of Regents,Arizona Board of Regents,,Blue Cross and Blue Shield of Arizona,,,,,203172682.0,105330.0,,,Board President,True,Arizona Board of Regents
Fred Boice,President,Arizona Board of Regents,Arizona Board of Regents,Occidental,"Head, Boice Financial Company",,,,,203172682.0,105330.0,,,Board President,True,Arizona Board of Regents
Dennis W. DeConcini,Regent,Arizona Board of Regents,Arizona Board of Regents,"Arizona 1959, 1963 JD","Partner and Vice President (D), Parry, Romani, DeConcini & Symms",,,,,203172682.0,105330.0,,,Regent,True,Arizona Board of Regents
Janet Napolitano,Ex Officio Regent,Arizona Board of Regents,Arizona Board of Regents,Santa Clara 1979 BS; Virginia 1983 JD,"Member, Arizona State Legislature (1979-1993)",,,,,203172682.0,105330.0,,,"Regent, Ex Officio",True,Arizona Board of Regents
Ross Meyer,Student Regent,Arizona Board of Regents,Arizona Board of Regents,,,,,,,203172682.0,105330.0,,,Regent,True,Arizona Board of Regents
Bob McLendon,Regent,Arizona Board of Regents,Arizona Board of Regents,,,,,,,203172682.0,105330.0,,,Regent,True,Arizona Board of Regents
David Martinez III,Student Regent,Arizona Board of Regents,Arizona Board of Regents,,,,,,,203172682.0,105330.0,,,Regent,True,Arizona Board of Regents
Fred DuVal,Treasurer,Arizona Board of Regents,Arizona Board of Regents,,"President, DuVal and Associates",,,,,203172682.0,105330.0,,,Other Board Member,True,Arizona Board of Regents
LuAnn Leonard,Regent,Arizona Board of Regents,Arizona Board of Regents,,,,,,,203172682.0,105330.0,,,Regent,True,Arizona Board of Regents
"Thomas C. ""Tom"" Horne",Ex Officio Regent,Arizona Board of Regents,Arizona Board of Regents,Harvard 1970 JD,"Superintendent of Public Instruction (R). Education Department, State of Arizona",,,,,203172682.0,105330.0,,,"Regent, Ex Officio",True,Arizona Board of Regents
Earlon C. McWhorter,At Large Member,Auburn University,,Auburn 1968 BS,"President, McWhorter and Co., Inc",,,,,82497590.0,100858.0,,,Trustee,True,
"Paul J. Spina, Jr",Sixth Congressional District Trustee,Auburn University,,Auburn 1963 BS,"President, Spina Enterprises, Inc3477 Indian Lake Way, Pelham, AL 35124 Tel: (205) 621-2000",,,,,82497590.0,100858.0,,,Trustee,True,
"Robert R. ""Bob"" Riley",Ex Officio President,Auburn University,,Alabama 1965 BS,"Governor (R), State of Alabama State Capitol, 600 Dexter Avenue, Suite N-104, Montgomery, AL 36130 Tel: (334) 242-7100",,,,,82497590.0,100858.0,,,"Board President, Ex Officio",True,
James W. Rane,Third Congressional District Trustee,Auburn University,,Auburn BS; Cumberland JD,"President and Chief Executive Officer, Great Southern Wood Preserving, IncP.O. Box 610, Abbeville, AL 36310 Tel: (334) 585-2291",,,,,82497590.0,100858.0,,,Trustee,True,
Sarah B. Newton,Seventh Congressional District Trustee,Auburn University,,Auburn 1974 BS; Alabama 1978 MAED,"Principal, Fayette Elementary School 509 Second Street, NE, Fayette, AL 35555 Tel: (205) 932-3161",,,,,82497590.0,100858.0,,,Trustee,True,
"John C. H. Miller, Jr",First Congressional District Trustee,Auburn University,,Duke; Alabama 1969 JD,"Partner, Miller, Hamilton, Snider & Odom, L.L.C P.O. Box 46, Mobile, AL 36601 Tel: (251) 439-7518",,,,,82497590.0,100858.0,,,Trustee,True,
Charles D. McCrary,At Large Member,Auburn University,,Auburn 1973 BS; Birmingham 1978 JD,"President and Chief Executive Officer, Alabama Power Company 600 North 18th Street, Birmingham, AL 35203 Tel: (205) 257-2700",,,,,82497590.0,100858.0,,,Trustee,True,
Virginia N. Thompson,Third Congressional District Trustee,Auburn University,,Auburn 1978,"Director, Marketing, East Alabama Medical Center 2000 Pepperell Parkway, Opelika, AL 36801 Tel: (334) 528-5924",,,,,82497590.0,100858.0,,,Trustee,True,
D. Gaines Lanier,Fifth Congressional District Trustee,Auburn University,,Auburn 1974 BS,"Chairman and Chief Executive Officer, J. Smith Lanier & CoP.O. Box 70, West Point, GA 31833-0070 Tel: (706) 645-2211",,,,,82497590.0,100858.0,,,Trustee,True,
Samuel L. Ginn,At Large Member,Auburn University,,Auburn 1959 BS,"Chairman, Vodafone AirTouch Ple (1999-2000) 1g",,,,,82497590.0,100858.0,,,Trustee,True,
"Rev. Byron Paul Franklin, Sr",Ninth Congressional District Trustee,Auburn University,,Auburn BS,"Director, Special Marketing and Public Relations, Buffalo Rock Co111 Oxmoor Road, Birmingham, AL 35209",,,,,82497590.0,100858.0,,,Trustee,True,
Dwight L. Carlisle,Fourth Congressional District Trustee,Auburn University,,Auburn 1958 BS,"Commissioner, Revenue Department, State of Alabama",,,,,82497590.0,100858.0,,,Trustee,True,
John G. Blackwell,Eighth Congressional District Trustee,Auburn University,,Auburn 1964 BS,"Chairman, INKANA Properties LLC",,,,,82497590.0,100858.0,,,Trustee,True,
Grant Davis,Secretary to the Board of Trustees,Auburn University,,,,,,,,82497590.0,100858.0,,,Trustee,True,
Charles W. Bruce,Assistant Treasurer,Auburn University,,,,,,,,82497590.0,100858.0,,,Other Board Member,True,
Robert E. Lowder,Second Congressional District Trustee,Auburn University,,Auburn 1964 BS,"Chairman, President and Chief Executive Officer, The Colonial BancGroup, Inc100 Colonial Bank Boulevard, Montgomery, AL 36117 Tel: (334) 676-5008",,,,,82497590.0,100858.0,,,Trustee,True,
Lee F. Armstrong,General Counsel,Auburn University,,,,,,,,82497590.0,100858.0,,,Other Board Member,True,
Shauna Buring,Librarian,Auburn University,,,,,,,,82497590.0,100858.0,,,Other Board Member,True,
Thomas L. DeWeese,President,Ball State University,,"Ball State 1968 BB, 1969",,,,,,198089087.0,150136.0,,,Board President,True,
Matt Momper,Trustee,Ball State University,,,"President, Momper Insulation 2431 West Main Street, Fort Wayne, IN 46808 Tel: (260) 432-7543 Education: Ball State 1983 BS; Drake 1984 MBA",,,,,198089087.0,150136.0,,,Trustee,True,
Hollis E. Hughes,Secretary,Ball State University,,,,,,,,198089087.0,150136.0,,,Other Board Member,True,
Frank Hancock,Trustee,Ball State University,,,,,,,,198089087.0,150136.0,,,Trustee,True,
Richard J. Hall,Trustee,Ball State University,,,"Chair, Economic Development Practice Group, Barnes & Thornburg LLP 11 South Meridian Street, Indianapolis, IN 46204 Tel: (317) 231-7516 Education: Ball State 1989 BS; Northwestern 1992 JD",,,,,198089087.0,150136.0,,,Trustee,True,
Marianne Glick,Trustee,Ball State University,,,,,,,,198089087.0,150136.0,,,Trustee,True,
Frank A. Bracken,Vice President,Ball State University,,"Ball State 1968 BB, 1969",,,,,,198089087.0,150136.0,,,Board Vice President,True,
Kellie Conrad,Student Trustee,Ball State University,,,,,,,,198089087.0,150136.0,,,Trustee,True,
Barbara Phillips,Trustee,Ball State University,,,,,,,,198089087.0,150136.0,,,Trustee,True,
James Alan Bowden,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
"Carl W. BellAlbert C. Black, Jr",Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Howard K. Batson,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Wes Bailey,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Miles Jay AllisonJoseph Brooks Armes,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Stan Allcorn,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Stephen CarmackHarold R. Cunningham,Regent,Baylor University,,Baylor 1956 BBA,,,,,,157394403.0,223232.0,,,Regent,True,
Rev. Duane Brooks,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Jim L. Turner,Regent,Baylor University,,,"Principal, JLT Beverages L.P5950 Sherry Lane, Suite #370, Dallas, TX 75225 Tel: (214) 265-5500 Education: Baylor BBA",,,,,157394403.0,223232.0,,,Regent,True,
Donell Phillips Teaff,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
John C. ReimersBelinda A. ReyesR. Dary Stone.,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Anne Graham Lotz,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Arthur Phillip Lineberger,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Minette Drumwright Pratt,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
"Neal T. ""Buddy"" Jones",Regent,Baylor University,,"Baylor BA, JD",,,,,,157394403.0,223232.0,,,Regent,True,
Sue Holt Getterman,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Randy Ferguson,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Gary D. Elliston,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Rev. Bobby Charles Dagnel,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
Tommy L. Bowman,Regent,Baylor University,,,,,,,,157394403.0,223232.0,,,Regent,True,
David Karnes,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Allan Kavalich,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Hannah Lee,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Edgar R. Lehman,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Carol Lindskog,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Wayne Lowell,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Dr. Al Mijares,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
David Mitchell,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
John Siefker,Chair,Biola University,,,,,,,,152479009.0,110097.0,,,Board President,True,
Robert Thompson,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Kennith Thompson,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Hudson Saffell,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Gorden Romberger,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Jerry Reub,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Ray Johnson,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
"Ronald Rallis, Sr",Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Damoi Park,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Stanley Jantz,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
G. Bradley Cole,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Promod Haque,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Dwight Hanger,Vice Chair,Biola University,,,,,,,,152479009.0,110097.0,,,Board Vice President,True,
Arthur Fraser,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Barry H. Corey,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Michael Chang,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Dean Bursch,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
William G. Billard,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
William Bauer,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Rosemarie Avila,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Carol Hawkins,Trustee,Biola University,,,,,,,,152479009.0,110097.0,,,Trustee,True,
Gregory P. Barber,Trustee,Boston College,,,"Chairman, Gregory P. Barber & Associates, Inc",,,,,103531236.0,164924.0,,,Trustee,True,
Matthew J. Botica,Trustee,Boston College,,,"Partner, Winston & Strawn LLP",,,,,103531236.0,164924.0,,,Trustee,True,
Thomas P. O'Neill III,Trustee,Boston College,,Boston Col BA; Harvard 1979 MPA,"Chief Executive Officer, O'Neill and Associates",,,,,103531236.0,164924.0,,,Trustee,True,
"Rev. Robert B. Lawton, SJ",Trustee,Boston College,,Fordham 1971 AB; Harvard 1977 PhD,"President, Loyola Marymount University",,,,,103531236.0,164924.0,,,Trustee,True,
Peter S. Lynch,Trustee,Boston College,,Boston Col 1965 BA; Pennsylvania 1968 MBA,"Vice Chairman, Fidelity Management & Research Company",,,,,103531236.0,164924.0,,,Trustee,True,
"Rev. Douglas W. Marcouiller, S.J.",Trustee,Boston College,,,"Rector, Bellarmine House",,,,,103531236.0,164924.0,,,Trustee,True,
Peter K. Markell,Trustee,Boston College,,,"Vice President, Finance, Partners HealthCare System, Inc",,,,,103531236.0,164924.0,,,Trustee,True,
Kathleen M. McGillycuddy,Vice Chairman,Boston College,,,"Executive Vice President and Head, Private Clients Group, FleetBoston Financial Corporation",,,,,103531236.0,164924.0,,,Board Vice President,True,
Robert J. Morrissey,Trustee,Boston College,,,"Partner, Morrissey, Hawkins & Lynch",,,,,103531236.0,164924.0,,,Trustee,True,
John V. Murphy,Trustee,Boston College,,,"Chairman and Chief Executive Officer, OppenheimerFunds, Inc",,,,,103531236.0,164924.0,,,Trustee,True,
