Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
Mary Chavanne-Martin,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Joe Edwin Coleman,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
"William H. Brian, Jr",Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Minette Drumwright Pratt,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Randy Ferguson,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Louie B. George,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Brian L. Harbour,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Walker G. Harman,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Billy Ray Hearn,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Dale P. Jones,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Will D. Davis,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
William Millet,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Kennith Thompson,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
John Siefker,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Michael Shepard,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Robert Thompson,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Robert Shank,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Hudson Saffell,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Gorden Romberger,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
"Ronald Rallis, Sr",Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Carol Lindskog,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
William G. Billard,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Hannah Lee,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
David Karnes,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Dwight Hanger,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Lorin Griset,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Arthur Fraser,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Clyde Cook,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Rosemarie Avila,Vice Chairman,Biola University,,,,141.0,,152479009.0,110097.0,,,Board Vice President,True,
William Bauer,Chairman,Biola University,,,,141.0,,152479009.0,110097.0,,,Board President,True,
William G. Billard,President,Biola University,,,,141.0,,152479009.0,110097.0,,,Board President,True,
Edgar R. Lehman,Trustee,Biola University,,,,141.0,,152479009.0,110097.0,,,Trustee,True,
Vincent A. Wasik,Trustee,Boston College,,"Michigan State 1966 BA, 1967 MBA","Executive Vice President and General Manager, Hertz Corporation; President and Chief Executive Officer, Travel and Tourism Group, Holland American Line U.S.A., Inc.; Vice President, Wesray Corporation; President, Chairman and Chief Executive Officer, National Car Rental, Inc",145.0,,103531236.0,164924.0,,,Trustee,True,
Benaree P. Wiley,Trustee,Boston College,,,"President and Chief Executive Officer, The Partnership",145.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. Jeffrey P. von Arx, SJ",Trustee,Boston College,Fordham College at Rose Hill,,"Dean, Fordham College at Rose Hill, Fordham University",145.0,,103531236.0,164924.0,,,Trustee,True,
John J. Powers,Trustee,Boston College,,,"Managing Director, Goldman Sachs & Company",144.0,,103531236.0,164924.0,,,Trustee,True,
Salvatore J. Trani,Trustee,Boston College,,,"President, Garban Corporates",144.0,,103531236.0,164924.0,,,Trustee,True,
Thomas A. Vanderslice,Trustee,Boston College,,Boston Col 1953 BS; Catholic U 1956 PhD,"Executive Vice President, GE; Chairman and Chief Executive Officer, Apollo Computer, Inc., 1984-89; Chairman and Chief Executive Officer, M/A COM, Inc., 1989-95",145.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. Francis R. Hermann, SJ","Rector, Jesuit Community",Boston College,,,,144.0,,103531236.0,164924.0,,,Other Board Member,True,
John L. Harrington,Trustee,Boston College,,,"Chief Executive Officer, Boston Red Sox",144.0,,103531236.0,164924.0,,,Trustee,True,
Mary J. Steele Guilfoile,Trustee,Boston College,,,"Partner, The Beacon Group",144.0,,103531236.0,164924.0,,,Trustee,True,
Susan M. Gianinno,Trustee,Boston College,,Boston Col 1970 BA; Northwestern 1973 MA,"President, Transatlantic Chief Branding Officer Worldwide, D'Arcy Masius Benton & Bowles, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
Thomas J. Flatley,Trustee,Boston College,,,President. The Flatley Company,144.0,,103531236.0,164924.0,,,Trustee,True,
"John F. Farrell, Jr",Trustee,Boston College,,,Automatic Service Company,144.0,,103531236.0,164924.0,,,Trustee,True,
Emilia M. Fanjul,Trustee,Boston College,,,,144.0,,103531236.0,164924.0,,,Trustee,True,
Richard T. Horan,Trustee,Boston College,,,"President, Hughes Oil Company",144.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. Brian E. Daley, SJ",Trustee,Boston College,,,"Catherine F. Husking Professor of Theology, University of Notre Dame",144.0,,103531236.0,164924.0,,,Trustee,True,
"John M. Connors, Jr",Trustee,Boston College,,,"Chairman and Chief Executive Officer, Hill, Holliday, Connors, Cosmopulos, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
William F. Connell,Trustee,Boston College,,Boston Col 1959 BS; Harvard 1963 MBA,"Chairman and Chief Executive Officer, Connell Limited Partnership",144.0,,103531236.0,164924.0,,,Trustee,True,
"Charles I. Clough, Jr",Vice Chairman,Boston College,,,"Chief Investment Strategist, Merrill Lynch & Company",144.0,,103531236.0,164924.0,,,Board Vice President,True,
The Hon. Darcel D. Clark,Trustee,Boston College,,,"Judge, Criminal Court, City of New York",144.0,,103531236.0,164924.0,,,Trustee,True,
Patrick Carney,Trustee,Boston College,,,"Chairman and Chief Executive Officer, Claremont Companies",144.0,,103531236.0,164924.0,,,Trustee,True,
Brian P. Burns,Trustee,Boston College,,,"Chairman and President, B. FEnterprises, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
Geoffrey T. Boisi,Trustee,Boston College,,,"Chairman and Chief Executive officer, The Beacon Group, LLC",143.0,,103531236.0,164924.0,,,Trustee,True,
Gregory P. Barber,Trustee,Boston College,,,"Chairman, Gregory P. Barber & Associates, Inc",143.0,,103531236.0,164924.0,,,Trustee,True,
Joseph E. Corcoran,Trustee,Boston College,,,"Chairman, Corcoran Jennison Companies",144.0,,103531236.0,164924.0,,,Trustee,True,
Richard A. Jalkut,Trustee,Boston College,,Boston Col 1966 BA,"President and Chief Executive Officer, Pathnet",144.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. Francis R. Hermann, SJ",Trustee,Boston College,,,,144.0,,103531236.0,164924.0,,,Trustee,True,
Edmund F. Kelly,Trustee,Boston College,,,"President and Chief Executive Officer, Liberty Mutual Group",144.0,,103531236.0,164924.0,,,Trustee,True,
Richard F. Syron,Chairman,Boston College,,Boston Col 1966 BS; Tufts 1969 MA 1971 PhD,"President and Chief Executive Officer, Thermo Electron Corporation",144.0,,103531236.0,164924.0,,,Board President,True,
Patrick T. Stokes,Trustee,Boston College,,Boston Col 1964 BS; Columbia 1966 MBA,"President, Anheuser-Busch, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. John J. Shea, SJ.",Trustee,Boston College,,,"Assistant Vice President. Institutional Advancement, University of Scranton",144.0,,103531236.0,164924.0,,,Trustee,True,
"Nicholas A. Sannella, MD",Trustee,Boston College,,,Vascular Surgeon,144.0,,103531236.0,164924.0,,,Trustee,True,
"Thomas F. Ryan, Jr",Trustee,Boston College,,,"President, American Stock Exchange",144.0,,103531236.0,164924.0,,,Trustee,True,
Thomas J. Rattigan,Trustee,Boston College,,Boston Col 1960 BS; Harvard 1962 MBA,"President, Pepsi Co. International: President, North American Unit, Commodore International Ltd.: Chairman and Chief Executive Officer, G. Heileman Brewing Company",144.0,,103531236.0,164924.0,,,Trustee,True,
Michael D. Jones,Trustee,Boston College,,,"Chief Administrative Officer, National Association of Securities Dealers, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
"Brian G. Paulson, S.J",Trustee,Boston College,,,,144.0,,103531236.0,164924.0,,,Trustee,True,
Thomas P. O'Neill III,Trustee,Boston College,,,"Chairman and Chief Executive OfficerMcDermott/O'Neill & Associates, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
Michael F. Price,Trustee,Boston College,,,Chief Executive Officer and PresidentMFP Investors. LLC,144.0,,103531236.0,164924.0,,,Trustee,True,
Therese Myers,Trustee,Boston College,,,"Chief Executive Officer, Bouquet Multi Media",144.0,,103531236.0,164924.0,,,Trustee,True,
"R. Michael Murray, Jr",Trustee,Boston College,,,"Director, McKinsey & Company, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
"John E. Murray, Jr",Trustee,Boston College,,,"Executive Assistant to the Provincial, The Society of Jesus-New England Province",144.0,,103531236.0,164924.0,,,Trustee,True,
Robert J. Morrissey,Trustee,Boston College,,,"Partner, Morrissey & Hawkins",144.0,,103531236.0,164924.0,,,Trustee,True,
"John A. McNeice, Jr",Trustee,Boston College,,,"Chairman and Chief Executive Officer, The Colonial Group, Inc",144.0,,103531236.0,164924.0,,,Trustee,True,
Peter S. Lynch,Trustee,Boston College,,Boston Col 1965 BA; Pennsylvania 1968 MBA,"Vice Chairman, Fidelity Management & Research Company",144.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. William P. Leahy, SJ",Trustee,Boston College,,,Member of the Board,144.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. William P. Leahy, SJ",President,Boston College,,,Member of the Board,144.0,,103531236.0,164924.0,,,Board President,True,
Judith B. Krauss,Trustee,Boston College,,Boston Col 1968 BS; Yale 1970 MSN,"Professor. Mental Health Policy, School of Nursing, Yale University",144.0,,103531236.0,164924.0,,,Trustee,True,
"Rev. Edward M. O'Flaherty, SJ",Secretary,Boston College,,"Boston Col 1959 AB; Pennsylvania 1964 MA, 1979 PhD","Director, Office of Ecumenical and Interreligious Affairs, Archdiocese of Boston",144.0,,103531236.0,164924.0,,,Other Board Member,True,
Peter H. Vermilye,Trustee,Boston University,,,,147.0,,111088046.0,164988.0,,,Trustee,True,
Robert E. Yellin,Trustee,Boston University,,,,147.0,,111088046.0,164988.0,,,Trustee,True,
Jon Westling,President,Boston University,,,,147.0,,111088046.0,164988.0,,,Board President,True,
Laura Freeman Walsh,Trustee,Boston University,,,,147.0,,111088046.0,164988.0,,,Trustee,True,
French C. Wallop,Trustee,Boston University,,,,147.0,,111088046.0,164988.0,,,Trustee,True,
"Gerald Tsai, Jr",Trustee,Boston University,,,,147.0,,111088046.0,164988.0,,,Trustee,True,
Richard Lewis Taylor,Trustee,Boston University,,,,147.0,,111088046.0,164988.0,,,Trustee,True,
Richard A. Soden,Trustee,Boston University,,,"Attorney, Goodwin Procter & Hoar LLP Exchange PI., Boston, MA 02109-2881 Tel: (617) 570-1000 Fax: (617) 523-1231",146.0,,111088046.0,164988.0,,,Trustee,True,
Rafik B. Hariri,Trustee,Boston University,,,,146.0,,111088046.0,164988.0,,,Trustee,True,
George D. Hart,Trustee,Boston University,,,,146.0,,111088046.0,164988.0,,,Trustee,True,
Susan Hassinger,Trustee,Boston University,,,,146.0,,111088046.0,164988.0,,,Trustee,True,
Mary-Jane Hemperley,Trustee,Boston University,,,,146.0,,111088046.0,164988.0,,,Trustee,True,
Leon C. Hirsch,Trustee,Boston University,,,,146.0,,111088046.0,164988.0,,,Trustee,True,
