Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Robert F. X. Sillerman,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Andrew Stein,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
David J. Steinberg,President,Long Island University,,,Long Island University,368.0,,,138873065.0,192448.0,Board President,,True
David J. Steinberg,Ex Officio Overseer,Long Island University,,,Long Island University,368.0,,,138873065.0,192448.0,"Trustee, Ex Officio",,True
"Samuel H. Swint, Jr.",Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Steven Tanger,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
William Blake,Regent,Louisiana State University System,,,"President, The Lacassane Company",376.0,,,107341208.0,,Member,,True
Scott Brame,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,Member,,True
Richard E. D'Aquin,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,Member,,True
Jeraul Mackey,Student Regent,Louisiana State University System,,,,376.0,,,107341208.0,,Other Board Member,,True
Reggie Dupre,Regent,Louisiana State University System,,,"Chief Executive Officer, Dupre Transport, LLC",376.0,,,107341208.0,,Member,,True
Frances T. Henry,Vice Chairman,Louisiana State University System,,,,376.0,,,107341208.0,,Board Vice President,,True
Stanley J. Jacobs,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,Member,,True
Robert Levy,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,Member,,True
William A. Oliver,Regent,Louisiana State University System,,McNeese State BS; Tulane MBA,,376.0,,,107341208.0,,Member,,True
"W. Clinton Rasberry, Jr.",Regent,Louisiana State University System,,,,376.0,,,107341208.0,,Member,,True
"Virgil Robinson, Jr.",Regent,Louisiana State University System,,,"President and Chief Executive Officer, Dryades Savings Bank",376.0,,,107341208.0,,Member,,True
William Clifford Smith,Regent,Louisiana State University System,,,"Chairman of the Board, T. Baker Smith & Son, Inc",376.0,,,107341208.0,,Member,,True
Pat A. Strong,Secretary,Louisiana State University System,,,,376.0,,,107341208.0,,Other Board Member,,True
"Artis Terrell, Jr",Regent,Louisiana State University System,,,"Chairman and Chief Executive Officer, Turner Industries",376.0,,,107341208.0,,Member,,True
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
Kathleen Hannon Aikenhead,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
Robert C. Baker,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
"Rev. Paul Bernadicou, SJ",Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
"Rev. Gerald R. Blaszczak, SJ",Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
Peter B. Caloveras,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
Larry R. Carter,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
"Alex Chaves, Sr",Trustee,Loyola Marymount University,,Arizona State 1974 BS,,377.0,,,35566140.0,117946.0,Regent,,True
John F. Cosgrove,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
Frederick B. Craves,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
R. Chad Dreier,Chairman,Loyola Marymount University,,Lovola Marymount 1969 BS,,377.0,,,35566140.0,117946.0,Board President,,True
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,Regent,,True
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Robert H. Kerrigan, Jr",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Paul J. Fitzgerald, SJ",Trustee,Loyola Marymount University,,Santa Clara 1980 BA;,,378.0,,,35566140.0,117946.0,Regent,,True
John F. Grundhofer,Trustee,Loyola Marymount University,,Loyola Marymount 1960 BA: USC 1964 MBA,,378.0,,,35566140.0,117946.0,Regent,,True
"Thomas E. Larkin, Jr",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,378.0,,,35566140.0,117946.0,Regent,,True
"Rev. Robert B. Lawton, SJ",President,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Board President,,True
"Rev. Robert B. Lawton, SJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
Liam E. McGee,Trustee,Loyola Marymount University,,UC San Diego; Pepperdine MBA; Loyola (CA) JD,,378.0,,,35566140.0,117946.0,Regent,,True
John A. McMahon,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
Paul W. Mikos,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Sister Mary E. Milligan, RSHM",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
Susan F. Moley,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
Stephen M. Mosko,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
John F. O'Reilly,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
Stephen F. Page,Trustee,Loyola Marymount University,,Loyola Marymount,,378.0,,,35566140.0,117946.0,Regent,,True
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,378.0,,,35566140.0,117946.0,Regent,,True
"Rev. Kevin P. Quinn, SJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Edward P. Roski, Jr",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
Mrs. Terry Seidler,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Louis A. ""Peter"" Siracusa",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
Michael R. Steed,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Father Stephen V. Sundborg, SJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Joan Treacy, RSHM",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
"Rev. Jeffrey P. von Arx, SJ",Trustee,Loyola Marymount University,,"Princeton 1969 AB; Yale 1973 MA 1975 MPhil, 1980 PhD; Weston Theology 1981 MDiv",,378.0,,,35566140.0,117946.0,Regent,,True
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,Regent,,True
John N. Bain,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1953,"Partner, Carella, Byrne, Bain & Gilfillan",423.0,,,118118575.0,185828.0,Board Vice President,,True
Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,"President, New Jersey Alliance for Action",423.0,,,118118575.0,185828.0,Overseer,,True
Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,,"President, Verizon New Jersey Inc540 Broad Street, Floor 20, Newark, NJ 07102",423.0,,,118118575.0,185828.0,Overseer,,True
"Hamilton V. Bowser, Sr",Trustee,New Jersey Institute Of Technology,,NJIT 1952,"President, Evanbow Construction Company",423.0,,,118118575.0,185828.0,Overseer,,True
W. Stanley Brown.,Trustee,New Jersey Institute Of Technology,,,"President, Brown Global Enterprises, LLC",423.0,,,118118575.0,185828.0,Overseer,,True
Stephen P. DePalma,Trustee,New Jersey Institute Of Technology,,,,424.0,,,118118575.0,185828.0,Overseer,,True
James M. Burns,Trustee,New Jersey Institute Of Technology,,,"Partner, Genova, Burns & Vernoia",424.0,,,118118575.0,185828.0,Overseer,,True
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,"Vice President, Gas Delivery, Public Service Electric and Gas Company",424.0,,,118118575.0,185828.0,Overseer,,True
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris",424.0,,,118118575.0,185828.0,Overseer,,True
Sharpe James,Ex Officio Trustee,New Jersey Institute Of Technology,,Montclair State BS; Springfield (MA) MA,"Mayor, City of Newark, New Jersey; Mayor (D), City of Newark, New Jersey",424.0,,,118118575.0,185828.0,"Overseer, Ex Officio",,True
James A. Kennedy,Chairman,New Jersey Institute Of Technology,,,"President and Chief Executive Officer, National Starch and Chemical Company",424.0,,,118118575.0,185828.0,Board President,,True
"Anthony J. Knapp, Jr.",Trustee,New Jersey Institute Of Technology,,,"Owner, Black Horse Inn",424.0,,,118118575.0,185828.0,Overseer,,True
James E. McGreevey,Ex Officio Trustee,New Jersey Institute Of Technology,,Columbia 1978 BA; Georgetown 1981 JD; Harvard 1982 MA,"Governor, New Jersey; Governor (D), New Jersey",424.0,,,118118575.0,185828.0,"Overseer, Ex Officio",,True
Frank J. Ryan,Trustee,New Jersey Institute Of Technology,,,"Group Chairman, Johnson & Johnson",424.0,,,118118575.0,185828.0,Overseer,,True
Kevin F. Toolan,Trustee,New Jersey Institute Of Technology,,,"President and Chairman of the Board, T&M Associates",424.0,,,118118575.0,185828.0,Overseer,,True
Arthur F. Weinbach,Trustee,New Jersey Institute Of Technology,,"Pennsylvania 1965 BS, 1966 MS","Chairman and Chief Executive Officer, Automatic Data Processing, IncOne ADP Boulevard, Roseland, NJ 07068-1728",424.0,,,118118575.0,185828.0,Overseer,,True
Dennis E. Murray,Trustee,Pennsylvania State System Of Higher Education,,,,476.0,,,29957033.0,,Governor,,True
Judy G. Hample,Chancellor,Pennsylvania State System Of Higher Education,,,,476.0,,,29957033.0,,Board President,,True
Judy G. Hample,Ex Officio Trustee,Pennsylvania State System Of Higher Education,,,,476.0,,,29957033.0,,"Governor, Ex Officio",,True
Madeleine Wing Adler,President,West Chester University Of Pennsylvania,,"Northwestern BA; Wisconsin MA, PhD","Academic Vice President, Framingham State College",476.0,,,161171246.0,216764.0,Board President,,True
Lawrence A. Dowdy,Executive Deputy to President,West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board President,,True
Linda Lamwers,Provost,West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Trustee,,True
Linda Lamwers,"Vice President, Academic Affairs",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
Mark P. Mixner,"Vice President, Administration and Finance",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
Mark Pavlovich,"Vice President, Advancement",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
J. Frederick Gage,"Vice President, Information Services",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
Matthew Bricketto,"Vice President, Student Affairs",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
Matthew Bricketto,Dean Of Students,West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Other Board Member,,True
Sheila Patterson,"Associate Vice President, Academic Affairs",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
George Hong,"Associate Vice President, Sponsored Research and Faculty Development",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
Diane DeVestern,"Assistant Vice President, Student Affairs",West Chester University Of Pennsylvania,,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
Carol Aichele,Chairperson,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Board President,,True
Bernard J. Carrozza,Vice Chairman,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Board Vice President,,True
Barry C. Dozer,Trustee,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Trustee,,True
Thomas A. Fillippo,Trustee,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Trustee,,True
Dr. Judy G. Hample,Chancellor,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Board President,,True
Dr. Judy G. Hample,Ex Officio Trustee,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,"Trustee, Ex Officio",,True
Laurence Harmelin,Trustee,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Trustee,,True
David James,Trustee,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Trustee,,True
Alan Novak,Trustee,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Trustee,,True
Jessie Pincus,Secretary,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Other Board Member,,True
Elinor Z. Taylor,Trustee,West Chester University Of Pennsylvania,Council of Trustees,,,476.0,,,161171246.0,216764.0,Trustee,,True
Don Taylor,Trustee,West Chester University Of Pennsylvania,Council of Trustees,West Chester 1943 BS; Temple 1958 MEd,,476.0,,,161171246.0,216764.0,Trustee,,True
Cynthia A. Baldwin,Chairman,Pennsylvania State University,,,"Judge, Allegheny County Court of Common Pleas",479.0,,,130769515.0,495767.0,Board President,,True
H. Jesse Arnelle,Alumni Trustee,Pennsylvania State University,,"Of Counsel, Womble Carlyle Sandridge & Rice, PLLC",Penn State 1955 BA; Dickinson 1962 LLB,479.0,,,130769515.0,495767.0,Trustee,,True
Paula R. Ammerman,Associate Secretary,Pennsylvania State University,,,,479.0,,,130769515.0,495767.0,Other Board Member,,True
Cynthia A. Baldwin,Governor,Pennsylvania State University,,,"Judge, Allegheny County Court of Common Pleas",479.0,,,130769515.0,495767.0,Trustee,,True
Francis V. Barnes,Ex Officio Trustee,Pennsylvania State University,,,"Secretary, Education Department, Pennsylvania",479.0,,,130769515.0,495767.0,"Trustee, Ex Officio",,True
Mary G. Beahm,Alumni Trustee,Pennsylvania State University,,,"Vice President, Human Resources, C-COR.net Corp",479.0,,,130769515.0,495767.0,Trustee,,True
James S. Broadhurst,Vice Chairman,Pennsylvania State University,,,"Chairman and Chief Executive Officer, Eat'n Park Hospitality Group, Inc",479.0,,,130769515.0,495767.0,Board Vice President,,True
James S. Broadhurst,Industrial Trustee,Pennsylvania State University,,,"Chairman and Chief Executive Officer, Eat'n Park Hospitality Group, Inc",479.0,,,130769515.0,495767.0,Trustee,,True
Charles C. Brosius,Agricultural Trustee,Pennsylvania State University,,,"President, Marlboro Mushrooms",479.0,,,130769515.0,495767.0,Trustee,,True
Alvin H. Clemens,Governor Appointed Trustee,Pennsylvania State University,,,"Chairman, HealthAxis, Inc",479.0,,,130769515.0,495767.0,Trustee,,True
Joan L. Coble,Assistant Secretary,Pennsylvania State University,,,,479.0,,,130769515.0,495767.0,Other Board Member,,True
Walter J. Conti,Governor Appointed Trustee,Pennsylvania State University,,Penn State 1952 BS,,479.0,,,130769515.0,495767.0,Trustee,,True
Michael DiBerardinis,Ex Officio Trustee,Pennsylvania State University,,,"Secretary, Conservation and Natural Resources Department, Pennsylvania",479.0,,,130769515.0,495767.0,"Trustee, Ex Officio",,True
Carolyn A. Dolbin,Assistant Secretary,Pennsylvania State University,,,,479.0,,,130769515.0,495767.0,Other Board Member,,True
Joseph J. Doncsecz,Assistant Treasurer,Pennsylvania State University,,,,479.0,,,130769515.0,495767.0,Other Board Member,,True
Keith W. Eckel,Agricultural Trustee,Pennsylvania State University,,,"Partner, Fred W. Eckel Sons Farms, Inc",479.0,,,130769515.0,495767.0,Trustee,,True
Robert A. Fortinksy,Governor Appointed Trustee,Pennsylvania State University,,,"President, Fortune Fabrics, Inc",479.0,,,130769515.0,495767.0,Trustee,,True
Steve A. Garban,"Senior Vice President, Finance And Operations",Pennsylvania State University,,Penn State 1959 BS,,479.0,,,130769515.0,495767.0,Board Vice President,,True
Steve A. Garban,Treasurer Emeritus,Pennsylvania State University,,Penn State 1959 BS,,479.0,,,130769515.0,495767.0,Other Board Member,,True
Steve A. Garban,And Alumni Trustee,Pennsylvania State University,,Penn State 1959 BS,,479.0,,,130769515.0,495767.0,Trustee,,True
"Samuel E. Hayes, Jr",Ex Officio Trustee,Pennsylvania State University,,"Penn State 1964 BS, 1965 MEd","Secretary, Department of Agriculture, Commonwealth of Pennsylvania, Commission Members, Susquehanna River Basin Commission",479.0,,,130769515.0,495767.0,"Trustee, Ex Officio",,True
"George T. Henning, Jr",Alumni Trustee,Pennsylvania State University,,,,479.0,,,130769515.0,495767.0,Trustee,,True
"Edward R. Hintz, Jr",Industrial Trustee,Pennsylvania State University,,,"President, Hintz, Holman & Hecksher. Inc",479.0,,,130769515.0,495767.0,Trustee,,True
David R. Jones,Alumni Trustee,Pennsylvania State University,,Penn State 1954 BA; NYU 1961 MA,"Assistant Managing Editor, The New York Times",480.0,,,130769515.0,495767.0,Trustee,,True
David M. Joyner,Alumni Trustee,Pennsylvania State University,,,"Chief Executive Officer and Chairman of the Board, Mushin, Inc",480.0,,,130769515.0,495767.0,Trustee,,True
Edward P. Junker III,Industrial Trustee,Pennsylvania State University,,Penn State 1959 BS,,480.0,,,130769515.0,495767.0,Trustee,,True
Nicole W. Lobaugh,Governor Appointed Trustee,Pennsylvania State University,,,,480.0,,,130769515.0,495767.0,Trustee,,True
David F. Marshall,Assistant Treasurer,Pennsylvania State University,,,,480.0,,,130769515.0,495767.0,Other Board Member,,True
Deborah M. Meder,Assistant Treasurer,Pennsylvania State University,,,E-mail: dmm4@psu.edu,480.0,,,130769515.0,495767.0,Other Board Member,,True
Robert D. Metzgar*,Industrial Trustee,Pennsylvania State University,,,"President and Owner, North Penn Pipe & Supply, Inc",480.0,,,130769515.0,495767.0,Trustee,,True
Joel N. Myers,Alumni Trustee,Pennsylvania State University,,,"President, AccuWeather, Inc",480.0,,,130769515.0,495767.0,Trustee,,True
Patricia K. Poprik,Governor Appointed Trustee,Pennsylvania State University,,,"President and Chief Executive Officer, First American Municipals",480.0,,,130769515.0,495767.0,Trustee,,True
Jeffrey C. Apfel,Treasurer,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Other Board Member,,True
Jeffrey C. Apfel,Chief Financial Officer,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Trustee,,True
Jeffrey C. Apfel,Senior Vice President,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Board Vice President,,True
Joan L. Bildner,Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Trustee,,True
Martha A. Cotter,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Other Board Member,,True
Frederick D. DeSanti,Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Trustee,,True
Shashi K. Dholandas,Student Representative Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Other Board Member,,True
"Albert R. Gamper, Jr",Chairman,Rutgers State University Of New Jersey,,Rutgers BA,"Chairman, CIT Group IncNote: Retires December 31, 2004One CIT Drive, Livingston, NJ 07039",509.0,,,102322142.0,186380.0,Board President,,True
Ronald W. Giaconia,Vice Chairman,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Board Vice President,,True
Leslie Eugene Goodman,Governor,Rutgers State University Of New Jersey,,"Rutgers 1965 BA, 1970 MBA, 1980 JD",,509.0,,,102322142.0,186380.0,Trustee,,True
"David Jefferson Harris, Jr",Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Trustee,,True
"M. William Howard, Jr",Governor,Rutgers State University Of New Jersey,,,,509.0,,,102322142.0,186380.0,Trustee,,True
