Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
Joan S. Girgus,Trustee,Adelphi University,,Sarah Lawrence 1963 BA: New School 1965 MA1969 PhD,"Professor, Department of Psychology, Princeton University",119.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Jeffrey R. Greene,Trustee,Adelphi University,,,"Transaction Executive, Ernst & Young LLP",119.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
John J. Gutleber,Trustee,Adelphi University,,,"President and Chief Executive Officer, Castagna Realty Company",119.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Jeffrey W. Bolton,Trustee,Adelphi University,,Adelphi 1961 BA,,119.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Noreen Harrington,Trustee,Adelphi University,,Adelphi 1981,"Alternative Investments, M.D. Sass Investor Services, Inc1185 Avenue of the Americas, 18th Floor, New York, NY 10036-2699",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Osbert M. Hood,Trustee,Adelphi University,,Adelphi 1986 BS; NYU 1988 MBA,"Chairman and Chief Executive Officer, MacKay Shields (2007-2010)",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Angela M. Jaggar,Trustee,Adelphi University,,"Adelphi 1962 BS, 1965 MS","Professor, Education, New York University",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
N. Gerry House,Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
"C. Nicholas Keating, Jr",Trustee,American University,,"American U 1963 BA, 1964 MA","President and Chief Executive Officer, Network Equipment Technologies",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Cornelius M. Kerwin,Ex Officio Trustee,American University,,,,124.0,,,181401687.0,American University,131159.0,,,"Trustee, Ex Officio",True,
Margery Kraus,Trustee,American University,,American U 1967 BA. 1971 MA,"Founder and Chief Executive Officer, APCO Worldwide Inc",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Gerald Bruce Lee,Trustee,American University,,American U 1973 BA; Washington College of Law 1976 JD,"District Judge, Chambers of District Judge Gerald Bruce Lee, United States District Court for the Eastern District of Virginia",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Charles H. Lydecker,Trustee,American University,,American U 1985 BA,"Executive Vice President, Brown & Brown, Inc",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Robyn Rafferty Mathias,Trustee,American University,,American U 1964 BA; Washington College of Law 1992 JD,"Principal, Rolling Terrace Elementary School",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Mark L. Schneider,Trustee,American University,,UC Berkeley 1963 BA; San Jose State MA,"Senior Vice President, International Crisis Group",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Regina L. Muehlhauser,Trustee,American University,,American U 1970,"President, San Francisco Market, Bank of America",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Arthur J. Rothkopf,Trustee,American University,,Lafayette 1955 AB; Harvard 1958 JD,"Vice Chair, National Advisory Committee on Institutional Quality and Integrity, Office of the Secretary, United States Department of Education (Note: Appointed by the House of Representatives.)",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Peter L. Scher,Trustee,American University,,American U 1983 BA; Washington College of Law 1987 JD,"Executive Vice President and Head, Corporate 25 IN A Responsibility, JPMorgan Chase & Co270 Park Avenue. New York, NY 10017-2070",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
John R. Schol,Ex Officio Trustee,American University,,,"Bishop, Baltimore- Washington Conference of The United Methodist Church",124.0,,,181401687.0,American University,131159.0,,,"Trustee, Ex Officio",True,
Jeffrey A. Sine,Chairman,American University,,American U 1976 BA: USC JD,"Partner, Raine Group LLC",124.0,,,181401687.0,American University,131159.0,,,Board President,True,
Gisela B. Huberman,Trustee,American University,,"George Washington 1964 AB, 1965 MA, 1970 PhD; Washington College of Law 1980 JD","President, GBH Radio, Inc",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Alan L. Meltzer,Trustee,American University,,American U 1973,"Founder and Chief Executive Officer, The Meltzer Group",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Thomas A. Gottschalk,Trustee,American University,,Earlham 1964 BA: Chicago 1967 JD,"Chair, Pro Bono Management Committee, Kirkland & Ellis LLP",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Brett AtanasioStudent,Trustee,American University,,,,123.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Dan Gasby,Trustee,American University,,,"Chief Executive Officer, B. Smith Enterprises Ltd",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Gary M. Abramson,Trustee,American University,,American U 1968 BA,"Partner, The Tower Companies",123.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Gina Ferguson Adams,Trustee,American University,,American U 1980 BA; Howard U 1983 JD; Georgetown 1987 LLM,"Corporate Vice President, Government Affairs, FedEx Corporation",123.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Stephanie Bennett-Smith,Trustee,American University,,"New Mexico BA, MA: lowa 1973 PhD","President Emerita, Centenary College",123.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Barlow Burke,Faculty Trustee,American University,Washington College of Law,,"Professor of Law, Washington College of Law",123.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Kim Cape,Ex Officio Trustee,American University,,,"General Secretary, General Board of Higher Education and Ministry",123.0,,,181401687.0,American University,131159.0,,,"Trustee, Ex Officio",True,
Patrick H. Butler,Vice Chairman,American University,,Tennessee 1969; American U 1996 MA,"President and Chief Executive Officer, Association of Public Television Stations",123.0,,,181401687.0,American University,131159.0,,,Board Vice President,True,
Gary D. Cohn,Trustee,American University,,American U 1982 BSBA,"President and Chief Operating Officer, The Goldman Sachs Group, Inc",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Pamela M. Deese,Trustee,American University,,"American U 1980 BS, Washington College of Law 1983 JD","Partner, Arent Fox LLP",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
David R. Drobis,Trustee,American University,,American U 1965 MA,"Chairman Emeritus, Omnicom Group Inc",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Marc N. Duber,Trustee,American University,,American U 1981 BS,"Executive Vice President and Chief Operating Officer, The Bernstein Companies",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Hani M. S. Farsi,Trustee,American University,,American U BA,"Chief Executive Officer, Corniche Group",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Jack C. Cassell,Trustee,American University,,American U 1977 BA,"President and Chief Executive Officer, Visual Aids Electronics & Conference Systems, Inc",123.0,,,181401687.0,American University,131159.0,,,Trustee,True,
Dr. James E. Girard,Faculty Trustee,American University,,Penn State PhD,"Chair, Chemistry Department, American University",124.0,,,181401687.0,American University,131159.0,,,Trustee,True,
David R. Rowe,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
"Dr. Ron C. Smith, PhD",Trustee,Andrews University,,,"Executive Director, Institute for Healthcare Innovation",126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Benjamin D. Schoun,Chairman,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Board President,True,
"Dr. G. T. Ng, PhD",Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Juan R. Prestol,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Ray Pichette,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Glynn Scott,Trustee,Andrews University,,,"Treasurer, Lake Union Conference of Seventh-day Adventists",126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Barbara J. Randall,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Dolores E. Slikkers,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
"Dr. Ted N. C. Wilson, PhD",Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
"Dr. Judith L. ""Judy"" Storfjell, RN",Trustee,Andrews University,,"Walla Walla Col BS; Michigan MS, PhD",,126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Garry Sudds,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Lynne K. Waihee,Trustee,Andrews University,,,"President, Read To Me International Foundation",126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Dana L. Wales,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Rebekah Wang Cheng,Trustee,Andrews University,,Loma Linda 1978 MD,,126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Danielle Wuchenich,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Edward E. Zinke,Trustee,Andrews University,,,"President, Ann's House of Nuts",126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
"William G. C. Murdoch, Jr",Trustee,Andrews University,,Andrews 1967,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Paul A. Stokstad,Trustee,Andrews University,,,"President, Pasco Scientific",126.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Larry R. Moore,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Mark L. Johnson,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Donald E. Livesay,Vice Chairman,Andrews University,,Andrews 1976 MDiv,"Affiliation: President, Lake Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,,,Board Vice President,True,
Fred M. Manchur,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Niels-Erik A. Andreasen,Secretary of the Board,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Other Board Member,True,
Dr. Lisa M. Beardsley-Hardy,Trustee,Andrews University,,Loma Linda 1983 MPH; Hawaii 1989 PhD; Claremont Grad 2006 MBA,"Vice Chancellor, Academic Affairs, Loma Linda University",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Debbi J. Christensen,Trustee,Andrews University,,,"Affiliation: President, Lake Region Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Jerome Davis,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Michael G. Edge,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Jay Gallimore,Trustee,Andrews University,,,"Affiliation: President, Michigan Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Cletus R. Georges,Trustee,Andrews University,,,"Affiliation: Physician, Mid-Florida Urological Associates",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Lynn S. Gray,Trustee,Andrews University,,,"Affiliation: Physician, Lakeland HealthCare",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
"Rose Marie Cazeau, RN.",Trustee,Andrews University,,Hunter BSN; DePaul JD 400 noin,"Career: Environmental Enforcement Bureau Chief, Attorney General's Chicago Office, Office of the Attorney General, State of 3 xoll",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Loren Hamel,Trustee,Andrews University,,,"Affiliation: President and Chief Executive Officer, Lakeland HealthCare",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Edwin Hernandez,Trustee,Andrews University,,,"Career: Dean, Faculty of Religion, Loma Linda University",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Dann Hotelling,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Van G. Hurst,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Daniel R. Jackson,Trustee,Andrews University,,,"Affiliation: President, Canadian Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Sandra K. Johnson,Trustee,Andrews University,,Andrews; Rollins MBA,"Affiliation: Senior Vice President, Business Development, Risk Management and Compliance, Adventist Health System Sunbelt Healthcare Corporation",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Donald G. King,Trustee,Andrews University,,,"Affiliation: President, Atlantic Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Robert E. Lemon,Trustee,Andrews University,,,"Affiliation: Treasurer, General Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Rodney A. Grove,Trustee,Andrews University,,,"Affiliation: Secretary, Lake Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,,,Trustee,True,
Dr. Elizabeth D. Phillips,Executive Vice President,Arizona Board of Regents,Arizona State University At The Tempe Campus [Asu Tempe],,,129.0,,,55732556.0,Arizona State University,104151.0,6.0,448.0,Board Vice President,True,Arizona Board of Regents
Mitzi Montoya,Vice Provost,Arizona Board of Regents,College of Technology and Innovation,,,129.0,,,55732556.0,Arizona State University,104151.0,5.0,446.0,Director,True,Arizona Board of Regents
"Frederick ""Fred"" Corey",Director,Arizona Board of Regents,School of Letters and Sciences,,,129.0,,,55732556.0,Arizona State University,104151.0,4.0,444.0,Director,True,Arizona Board of Regents
Jeffrey Englin,Director,Arizona Board of Regents,Morrison School of Agribusiness and Resource Management,,,129.0,,,55732556.0,Arizona State University,104151.0,3.0,443.0,Director,True,Arizona Board of Regents
Mitzi Montoya,Vice Provost,Arizona Board of Regents,Arizona State University at the Polytechnic Campus,,,128.0,,,55732556.0,Arizona State University,104151.0,2.0,436.0,Director,True,Arizona Board of Regents
Keith D. Lindor,"Executive Vice Provost, Health Solutions",Arizona Board of Regents,College of Nursing and Health Innovation,Minnesota 1975 BS: Mayo Medical 1979 MD,,128.0,,,55732556.0,Arizona State University,104151.0,1.0,434.0,Director,True,Arizona Board of Regents
"Frederick ""Fred"" Corey",Director,Arizona Board of Regents,School of Letters and Sciences,,,128.0,,,55732556.0,Arizona State University,104151.0,0.0,432.0,Director,True,Arizona Board of Regents
"James H. ""Jimmy"" Sanford",Fourth Congressional District Trustee,Auburn University,,"Auburn 1968 BSBA, 1971 MS","Chairman of the Board, Home Place Farms, Inc",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
M. Clark Sahlie,Second Congressional District Trustee,Auburn University,,Auburn 1988 BBA,,134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
Sarah B. Newton,Seventh Congressional District Trustee,Auburn University,,Auburn 1974 BS; Alabama 1978 MAED,"Principal, Fayette Elementary School",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
James W. Rane,Third Congressional District Trustee,Auburn University,,Auburn BS; Cumberland JD,"President and Chief Executive Officer, Great Southern Wood Preserving, IncPO. Box 610, Abbeville, AL 36310",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
"James R. ""Jim"" Pratt III",Ninth Congressional District Trustee,Auburn University,,Auburn 1972 BA; Cumberland 1978,"Attorney, Hare, Wynn, Newell & Newton LLP",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
Charles D. McCrary,At Large Member,Auburn University,,Auburn 1973 BSME: Birmingham 1978 JD,"President and Chief Executive Officer, Alabama Power Company",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
D. Gaines Lanier,Fifth Congressional District Trustee,Auburn University,,Auburn 1974 BS,"Chairman and Chief Executive Officer, J. Smith Lanier & CoPO. Box 70. West Point, GA 31833-0070",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
"Elizabeth H. ""Liz"" Huntley",Sixth Congressional District Trustee,Auburn University,,Auburn 1993 BS; Alabama 1997 JD,"Associate, Lightfoot, Franklin & White LLC",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
Raymond J. Harbert,At Large Member,Auburn University,,Auburn 1982,"Chairman and Chief Executive Officer, Harbert Management Corporation",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
Raymond J. Harbert,President Pro Tempore,Auburn University,,Auburn 1982,"Chairman and Chief Executive Officer, Harbert Management Corporation",134.0,,,82497590.0,Auburn University,100858.0,,,Board President,True,
Samuel L. Ginn,At Large Member,Auburn University,,Auburn 1959 BS,"Senior Advisor, San Francisco Office, Greenhill & Co., IncOne California Street, 26th Floor, San Francisco, CA 94111",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
"Ben Tom ""B.T."" Roberts",First Congressional District Trustee,Auburn University,,,,134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
"Robert ""Bob"" Dumas",Third Congressional District Trustee,Auburn University,,Auburn 1976,,134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
John G. Blackwell,Eighth Congressional District Trustee,Auburn University,,Auburn 1964 BS,"Chairman, INKANA Properties LLC",134.0,,,82497590.0,Auburn University,100858.0,,,Trustee,True,
Frank Hancock,Vice President,Ball State University,,Ball State 1970,"President and Chief Executive Officer, Sport Graphics",138.0,,,198089087.0,Ball State University,150136.0,,,Board Vice President,True,
Thomas C. Bracken,Trustee,Ball State University,,Stanford; Chicago MBA,,137.0,,,198089087.0,Ball State University,150136.0,,,Trustee,True,
Barbara Phillips,Assistant Secretary,Ball State University,,"Ball State 1952, 1963 MA",,138.0,,,198089087.0,Ball State University,150136.0,,,Other Board Member,True,
Matt Momper,Trustee,Ball State University,,,"President, Momper Insulation",138.0,,,198089087.0,Ball State University,150136.0,,,Trustee,True,
Michael Miller,Student Trustee,Ball State University,,,,138.0,,,198089087.0,Ball State University,150136.0,,,Trustee,True,
"Hollis E. Hughes, Jr.",President,Ball State University,,"Ball State 1965, 1972 MA","President and Chief Executive Officer, United Way of StJoseph County Inc. (1994-2007)",138.0,,,198089087.0,Ball State University,150136.0,,,Board President,True,
Richard J. Hall,Secretary,Ball State University,,Ball State 1989 BS; Northwestern 1992 JD,"Partner and Chair, Economic Development Practice Group, Barnes & Thornburg. LLP",138.0,,,198089087.0,Ball State University,150136.0,,,Other Board Member,True,
Marianne Glick,Trustee,Ball State University,,Butler,,138.0,,,198089087.0,Ball State University,150136.0,,,Trustee,True,
R. Wayne Estopinal,Trustee,Ball State University,,Ball State 1979 BS,"President, The Estopinal Group LLC",138.0,,,198089087.0,Ball State University,150136.0,,,Trustee,True,
Trinidad Mendenhall Sosa,Board Member,Baylor College Of Medicine,,,,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Elise Elkins Joseph,Board Member,Baylor College Of Medicine,,,,140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Carolyn Dineen King,Secretary of the Board,Baylor College Of Medicine,,Smith 1959 AB; Yale 1962 LLB,"Circuit Judge (1), Chambers of Circuit Judge Carolyn Dineen King. United States Court of Appeals for the Fifth Circuit 11020 U.S. Courthouse, 515 Rusk StreetHouston. TX 77002-2694",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Other Board Member,True,
Dr. Paul E. Klotman,Ex Officio Board Member,Baylor College Of Medicine,,,,140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,"Member, Ex Officio",True,
C. Berdon Lawrence,Board Member,Baylor College Of Medicine,,,"Chairman Emeritus, Board of Directors, Kirby Corporation",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Jack E. Little,Board Member,Baylor College Of Medicine,,,"President, JEL Interests 5847 San Felipe, Ste. 3920, Houston. TX 77057",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"Frederick R. ""Fred"" Lummis",Board Member,Baylor College Of Medicine,,,,140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"Drayton McLane, Jr",Board Member,Baylor College Of Medicine,,Baylor; Michigan State,"Chairman, MeLane Group",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Robert C. McNair,Vice Chairman of the Board,Baylor College Of Medicine,,,"Chairman and Chief Executive Officer, Houston Texans",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Board Vice President,True,
John L. Nau III.,Board Member,Baylor College Of Medicine,,Virginia 1968 BA,"President and Chief Executive Officer, Silver Eagle Distributors, LP",141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"R. Randall Onstead, Jr",Board Member,Baylor College Of Medicine,,,President. Tom and Pat Powers Foundation,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Thomas R. Powers,Board Member,Baylor College Of Medicine,,,President. Tom and Pat Powers Foundation,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Harry M. Reasoner,Board Member,Baylor College Of Medicine,,Rice 1960 BA: Texas 1962 JD,,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"William K. Robbins, Jr",Board Member,Baylor College Of Medicine,,,President and Chief Executive Officer. North American Corporation,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"Corbin J. ""Corby"" Robertson, Jr",Board Member,Baylor College Of Medicine,,Texas BBA,Chief Executive Officer. Natural Resource Partners L.P,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Charles A. Williams,Board Member,Baylor College Of Medicine,,,"President, Chaswil, Inc",141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Mark W. White,Board Member,Baylor College Of Medicine,,,,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"Charles L. ""Chuck"" Watson",Board Member,Baylor College Of Medicine,,Oklahoma State 1972,"Chairman, CLW Investments. Inc",141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
H. Ben Taub,Board Member,Baylor College Of Medicine,,,,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Michael S. Stevens,Board Member,Baylor College Of Medicine,,,"Chairman, Michael Stevens Interests, Inc",141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"Kenneth Winston ""Ken"" Starr",Board Member,Baylor College Of Medicine,,George Washington 1968 BA; Brown U 1969 AM; Duke 1973 JD,"President, Baylor University",141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Ali A. Saberioon,Board Member,Baylor College Of Medicine,,,"President and Chief Executive Officer, Sabco Oil and Gas Corporation",141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Lester H. Smith,Board Member,Baylor College Of Medicine,,,,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Glenn R. Smith,Board Member,Baylor College Of Medicine,,,,141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
"A. R. Sanchez, Jr.",Board Member,Baylor College Of Medicine,,,"Chairman and Chief Executive Officer, Sanchez Oil & Gas Corporation",141.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Jack Hunt,Board Member,Baylor College Of Medicine,,Harvard MBA: Williams BA,"President and Chief Executive Officer, King Ranch, IncThree Riverway, Suite 1600, Houston, TX 77056",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Jodie L. Jiles,Board Member,Baylor College Of Medicine,,,,140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Ned S. Holmes,Board Member,Baylor College Of Medicine,,,"Chairman and Chief Executive Officer. Ned S Holmes Investments, Inc",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Barbara B. Allbritton,Board Member,Baylor College Of Medicine,,,,140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Dr. John F. Anderson,Board Member,Baylor College Of Medicine,,Baylor BS; Baylor Col Medicine MD,"Interim Chief Medical Officer, Carondelet Health Network",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
Laura Elena Arnold,Board Member,Baylor College Of Medicine,,Harvard 1994 BA; Cambridge (UK) MPhil: Yale JD,"Co-Founder, Laura and John Arnold Foundation",140.0,,,181547552.0,Baylor College Of Medicine,223223.0,,,Member,True,
