Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Professor of Law, Georgetown University",,,,,136199984.0,166027.0,Overseer,,True
Robert D. Reischauer,Fellow,Harvard University,,"Harvard 1963 AB; Columbia 1966 MIA, 1971 PhD",,,,,,136199984.0,166027.0,Overseer,,True
James F. Rothenberg,Treasurer,Harvard University,,"Harvard 1968 AB, 1970 MBA","Chairman and Principal Executive Officer, Capital Research & Management Company",,,,,136199984.0,166027.0,Other Board Member,,True
James F. Rothenberg,Fellow,Harvard University,,"Harvard 1968 AB, 1970 MBA","Chairman and Principal Executive Officer, Capital Research & Management Company",,,,,136199984.0,166027.0,Overseer,,True
"Robert E. ""Bob"" Rubin",Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Senior Counselor, Executive Committee, Citigroup Inc399 Park Avenue, New York, NY 10022",,,,,136199984.0,166027.0,Overseer,,True
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Kathleen Hannon Aikenhead,Vice Chairman,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Board Vice President,,True
"Sister Rita Arthur, RSHM",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Robert C. Baker,Trustee,Loyola Marymount University,,Yale 1956 BA. 1959 LLB,,,,,,35566140.0,117946.0,Regent,,True
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA; UCLA 1981 MBA,,,,,,35566140.0,117946.0,Regent,,True
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Larry R. Carter,Trustee,Loyola Marymount University,,Arizona State 1974 BS,,,,,,35566140.0,117946.0,Regent,,True
"Alex Chaves, SrTrusted",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
John F. Cosgrove,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Frederick B. Craves,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Rudy F. deLeon, JrTrusted",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
R. Chad Dreier,Chairman,Loyola Marymount University,,Loyola Marymount 1969 BS,,,,,,35566140.0,117946.0,Board President,,True
George A.V. Dunning,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Rev. Paul J. Fitzgerald, S.J",Trustee,Loyola Marymount University,,"Santa Clara 1980 BA; Weston Theology 1991 MDiv, 1993",,,,,,35566140.0,117946.0,Regent,,True
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Sister Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Thomas G. Hynes,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Rev. Daniel K. Lahart, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Deborah Lanni,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Thomas E. Larkin, Jr.",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,,,,,35566140.0,117946.0,Regent,,True
"Rev. Robert B. Lawton, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Liam E. McGee,Trustee,Loyola Marymount University,,UC San Diego; Pepperdine MBA; Loyola Law JD,,,,,,35566140.0,117946.0,Regent,,True
John A. McMahon,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Paul W. Mikos,Vice Chairman,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Board Vice President,,True
Susan F. Moley,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Stephen M. Mosko,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Stephen F. Page,Trustee,Loyola Marymount University,,Loyola Marymount,,,,,,35566140.0,117946.0,Regent,,True
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,,,,,35566140.0,117946.0,Regent,,True
"Rev. Kevin P. Quinn, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Edward P. Roski, Jr",Trustee,Loyola Marymount University,,USC 1962 BS,,,,,,35566140.0,117946.0,Regent,,True
"Rev. Robert W. Scholla, S.J",Secretary,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Other Board Member,,True
Michael R. Steed,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Elbridge H. Stuart III,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Rosemary L. Turner,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Walter F. Ulloa,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Rev. Jeffrey P. von Arx, S.J",Trustee,Loyola Marymount University,,Princeton 1969 AB; Yale 1973 MA. 1975 MPhil 1980 PhD; Weston Theology 1981 MDiv,,,,,,35566140.0,117946.0,Regent,,True
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
"Rev. Robert T. Walsh, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Laura D. Williamson,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,Regent,,True
Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,President. New Jersey Alliance for Action,,,,,118118575.0,185828.0,Overseer,,True
Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,,"President. Verizon New Jersey Inc140 West Street, New York, NY 10007",,,,,118118575.0,185828.0,Overseer,,True
Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,"Stanford 1991 BA, 1992 MA; Yale 1997 JD","Mayor, Office of the Mayor, City of Newark, New Jersey City Hall, 920 Broad Street. Room 200, Newark, NJ 07102 Tel: (973) 733-6400",,,,,118118575.0,185828.0,"Overseer, Ex Officio",,True
James M. Burns,Vice Chairman,New Jersey Institute Of Technology,,,"Affiliation: Partner, Genova, Burns & Vernoia",,,,,118118575.0,185828.0,Board Vice President,,True
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,,,,,,118118575.0,185828.0,Overseer,,True
Jon S. Corzine,Ex Officio Trustee,New Jersey Institute Of Technology,,Illinois 1969 BA; Chicago 1973 MBA,"Governor (D), State of New Jersey P.O. Box 001, Trenton, NJ 08625 rviewoll neel, Tel: (609) 292-6000",,,,,118118575.0,185828.0,"Overseer, Ex Officio",,True
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris Holdings",,,,,118118575.0,185828.0,Overseer,,True
Stephen P. DePalma,Vice Chairmar,New Jersey Institute Of Technology,,NJIT 1972,"President and Chief Executive Officer, Schoor DePalma",,,,,118118575.0,185828.0,Board Vice President,,True
"Elizabeth ""Liz"" Garcia",Trustee,New Jersey Institute Of Technology,,,"Manager, Public Affairs, Infineum",,,,,118118575.0,185828.0,Overseer,,True
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,"Owner, Black Horse Inn",,,,,118118575.0,185828.0,Overseer,,True
Diane Montalto,Trustee,New Jersey Institute Of Technology,,,"Senior Director, Corporate Engineering and Facilities Management, Par Pharmaceutical Companies, Inc. bae insbi 300 Tice Boulevard, Woodcliff Lake, NJ 07677",,,,,118118575.0,185828.0,Overseer,,True
Arthur F. Powell,Trustee,New Jersey Institute Of Technology,,,"President, Powell Capital Markets, Inc",,,,,118118575.0,185828.0,Overseer,,True
David J. Samuel,Trustee,New Jersey Institute Of Technology,,,"Managing Partner, CME Associates",,,,,118118575.0,185828.0,Overseer,,True
Kevin F. Toolan.V,Trustee,New Jersey Institute Of Technology,,,"President and Chairman of the Board, T&M Associates",,,,,118118575.0,185828.0,Overseer,,True
Mary L. Baglivo,Governor,Rutgers State University Of New Jersey,,Rutgers 1979,"Chief Executive Officer, Americas [Director, Worldwide Marketing), Saatchi & Saatchi 375 Hudson Street, New York, NY 10014-3660",,,,,102322142.0,186380.0,Trustee,,True
Catherine A. Cahill,Assistant Secretary,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,Other Board Member,,True
Margaret Coppolo,Student Representative Governor,Rutgers State University Of New Jersey,,Southern Illinois 1964 BA; Georgetown 1969 PhD affl,,,,,,102322142.0,186380.0,Other Board Member,,True
Martha A. Cotter,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,Other Board Member,,True
Bruce renn,Treasurer. (Interim),Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,Other Board Member,,True
Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,Other Board Member,,True
"Albert R. Gamper, Jr.",Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1966 BS,"Chairman and Chief Executive Officer, CIT Group Inc (2003-2004)",,,,,102322142.0,186380.0,Trustee,,True
Rochelle Gizinski,Governor,Rutgers State University Of New Jersey,,Rutgers 1980 BA; Seton Hall 1983 JD,"Partner, Abazia & Gininski, L.L.C",,,,,102322142.0,186380.0,Trustee,,True
Leslie Eugene Goodman,Governor,Rutgers State University Of New Jersey,,"Rutgers 1965 BA, 1970 MBA; Rutgers (Camden) 1980 JD","Chair, The Eagle Group",,,,,102322142.0,186380.0,Trustee,,True
"Rev. M. William Howard, Jr.",Chairman,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA; Princeton Sem 1972 MDiv,"Pastor, Bethany Baptist Church 275 West Market Street, Newark, NJ 07103 Tel: (973) 623-8161",,,,,102322142.0,186380.0,Board President,,True
Robert A. Laudicina. wow.Ww,Governor,Rutgers State University Of New Jersey,,"Rutgers 1963 BA, 1965. MA; Columbia 1968 PhD save",,,,,,102322142.0,186380.0,Trustee,,True
Duncan L. MacMillan,Governor,Rutgers State University Of New Jersey,,Rutgers 1966 BA; Fordham 1967 MA; NYU 1971 MBA,,,,,,102322142.0,186380.0,Trustee,,True
Richard L. McCormick,President,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,Board President,,True
Richard L. McCormick,Ex Officio Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,"Trustee, Ex Officio",,True
Patricia Nachtigal,Vice Chairman,Rutgers State University Of New Jersey,,Montclair State Col 1968 BA; Rutgers (Newark) 1976 JD; NYU 1982 LLM,"Senior Vice President and General Counsel, or Ingersoll-Rand Company Limited P.O. Box 445, Montvale, NJ 07645-0445 Tel: (201) 573-3473",,,,,102322142.0,186380.0,Board Vice President,,True
Eugene Michael O'Hara,Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1962 BS,"Chief Financial Officer, Prudential Insurance Company of America",,,,,102322142.0,186380.0,Trustee,,True
Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,Other Board Member,,True
"John F. Russo, Sr",Governor,Rutgers State University Of New Jersey,,Notre Dame 1955; Columbia 1958 JD,"Partner, Princeton Public Affairs Group, IncThe Princeton House, 160 West State Street Trenton. NJ 08608-1102 Tel: (609) 396-8838",,,,,102322142.0,186380.0,Trustee,,True
Patrick M. Ryan,Governor,Rutgers State University Of New Jersey,,Notre Dame 1967,"President and Chief Executive Officer, Yardville 6 (gri National Bank; Trustee, Board of Trustees, Rutgers, The State University of New Jersey New Brunswick, NJ 08903",,,,,102322142.0,186380.0,Trustee,,True
George R. Zoffinger,Governor,Rutgers State University Of New Jersey,,Penn State 1970 BA; NYU 1971 MA,"President and Chief Executive Officer, New Jersey Sports and Exposition Authority Capital Corporation",,,,,102322142.0,186380.0,Trustee,,True
Kurt T. Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc330 South Street, Morristown, NJ 07960-6020",,,,,12524447.0,186584.0,Regent,,True
Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,,,,,,12524447.0,186584.0,Board Vice President,,True
Patricia Cahill,Trustee,Seton Hall University,,,"President and Chief Executive Officer, Catholic Health Initiatives",,,,,12524447.0,186584.0,Regent,,True
Monsignor John Doran,Trustee,Seton Hall University,,,"Vicar General and Moderator of the Curia, Archdiocese of Newark171 Clifton Avenue, Newark, NJ 07104-0500",,,,,12524447.0,186584.0,Regent,,True
"John C. Kelly, CPA.",Trustee,Seton Hall University,,,"Vice President and Controller, Wyeth",,,,,12524447.0,186584.0,Regent,,True
Dr. Phillip Frese,Trustee,Seton Hall University,,,"Executive Vice President, Operations, Catholic Health and Human Services Corporation",,,,,12524447.0,186584.0,Regent,,True
Joseph P. LaSala,Trustee,Seton Hall University,,"Seton Hall BSBA, MBA","Partner, McElroy, Deutsch, Mulvaney & Carpenter, LLP",,,,,12524447.0,186584.0,Regent,,True
Alfred C. Koeppe,Trustee,Seton Hall University,,,"Post Office Box 2075, Morristown, NJ 07962-2075",,,,,12524447.0,186584.0,Regent,,True
Patrick M. Murray,Trustee,Seton Hall University,,St Peter's Col 1969 BS; Seton Hall 1972 JD,,,,,,12524447.0,186584.0,Regent,,True
The Most Reverend John J. Myers,Trustee,Seton Hall University,,,"Archbishop, Archdiocese of Newark",,,,,12524447.0,186584.0,Regent,,True
Dr. Francis M. Lazarus.,Trustee,Seton Hall University,,,"President, University of Dallas",,,,,12524447.0,186584.0,Regent,,True
Rev. Joseph Reilly,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,Regent,,True
John J. Schimpf,Trustee,Seton Hall University,,"Canisius 1966 AB; Cornell 1968 MA, 1972 PhD","Consultant and Portfolio Manager, Denholtz Associates",,,,,12524447.0,186584.0,Regent,,True
Michael J. Lucciola,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,Regent,,True
Richard Mahmarian,Trustee,Seton Hall University,,,"Chief Executive Officer, REM AsSOC., LLC",,,,,12524447.0,186584.0,Regent,,True
The Most Reverend Aurthur J. Serratelli,Trustee,Seton Hall University,,Upsala BA; Seton Hall MBA,,,,,,12524447.0,186584.0,Regent,,True
Phil Maisano,Trustee,Seton Hall University,,Seton Hall 1965 BA; Pontifical Gregorian (Italy) DD 19,"Vice Chair and Chief Investment Officer, The Dreyfus Corporation",,,,,12524447.0,186584.0,Regent,,True
Monsignor Robert Sheeran,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,Regent,,True
Pamela M. Swartzberg,Secretary,Seton Hall University,,Belmont Abbey: Iona MBA,"Chair, Womens Commission, Archdiocese of Newark",,,,,12524447.0,186584.0,Other Board Member,,True
James J. Malespina,Trustee,Seton Hall University,,,"Vice President, Herzog, Heine, Geduld, Inc",,,,,12524447.0,186584.0,Regent,,True
Monsignor Robert Wister,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,Regent,,True
Timothy B. Anderson,Trustee,University Of Utah,,,Education: Southern Utah 1975 BA; J Reuben Clark Law 1978 JD,,,,,223532165.0,230764.0,Regent,,True
Roger H. Boyer,Vice Chairman,University Of Utah,,,,,,,,223532165.0,230764.0,Board Vice President,,True
Randy L. Dryer,Chairman,University Of Utah,,,,,,,,223532165.0,230764.0,Board President,,True
Spencer F. Eccles,Treasurer,University Of Utah,,,"Affiliation: Chairman and Chief Executive Officer, George S. and Dolores Dore Eccles Foundation, 79 South Main Street, 12th Floor, Salt Lake City, UT 84111, Tel: (801) 246-5340, Education: Utah 1956 BS; Columbia 1959 MBA",,,,,223532165.0,230764.0,Other Board Member,,True
C. Hope Eccles,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,Regent,,True
Clark D. Ivory,Trustee,University Of Utah,,,"Affiliation: Chairman, Salt Lake City (UT) Branch, Federal Reserve System, P.O. Box 30780, Salt Lake City, UT 84125-0780, Tel: (801) 322-7900",,,,,223532165.0,230764.0,Regent,,True
Michele Mattsson,Trustee,University Of Utah,,,"Affiliation: Chief Appellate Mediator, Utah Court of Appeals, P.O. Box 140230, Salt Lake City, UT 84114-0230, Tel: (801) 578-3950, Education: Utah 1988 JD",,,,,223532165.0,230764.0,Regent,,True
Scott Parker,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,Regent,,True
Patrick Reimherr,Student Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,Other Board Member,,True
Lorena Riffo-Jenson,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,Regent,,True
Laura Snow,Secretary,University Of Utah,,,,,,,,223532165.0,230764.0,Other Board Member,,True
Jim M. Wall,Trustee,University Of Utah,,,,,,,,223532165.0,230764.0,Regent,,True
Lee H. Burke,Secretary,Utah State University,,,"Partner, PricewaterhouseCoopers
300 Madison Avenue, New York, NY 10017",,,,,121980950.0,230728.0,Other Board Member,,True
David P. Cook,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,Regent,,True
Robert L. Foley,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,Regent,,True
"Douglas S. ""Doug"" Foxley",Trustee,Utah State University,,,"Partner, Foxley & Pignanelli
60 South 600 East, Suite 150, Salt Lake City, UT 84102
Tel: (801) 355-9188
Education: Utah; Oregon State MBA",,,,,121980950.0,230728.0,Regent,,True
David Johnson III,Trustee,Utah State University,,,"Debt Collections Office Director, Administrative
Services Department, State of Utah
3120 State Office Building, Salt Lake City, UT 84114
Tel: (801) 538-3603
Education: Utah State 1972 BA, 1974 MS; Utah 1978 JD",,,,,121980950.0,230728.0,Regent,,True
Peter A. McChesney,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,Regent,,True
Suzanne Pierce Moore,Vice Chairman,Utah State University,,,,,,,,121980950.0,230728.0,Board Vice President,,True
Richard Nelson,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,Regent,,True
Paul D. Parkinson,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,Regent,,True
Richard Shipley,Chairman,Utah State University,,,"President and Chief Executive Officer, Shipley Associates",,,,,121980950.0,230728.0,Board President,,True
Scott R. Watterson,Trustee,Utah State University,,,,,,,,121980950.0,230728.0,Regent,,True
Jeff Schrader,Deputy Attorney General,University Of Idaho,,,,,,,,155093810.0,142285.0,Member,,True
Mark Browning,Chief Communications Officer,University Of Idaho,,,,,,,,155093810.0,142285.0,Member,,True
Mike Rush,Chief Academic Officer,University Of Idaho,,,,,,,,155093810.0,142285.0,Member,,True
Richard Westerberg,Board Member,University Of Idaho,,,Administration,,,,,155093810.0,142285.0,Member,,True
Lori L. Wagner,Board Member,Virginia Tech,,Virginia Tech,,,,,,859038795.0,233921.0,Member,,True
Philip S. Thompson,Board Member,Virginia Tech,,,,,,,,859038795.0,233921.0,Member,,True
Ryan C. Smith,Undergraduate Student Representative,Virginia Tech,,,,,,,,859038795.0,233921.0,Other Board Member,,True
James R. Smith,Board Member,Virginia Tech,,Virginia Tech 1974,,,,,,859038795.0,233921.0,Member,,True
