Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Vacant,Trustee,College Of William And Mary,,,,,,16285277.0,231624.0,Member,,True
Joseph E. Antonini,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,Trustee,,True
Robert A. DeMattia,Regent,Eastern Michigan University,,,The DeMattia Group,,,138216421.0,169798.0,Trustee,,True
Rosalind E. Griffin,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,Trustee,,True
Philip A. Incarnati,Chairman,Eastern Michigan University,,,McLaren Health Care Corporation,,,138216421.0,169798.0,Board President,,True
Michael G. Morris,Regent,Eastern Michigan University,,,Northeast Utilities System,,,138216421.0,169798.0,Trustee,,True
Carl D. Pursell,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,Trustee,,True
Col. William J. Stephens,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,Trustee,,True
D. Ronald Daniel,Treasurer,Harvard University,Harvard Corporation,"Bryn Maw 1950 AB; Harvard 1957 PhD; Yale 1971 MA, 1978 LLD","Chairperson, The Andrew W. Mellon Foundation",,,136199984.0,166027.0,Other Board Member,,True
D. Ronald Daniel,Fellow,Harvard University,Harvard Corporation,"Bryn Maw 1950 AB; Harvard 1957 PhD; Yale 1971 MA, 1978 LLD","Chairperson, The Andrew W. Mellon Foundation",,,136199984.0,166027.0,Overseer,,True
Hanna H. Gray,Fellow,Harvard University,Harvard Corporation,,"Chairperson, The Andrew W. Mellon Foundation",,,136199984.0,166027.0,Overseer,,True
Judith Richards Hope,Fellow,Harvard University,Harvard Corporation,,"Senior Counsel, Paul, Hastings, Janofsky & Walker, LLP",,,136199984.0,166027.0,Overseer,,True
James R. Houghton,Fellow,Harvard University,Harvard Corporation,,"Chairman of the Board, Corning, , Inc",,,136199984.0,166027.0,Overseer,,True
Neil Leon Rudestine,President,Harvard University,Harvard Corporation,,"Chairman of the Board and Chief Executive Officer, Harcourt General, Inc27 Boylston St., Chestnut Hill, MA 02167",,,136199984.0,166027.0,Board President,,True
Neil Leon Rudestine,Fellow,Harvard University,Harvard Corporation,,"Chairman of the Board and Chief Executive Officer, Harcourt General, Inc27 Boylston St., Chestnut Hill, MA 02167",,,136199984.0,166027.0,Overseer,,True
Richard A. Smith,Fellow,Harvard University,Harvard Corporation,Harvard 1946; Boston Col 1988 LLD,"Chairman, Kirby Corporation",,,136199984.0,166027.0,Overseer,,True
"Robert G. Stone, Jr.",Fellow,Harvard University,Harvard Corporation,,"Chairman, Kirby Corporation",,,136199984.0,166027.0,Overseer,,True
James M. Biggar,Trustee,Kent State University,,,,,,149910238.0,203517.0,Regent,,True
Krista Blake,Student Trustee,Kent State University,,,,,,149910238.0,203517.0,Other Board Member,,True
Vincent A. Chiarucci,Chairman,Kent State University,,,,,,149910238.0,203517.0,Board President,,True
Lynne S. Dragomier,Trustee,Kent State University,,,,,,149910238.0,203517.0,Regent,,True
Burton V. Jones,Secretary,Kent State University,,,,,,149910238.0,203517.0,Other Board Member,,True
Norbert Lewandowski,Trustee,Kent State University,,,,,,149910238.0,203517.0,Regent,,True
Vincent D. Pettinelli,Trustee,Kent State University,,,,,,149910238.0,203517.0,Regent,,True
Ronald A. Pizzuti,Trustee,Kent State University,,,,,,149910238.0,203517.0,Regent,,True
Stanley F. Barshay,Trustee,Long Island University,,,"Senior Vice President, American Home Products",,,138873065.0,192448.0,Overseer,,True
Mark A. Boyar,Trustee,Long Island University,,,"President, Mark Boyar & Company",,,138873065.0,192448.0,Overseer,,True
Mark A. Boyar,Executive Committee Member,Long Island University,,,"President, Mark Boyar & Company",,,138873065.0,192448.0,Other Board Member,,True
William F. de Neergaard,Trustee and Executive,Long Island University,,,"President and Owner, Neergaard Pharmacies",,,138873065.0,192448.0,Overseer,,True
Donald H. Elliott,Trustee,Long Island University,,,"Of Counsel, Hollyer, Brady, et al",,,138873065.0,192448.0,Overseer,,True
Donald H. Elliott,Executive Committee Member,Long Island University,,,"Of Counsel, Hollyer, Brady, et al",,,138873065.0,192448.0,Other Board Member,,True
Gary S. Feldstein,Trustee,Long Island University,,,"President and Chief Executive Officer, Manhattan Medical Care",,,138873065.0,192448.0,Overseer,,True
Irwin C. Gerson,Trustee,Long Island University,,,"Chairman, Lowe MAdams Healthcare",,,138873065.0,192448.0,Overseer,,True
Arthur I. Goldberg,Trustee,Long Island University,,,"Law Partner, Jacobson & Goldberg",,,138873065.0,192448.0,Overseer,,True
Msgr. Thomas J. Hartman,Trustee and Executive,Long Island University,,,"Director, Radio and Television, Telicare",,,138873065.0,192448.0,Overseer,,True
Stephen P. Kaufman,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Arrow Electronics, Inc",,,138873065.0,192448.0,Overseer,,True
Steven A. Klar,Trustee,Long Island University,,,"President, The Klar Organization",,,138873065.0,192448.0,Overseer,,True
Eric Krasnoff,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",,,138873065.0,192448.0,Overseer,,True
Eric Krasnoff,Executive Committee Member,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",,,138873065.0,192448.0,Other Board Member,,True
Steven J. Kumble,Secretary,Long Island University,,,"Chairman, Lincolnshire Management, Ltd",,,138873065.0,192448.0,Other Board Member,,True
Steven J. Kumble,Executive Committee Member,Long Island University,,,"Chairman, Lincolnshire Management, Ltd",,,138873065.0,192448.0,Other Board Member,,True
David H. Lipka,Trustee,Long Island University,,,"Principal, Chapman Partners LLP Investment Bankers",,,138873065.0,192448.0,Overseer,,True
Howard M. Lorber,Trustee,Long Island University,,,"Chairman, Hallman & Lorber Associates",,,138873065.0,192448.0,Overseer,,True
Howard M. Lorber,Executive Committee Member,Long Island University,,,"Chairman, Hallman & Lorber Associates",,,138873065.0,192448.0,Other Board Member,,True
Eugene H. Luntey,Chairman,Long Island University,,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,,138873065.0,192448.0,Board President,,True
Eugene H. Luntey,Executive Committee Member,Long Island University,,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,,138873065.0,192448.0,Other Board Member,,True
"William Lynch, Jr",Trustee,Long Island University,,,"Vice President, McAndrews & Forbes Holdings. Inc",,,138873065.0,192448.0,Overseer,,True
"William Lynch, Jr",Executive Committee Member,Long Island University,,,"Vice President, McAndrews & Forbes Holdings. Inc",,,138873065.0,192448.0,Other Board Member,,True
Joseph L. Mancino,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, The Roslyn Savings Bank and Roslyn Bancorp, Inc",,,138873065.0,192448.0,Overseer,,True
John M. May,Trustee,Long Island University,,,,,,138873065.0,192448.0,Overseer,,True
John M. May,Executive Committee Member,Long Island University,,,,,,138873065.0,192448.0,Other Board Member,,True
William P. Miller,Trustee,Long Island University,,,"Owner, Miller Transmission Tower Company",,,138873065.0,192448.0,Overseer,,True
Theresa Mall Mullarkey,"Chancellor, C. W. Post Campus",Long Island University,C. W. Post Campus,,,,,138873065.0,192448.0,Board President,,True
Theresa Mall Mullarkey,Trustee,Long Island University,C. W. Post Campus,,,,,138873065.0,192448.0,Overseer,,True
Theresa Mall Mullarkey,Executive Committee Member,Long Island University,C. W. Post Campus,,,,,138873065.0,192448.0,Other Board Member,,True
David Pinter,Trustee,Long Island University,,,"President and Chief Executive Officer, Zwicker Electric Company, Inc",,,138873065.0,192448.0,Overseer,,True
Thomas L. Pulling,Trustee,Long Island University,,,"Managing Director, Private Portfolio Management, Saloman Smith Barney Holdings Inc",,,138873065.0,192448.0,Overseer,,True
Thomas L. Pulling,Executive Committee Member,Long Island University,,,"Managing Director, Private Portfolio Management, Saloman Smith Barney Holdings Inc",,,138873065.0,192448.0,Other Board Member,,True
Bruce C. Ratner,Trustee,Long Island University,,,"President and Chief Executive Officer, Forest City Ratner Companies",,,138873065.0,192448.0,Overseer,,True
Bruce C. Ratner,Executive Committee Member,Long Island University,,,"President and Chief Executive Officer, Forest City Ratner Companies",,,138873065.0,192448.0,Other Board Member,,True
Warren L. Schwerin,Trustee,Long Island University,,,President and Chief Executive Officer. Related Properties Corporation,,,138873065.0,192448.0,Overseer,,True
Terry Semel,Trustee,Long Island University,,,"Chairman and Co-Chief Executive Officer, Warner Bros4000 Warner Blvd., Burbank, CA 91505 Tel: (818) 954-6000 Fax: (818) 954-2464",,,138873065.0,192448.0,Overseer,,True
Robert EX. Sillerman,"Chancellor, Southampton Campus",Long Island University,Southampton Campus,,,,,138873065.0,192448.0,Board President,,True
Robert EX. Sillerman,Trustee,Long Island University,Southampton Campus,,,,,138873065.0,192448.0,Overseer,,True
Robert EX. Sillerman,Executive Committee Member,Long Island University,Southampton Campus,,,,,138873065.0,192448.0,Other Board Member,,True
Howard Silverman,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Gruntal and Company, Inc",,,138873065.0,192448.0,Overseer,,True
Marvin M. Sirota,Trustee,Long Island University,,,"President and Chairman, Interactive Health Management, Inc",,,138873065.0,192448.0,Overseer,,True
Howard M. Smith,Trustee,Long Island University,,,"President and Chief Executive Officer, Dr. Fabricant's Foot Health Products, Inc",,,138873065.0,192448.0,Overseer,,True
Rev. Paul Smith,Trustee,Long Island University,,,"Pastor, First Presbyterian Church Brooklyn Heights, NY",,,138873065.0,192448.0,Overseer,,True
David J. Steinberg,President,Long Island University,,,,,,138873065.0,192448.0,Board President,,True
David J. Steinberg,Ex Officio Trustee,Long Island University,,,,,,138873065.0,192448.0,"Overseer, Ex Officio",,True
Ronald J. Sylvestri,Trustee,Long Island University,,,"Vice President, Fleet Investment Management",,,138873065.0,192448.0,Overseer,,True
Ronald J. Sylvestri,Executive Committee Member,Long Island University,,,"Vice President, Fleet Investment Management",,,138873065.0,192448.0,Other Board Member,,True
Roger B. Tilles,Senior Vice Chairman and Executive,Long Island University,,,"Chief Executive Officer, Tilles Committee Member Investment Company",,,138873065.0,192448.0,Board Vice President,,True
Edward Travaglianti,"Chancellor, Brooklyn Campus",Long Island University,Brooklyn Campus,,,,,138873065.0,192448.0,Board President,,True
Edward Travaglianti,Trustee,Long Island University,Brooklyn Campus,,,,,138873065.0,192448.0,Overseer,,True
Edward Travaglianti,Executive Committee Member,Long Island University,Brooklyn Campus,,,,,138873065.0,192448.0,Other Board Member,,True
John O. Utendahl,Trustee,Long Island University,,,"President and Chief Executive Officer. Utendahl Capital Partners, L.P",,,138873065.0,192448.0,Overseer,,True
William E. Viklund,Trustee,Long Island University,,,"President and Chief Executive Officer, Long Island Savings Bank",,,138873065.0,192448.0,Overseer,,True
Rosalind P. Walter,Trustee,Long Island University,,,,,,138873065.0,192448.0,Overseer,,True
Rosalind P. Walter,Executive Committee Member,Long Island University,,,,,,138873065.0,192448.0,Other Board Member,,True
Dan K. Wassong,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Del Laboratories, Inc",,,138873065.0,192448.0,Overseer,,True
Edward J. Yodowitz,Trustee,Long Island University,,,"Senior Partner, Skadden, Arps, Slate, Meagher & Flom LLP",,,138873065.0,192448.0,Overseer,,True
Robert M. Abell,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
The Hon. Richard D. Aldrich,Vice Chairman,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Board Vice President,,True
The Hon. Benjamin Aranda,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Robert Buckley,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
David L. Buell,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Ernest M. Camacho,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Barbara S. Casey,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Louis J. Cassani,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Stanley H. Chambers,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
"Alex Chaves, Sr",Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
The Hon. Daniel A. Curry,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Anthony S. Delfino,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Myles P. Dempsey,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
James A. DeRosa,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
T. Patrick Smith,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Louis A. Simpson,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Edward F. Slattery,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Michael J. Smith,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Rev. Msgr. Royale M. Vadakin,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Thomas J. Viola,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
Charles K. Von Der Ahe,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,Trustee,,True
John N. Bain,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Carella, Byrne, Bain & Gilfillan",,,118118575.0,185828.0,Overseer,,True
Laura Bigley Battjer,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Battier & Associates",,,118118575.0,185828.0,Overseer,,True
"Hamilton V. Bowser, Sr",Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Evanbow Construction Company, Inc",,,118118575.0,185828.0,Overseer,,True
W. Stanley Brown,Trustee,New Jersey Institute Of Technology,,,Affiliation: Consultant,,,118118575.0,185828.0,Overseer,,True
Oswald L. Cano,Trustee,New Jersey Institute Of Technology,,,"Affiliation: General Manager, Corporate Responsibilities, Public Service Electric and Gas Company",,,118118575.0,185828.0,Overseer,,True
The Hon. Sharpe James,Ex Officio Trustee,New Jersey Institute Of Technology,,Montclair State BA; Springfield (MA) MA,"Affiliation: Mayor, City of Newark City Hall, Rm. 200, 920 Broad St., Newark, NJ 07102 Tel: (973) 733-6400",,,118118575.0,185828.0,"Overseer, Ex Officio",,True
James A. Kennedy,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President and Chief Executive Officer, National Starch and Chemical Company",,,118118575.0,185828.0,Overseer,,True
"Anthony J. Knapp, Jr.",Trustee,New Jersey Institute Of Technology,,,"Affiliation: Proprietor, Black Horse Inn",,,118118575.0,185828.0,Overseer,,True
Victor A. Pelson,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Director and Senior Advisor, SC Warburg Dillion Read Inc Swiss Bank Ctr. One, 677 Washington Blvd., Stamford, CT 06901 Tel: (203) 719-3000 Fax: (203) 719-5499",,,118118575.0,185828.0,Overseer,,True
Martin Tuchman,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Chairman and Chief Executive Officer, Interpool, Inc",,,118118575.0,185828.0,Overseer,,True
The Hon. Christine Todd Whitman,Ex Officio Trustee,New Jersey Institute Of Technology,,Wheaton (MA) 1968 BA,"Affiliation: Governor, State of New Jersey 125 W. State St., P.O. Box 001, Trenton, NJ 08625-0001 Tel: (609) 777-2200 Fax: (609) 292-5212",,,118118575.0,185828.0,"Overseer, Ex Officio",,True
Harold R. Wilde,President,North Dakota University System,,,"Chairman, U.S. Equities Realty, IncChicago, IL",,,4210127926.0,,Board President,,True
Harold R. Wilde,Trustee,North Dakota University System,,,"Chairman, U.S. Equities Realty, IncChicago, IL",,,4210127926.0,,Member,,True
Robert A. Wislow,Executive Committee Member-at-Large Trustee,North Dakota University System,,,,,,4210127926.0,,Member,,True
Jeanette G. Grasselli Brown,Regent,Ohio State University,,,"Chairperson of the Board of Trustees, Ohio University",,,52357470.0,204796.0,Trustee,,True
Michael A. Fox,Ex Officio Regent,Ohio State University,,,,,,52357470.0,204796.0,"Trustee, Ex Officio",,True
Gerald H. Gordon,Regent,Ohio State University,,,"President and Chief Operating Officer, Sun Media Corporation",,,52357470.0,204796.0,Trustee,,True
Merle G. Kearns,Ex Officio Regent,Ohio State University,,,"Member, Ohio Senate",,,52357470.0,204796.0,"Trustee, Ex Officio",,True
Patricia A. Ackerman,Trustee,Ohio University,,,,,,4210106879.0,204857.0,Regent,,True
Gordon F. Brunner,Vice Chairman,Ohio University,,,"Senior Vice President, The Procter & Gamble Company",,,4210106879.0,204857.0,Board Vice President,,True
"Charles R. Emrick, Jr.",Trustee,Ohio University,,,"Calfee, Halter & Griswold Attorneys",,,4210106879.0,204857.0,Regent,,True
Alan H. Geiger,Assistant To The President,Ohio University,,,"Benesch, Friedlander, Coplan & Aronoff Attorneys",,,4210106879.0,204857.0,Board President,,True
Alan H. Geiger,Secretary,Ohio University,,,"Benesch, Friedlander, Coplan & Aronoff Attorneys",,,4210106879.0,204857.0,Other Board Member,,True
Robert Glidden,President,Ohio University,,,,,,4210106879.0,204857.0,Board President,,True
Robert Glidden,Trustee,Ohio University,,,,,,4210106879.0,204857.0,Regent,,True
N. Victor Goodman,Trustee,Ohio University,,,,,,4210106879.0,204857.0,Regent,,True
Brandon T. Grover,Chairman,Ohio University,,,,,,4210106879.0,204857.0,Board President,,True
Paul R. Leonard,Trustee,Ohio University,,,,,,4210106879.0,204857.0,Regent,,True
K. C. Melnik,Student Trustee,Ohio University,,,,,,4210106879.0,204857.0,Other Board Member,,True
M. Lee Ong,Trustee,Ohio University,,,,,,4210106879.0,204857.0,Regent,,True
Shawn M. Dirk,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
Gail D. Edwards,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
James W. Harris,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
"Charles W. Hash, Sr",Chairman,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Board President,,True
Joseph E. Hennessey,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
Caroline M. Hoffer,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
William B. Mcliwaine,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
Nelson Sears,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
Robert Torres,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
Sue A. Walker,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
Paul G. Wedel,Trustee,Pennsylvania State System Of Higher Education,,,,,,29957033.0,,Governor,,True
Joan L. Bildner,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
Ruben Cardona,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
Enrica Gloe Chretien,Assistant Secretary,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Other Board Member,,True
Anthony S. Cicatiello,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
Kevin J. Collins,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
"Louie CrewAlbert Gamper, Jr",Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Other Board Member,,True
Harry W. Janes,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Other Board Member,,True
Nancy L. Lane,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
Francis L. Lawrence,President,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Board President,,True
Francis L. Lawrence,Ex Officio Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,"Trustee, Ex Officio",,True
Richard A. Levao,Vice Chairman,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Board Vice President,,True
Nancy Lotstein,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
Gwendolyn McLoof,Student Representative Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Other Board Member,,True
Eugene M. O'Hara,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
Thomas A. Renyi,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,Trustee,,True
Kurt T. Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc",,,12524447.0,186584.0,Regent,,True
"Rev. Msgr. John W. Flesey, S.T.D",Trustee,Seton Hall University,,,"Rector and Dean, Immaculate Conception Seminary School of Theology and Trustee",,,12524447.0,186584.0,Regent,,True
Msgr. John J. Gilchrist,Trustee,Seton Hall University,,,"Pastor, Holy Cross Church",,,12524447.0,186584.0,Regent,,True
Msgr. Walter Gorski,Trustee,Seton Hall University,,,"Administrator, Most Sacred Heart of Jesus Church",,,12524447.0,186584.0,Regent,,True
Jerome D. Greco,Trustee,Seton Hall University,,,"Consultant, First Union National Bank",,,12524447.0,186584.0,Regent,,True
Joseph P. LaSala,Trustee,Seton Hall University,,,"Partner, McElroy, Deutsch & Mulvaney",,,12524447.0,186584.0,Regent,,True
Kent Manahan,Trustee,Seton Hall University,,,"Senior Anchor, New Jersey Network",,,12524447.0,186584.0,Regent,,True
Most Rev. Theodore E. McCarrick,Chairman,Seton Hall University,,,Archbishop of Newark,,,12524447.0,186584.0,Board President,,True
"Very Rev. Thomas R. Peterson, O.PMsgr. Ronald Rozniak",Chancellor,Seton Hall University,,,"Vicar General, Archdiocese of Newark",,,12524447.0,186584.0,Board President,,True
"Very Rev. Thomas R. Peterson, O.PMsgr. Ronald Rozniak",Trustee,Seton Hall University,,,"Vicar General, Archdiocese of Newark",,,12524447.0,186584.0,Regent,,True
