Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,FixedPosition,StateSystem,PrimarySample
Kim Wilkerson,Trustee,Clemson University,,,"President, Bank of America South Carolina, Bank of America Corporation",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
"Dr. Holly S. Andersen, MD",Overseer,Dartmouth College,,Dartmouth 1985 BS: Rochester MD,,232.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Barbara J. Couch,Overseer,Dartmouth College,,Dartmouth 1977 MA: Muskingum Col LHD,,232.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Susan G. Dentzer,Overseer,Dartmouth College,,Dartmouth 1977 AB. 1980 MD,"Principal Investigator, Excimer laser Study for Corneal Disease, Manhattan Eye. Ear and Throat Hospital",232.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Dr. Freddie H. Fu,Overseer,Dartmouth College,,"Dartmouth 1974 AB, 1975 BM; Pittsburgh 1977 MD","Professor and Chairman, Orthopedic Surgery, School of Medicine, University of Pittsburgh Pittsburgh. PA 15260",232.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
"Dr. Steven Gillis, PhD",Overseer,Dartmouth College,,Williams 1975 BA: Dartmouth 1978 PhD,"Managing Director, ARCH Venture Partners. L.PTel: (773) 380-6600",232.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
William W. Helman IV,Chairman,Dartmouth College,,Dartmouth 1980 AB; Harvard 1984 MBA,"Partner, Greylock Partners",233.0,,,107672454.0,Dartmouth College,182670.0,Board President,,True
Bonnie Ann Henderson,Overseer,Dartmouth College,,Dartmouth 1993 MD,,233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
"Ross A. Jaffe, MD",Overseer,Dartmouth College,,Dartmouth 1980 BA; Johns Hopkins 1985 MD; Stanford MBA,"Managing Director, Versant Ventures",233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Renee M. Landers,Overseer,Dartmouth College,,Radcliffe 1977 AB; Boston College 1985 JD,"Professor of Law, Suffolk University Law School",233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Sue Lynch,Overseer,Dartmouth College,,,,233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
"Norman C. Payson, MD",Overseer,Dartmouth College,,MIT 1970 BS; Dartmouth 1973 MD,"Executive Chairman and Chief Executive Officer, Apria Healthcare Group Inc",233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Thomas A. Scully,Overseer,Dartmouth College,,Virginia 1979 BA; Columbus Law 1986 JD,"Senior Counsel, Washington, DC Office, Alston & Bird LLP",233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Todd B. Sisitsky,Overseer,Dartmouth College,,Dartmouth 1993; Stanford MBA,"Partner, TPG Capital, L.P",233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
"Peter L. Slavin, MD",Overseer,Dartmouth College,,"Harvard 1979 AB, 1984 MD, 1990 MBA","President, Massachusetts General Hospital",233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
John L. Steffens,Overseer,Dartmouth College,,,,233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Robert L. Thurer,Overseer,Dartmouth College,,"Dartmouth 1967, 1968; Harvard 1970 MD","Chief Academic Officer, Dubai HealthCare City",233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
Douglas E. Williamson,Overseer,Dartmouth College,,,,233.0,,,107672454.0,Dartmouth College,182670.0,Trustee,,True
"Dr. Drew Gilpin Faust, PhD",Fellow,Harvard University,,,,276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Paul J. Finnegan,Fellow,Harvard University,,,"Co-Chief Executive Officer, Madison Dearborn Partners, LLC",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Susan L. Graham,Fellow,Harvard University,,Harvard 1964 AB; Stanford 1966 MS. 1971 PhD,"Pehong Chen Distinguished Professor of Electrical Engineering and Computer Science, Department of Electrical Engineering and Computer Sciences, College of Engineering, University of California, Berkeley",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Nannerl Overholser Keohane,Fellow,Harvard University,,"Wellesley 1961 BA; Oxford (UK) 1963 BA, MA: Yale 1967 PhD","Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Woodrow Wilson School of Public and International Affairs, Princeton University",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Carmack Waterhouse Professor of Law, Medicine, Ethics, and Public Policy, The Law Center, Georgetown University",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
William F. Lee,Fellow,Harvard University,,"Harvard 1972 AB; Cornell 1976 JD, 1976 MBA",,276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Dr. Jessica Tuchman Mathews,Fellow,Harvard University,,Radcliffe 1967 BS; Caltech 1973 PhD,"President, Carnegie Endowment for International Peace",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Joseph J. O'Donnell,Fellow,Harvard University,,"Harvard 1967 AB, 1971 MBA","Owner and Chairman, Boston Concessions Group, Inc",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Robert D. Reischauer,Senior Fellow,Harvard University,,Harvard 1963 AB; Columbia 1966 MIA. 1971 PhD,,276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
James r. Rothenberg,Treasurer,Harvard University,,,"Chairman, Capital Research & Management Company",276.0,,,136199984.0,Harvard University,166027.0,Other Board Member,,True
James r. Rothenberg,Fellow,Harvard University,,,"Chairman, Capital Research & Management Company",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Robert E. Rubin,Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB: London School Econ (UK),"Special Advisor, Tinicum Capital Partners, L.P. 185",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
"Theodore V. Wells, Jr",Fellow,Harvard University,,Col Holy Cross 1972 BA; Harvard 1976 MBA1976 JD,"Co-Chair, Litigation, Paul, Weiss, Rifkind, Wharton & Garrison LLP",276.0,,,136199984.0,Harvard University,166027.0,Overseer,,True
Mark T. Abraham,Regent,Louisiana State University System,,,,318.0,,,107341208.0,Louisiana State University System,,Member,,True
Charlotte Bollinger,Vice Chairman,Louisiana State University System,,Southwestern Louisiana BA,,318.0,,,107341208.0,Louisiana State University System,,Board Vice President,,True
Raymond J. Brandt,Regent,Louisiana State University System,,,"Chairman, Louisiana Motor Vehicle CommissionState of Louisiana3017 12th Street, Metairie, LA 70002Tel: (504) 837-2088",318.0,,,107341208.0,Louisiana State University System,,Member,,True
Robert J. Bruno,Regent,Louisiana State University System,,LSU 1980 BA: Tulane JD,"Attorney, Bruno & Bruno855 Baronne Street, New Orleans, LA 70113Tel: (504) 525-1335",318.0,,,107341208.0,Louisiana State University System,,Member,,True
Maurice C. Durbin,Regent,Louisiana State University System,,LSU BS. MEd,,318.0,,,107341208.0,Louisiana State University System,,Member,,True
Joseph P. Farr,Regent,Louisiana State University System,,Louisiana (Monroe) 1975 BB,,318.0,,,107341208.0,Louisiana State University System,,Member,,True
"William H. ""Bill"" Fenstermaker",Regent,Louisiana State University System,,Louisiana (Lafayette),"Chairman and Chief Executive Officer. C. HFenstermaker & Associates, Inc135 Regency Square, Lafayette, LA 70508*Tel: (337) 237-2200",318.0,,,107341208.0,Louisiana State University System,,Member,,True
Chris D. Gorman,Regent,Louisiana State University System,,North Texas BAAS,,318.0,,,107341208.0,Louisiana State University System,,Member,,True
Matthew L. Jewell,Student Regent,Louisiana State University System,,,,318.0,,,107341208.0,Louisiana State University System,,Other Board Member,,True
Donna Guinn Klein,Regent,Louisiana State University System,,Loyola U (New Orleans) 1978 BS: Tulane 1981 iD,,318.0,,,107341208.0,Louisiana State University System,,Member,,True
Robert W. Levy,Chairman,Louisiana State University System,,Nicholls State 1970: LSU 1974,,318.0,,,107341208.0,Louisiana State University System,,Board President,,True
Roy O. Martin III,Regent,Louisiana State University System,,LSU 1982 BSME. 1985 MBA,"President, Roy O. Martin Lumber ManagementL.L.C2189 Memorial Drive, Alexandria, LA 71301Tel: (318) 448-0405",318.0,,,107341208.0,Louisiana State University System,,Member,,True
"William Clinton ""Bubba"" Rasberry, Jr.",Regent,Louisiana State University System,,Vanderbilt BA: LSU,,318.0,,,107341208.0,Louisiana State University System,,Member,,True
Dr. Albert D. Sam II,Regent,Louisiana State University System,,Morehouse Col BS: Duke MD; Illinois (Chicago) MS;Tulane MMM,"Chief of Vascular Surgery, Baton Rouge GeneralMedical Center8585 Picardy Avenue, Baton Rouge, LA 70809 (Bluebonnet)Tel: (225) 763-4000",318.0,,,107341208.0,Louisiana State University System,,Member,,True
"Harold M. Stokes, US (Ret)",Regent,Louisiana State University System,,UC Irvine,,318.0,,,107341208.0,Louisiana State University System,,Member,,True
William Howard Ahmanson,Trustee,Loyola Marymount University,,,"President, The Ahmanson Foundation",319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Kathleen Hannon Aikenhead,Chair,Loyola Marymount University,,Bucknell BS,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Board President,,True
"Sister Rita Arthur, RSHM, PhD",Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Robert C. Baker,Trustee,Loyola Marymount University,,Yale 1956 BA. 1959 LLB,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA: UCLA 1981 MBA,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Gerald R. Blaszczak, S.J",Trustee,Loyola Marymount University,,Fordham BA: Harvard 1983 PhD,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
David W. Burcham,Trustee,Loyola Marymount University,,Loyola Marymount 1967,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Alex Martin Chaves,Trustee,Loyola Marymount University,,Loyola Marymount 1986,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Rev. Gerald T. ""Jerry"" Cobb, S.J",Secretary,Loyola Marymount University,,,"Associate Professor, Department of English, Seattle University",319.0,,,35566140.0,Loyola Marymount University,117946.0,Other Board Member,,True
Frederick B. Craves,Trustee,Loyola Marymount University,,Georgetown 1967 BS: UC San Francisco PhD,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Rudy F. deLeon, Jr.",Trustee,Loyola Marymount University,,Loyola Marymount 1974,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
David S. DeVito,Trustee,Loyola Marymount University,,,"Executive Vice President and Chief Administrative Officer, The TCW Group, Inc865 South Figueroa Street, Suite 1800, Los Angeles, CA 90017 Education: UCLA BA",319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Karen J. DialThe Honorable Irma J. Brown Dillon,Trustee,Loyola Marymount University,,Loyola Marymount 1970. 1973,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Norean V. DreierKathleen M. Duncan,Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Gregory M. Goethals, S.JMary Elizabeth Ingham, CSJ",Trustee,Loyola Marymount University,,Loyola Marymount 1973. 1981,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Nelly Llanos Kilroy,Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Joseph M. Knott,Trustee,Loyola Marymount University,,Loyola Marymount 1974,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Rev. Daniel K. Lahart, S.J.",Trustee,Loyola Marymount University,,Georgetown 1983 BSBA; Weston Theology 1993 MDiv; Boston Col 1994 MEd; Stanford 1996 MBA,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Edward A. Landry,Trustee,Loyola Marymount University,,LSU 1961 BA; UCLA 1964 JD,"Partner, Executive Committee, Musick, Peeler & Garrett LLP One Wilshire Boulevard, Suite 2000, Los Angeles, CA 90017-3321 Tel: (213) 629-7657",320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Deborah H. Lanni,Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Michael A. Lawson,Trustee,Loyola Marymount University,,Loyola Marymount 1975 BA; Harvard 1978 JD,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Cecilia A. Magladry, CSJ",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Dr. Gerdenio M. ""Sonny"" Manuel, S.J.",Trustee,Loyola Marymount University,,U San Francisco 1971 BA; Jesuit Berkeley 1978 MDiv; Duke 1985 PhD,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Michael C. McCarthy, S.J",Trustee,Loyola Marymount University,,Santa Clara U 1987 BA; Oxford (UK) MA; Jesuit Berkeley 1997 MDiv; Notre Dame 2003 PhD,"Executive Director. Ignatian Center for Jesuit Education, Santa Clara University 500 El Camino Real, Santa Clara, CA 95053-0001 Tel: (408) 554-4000",320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Paul W. Mikos,Vice Chair,Loyola Marymount University,,Loyola Marymount 1966,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Board Vice President,,True
"Dr. Edison K, Miyawaki, MD",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"William H. Muller, S.J",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Gregory J. O'Meara,Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Timothy G. Psomas,Trustee,Loyola Marymount University,,Loyola Marymount 1962 BS,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Dr. Robert J. Sclabassi, MD",Trustee,Loyola Marymount University,,Loyola Marymount 1962,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Renata C. Smith Simril,Trustee,Loyola Marymount University,,Loyola Marymount 1993,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Michael R. Steed,Trustee,Loyola Marymount University,,Loyola Marymount 1971,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Elbridge H. Stuart III,Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Markos I. Tambakeras,Trustee,Loyola Marymount University,,U Witwatersrand 1975 BS; Loyola Marymount 1978 MBA,"Chairman, President and Chief Executive Officer, Kennametal Inc. (2002-2005)",320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Rosemary L. Turner,Trustee,Loyola Marymount University,,Lovola Marymount 1984,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Walter F. Ulloa,Trustee,Loyola Marymount University,,USC: Loyola Marymount 1975 JD,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Paul S. Viviano,Trustee,Loyola Marymount University,,UCLA MPA,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"Rev. Bobert T. Walsh, S.J",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Laura D. Williamsonaleb,Trustee,Loyola Marymount University,,Loyola Marymount 1974,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
"David J. ""Dave"" Zuercher",Trustee,Loyola Marymount University,,Loyola Marymount 1968,,320.0,,,35566140.0,Loyola Marymount University,117946.0,Regent,,True
Anne S. Babineau,Trustee,New Jersey Institute Of Technology,,New Rochelle 1973 BA; Seton Hall 1977 JD,"Chairman, Redevelopment Law Practice Area, Wilentz Goldman & Spitzer P.APO. Box 10, Woodbridge, NJ 07095-0958",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Philip K. Beachem.,Trustee,New Jersey Institute Of Technology,,,"President, New Jersey Alliance for Action",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Dennis M. Bone.,Trustee,New Jersey Institute Of Technology,,West Virginia Tech 1973 BS; Rutgers 1984 MBA; Johns Hopkins MS,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,Stanford 1991 BA. 1992 MA: Yale 1997 JD,"Mayor, Office of the Mayor, City of Newark, New Jersey; Mayor (D), Office of the Mayor, City of Newark, New Jersey City Hall, 920 Broad Street, Room 200, Newark, NJ 07102",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,"Overseer, Ex Officio",,True
"Christopher J. ""Chris"" Christie",Ex Officio Trustee,New Jersey Institute Of Technology,,Delaware 1984 BA; Seton Hall 1987 JD,"Governor, State of New Jersey; Governor (R), State of New Jersey P.O. Box 001, Trenton, NJ 08625",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,"Overseer, Ex Officio",,True
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
"Gary C. Dahms, PE, PP, CME",Trustee,New Jersey Institute Of Technology,,,"Senior Vice President and Chief Operating Officer, T&M Associates",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris Holdings",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Stephen P. DePalma,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1972,"President and Chief Executive Officer, Schoor DePalma",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Board Vice President,,True
"Elizabeth ""Liz"" Garcia I",Trustee,New Jersey Institute Of Technology,,,"Manager, Public Affairs, Infineum",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Henry A. Mauermeyer,Treasurer,New Jersey Institute Of Technology,,,"Senior Vice President, Administration and Treasurer, New Jersey Institute of Technology",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Other Board Member,,True
"Lawrence A. ""Larry"" Raia, PE",Trustee,New Jersey Institute Of Technology,,,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Anthony R. Slimowicz,Trustee,New Jersey Institute Of Technology,,,"Managing Director, WCD Capital Partners, LLC",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
Holly Stern,Secretary,New Jersey Institute Of Technology,,,"General Counsel, New Jersey Institute of Technology",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Other Board Member,,True
Binay Sugla,Trustee,New Jersey Institute Of Technology,,,"Chief Executive Officer and Chairman, Mobile Matrix Inc",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,Overseer,,True
"Robert L. ""Bob"" Barchi",Ex Officio Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,"Trustee, Ex Officio",,True
"Gregory ""Greg"" Brown",Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
Joseph T. Cashin,Student Representative Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Other Board Member,,True
Anthony J. DePetris,Governor,Rutgers State University Of New Jersey,,Rutgers (Camden) 1984 BA: Delaware 1986 MPA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
Bruce Fehn,Treasurer,Rutgers State University Of New Jersey,,Rutgers 1972 BA: Columbia 1975 JD,"Executive Vice President, Secretary and General Counsel, Breeze-Eastern Corporation 700 Liberty Avenue, Union, NJ 07083-4115 Tel: (908) 686-4000",445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Other Board Member,,True
Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Other Board Member,,True
Gerald C. Harvey,Vice Chairman,Rutgers State University Of New Jersey,,Rutgers 1972 BA: Columbia 1975 JD,"Executive Vice President. Secretary and General Counsel. Breeze-Eastern Corporation 700 Liberty Avenue, Union, NJ 07083-4115 Tel: (908) 686-4000",445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Board Vice President,,True
Mark P. Hershhorn,Governor,Rutgers State University Of New Jersey,,Rutgers 1971 BA: Wharton 1972 MBA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
"Rev. M. William Howard, Jr",Governor,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA: Princeton Sem 1972 MDiv,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
"Dr. Ralph Izzo, PhD",Chairman,Rutgers State University Of New Jersey,,"Columbia 1978 BS. 1979 MS, 1981 PhD; Rutgers MBA","Chairman, Chief Executive Officer and President, Public Service Enterprise Group Incorporated *P.O. Box 570, Newark, NJ 07101 Tel: (973) 430-7000",445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Board President,,True
Gordon Macinnes,Governor,Rutgers State University Of New Jersey,,Occidental 1963 BA: Princeton MPA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
Paul Panayotatos,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Other Board Member,,True
Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,"Baruch Col 1973 BBA: Michigan State 1975 MA, 1979 PhD",,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Other Board Member,,True
"Joseph J. Roberts, Jr",Governor,Rutgers State University Of New Jersey,,Rutgers BA; Pennsylvania 1986 MGA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
Kenneth M. Schmidt,Governor,Rutgers State University Of New Jersey,,Rutgers 1967 BA: Western New England 1969 MBA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
Daniel H. Schulman,Governor,Rutgers State University Of New Jersey,,Middlebury 1980 BA; Stern 1986 MBA,"Group President, Enterprise Growth Group, American Express Company",446.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
Candace L. Straight,Governor,Rutgers State University Of New Jersey,,,,446.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,Trustee,,True
"Robert E. ""Bob"" Baldini",Trustee,Seton Hall University,,,,,,,12524447.0,Seton Hall University,186584.0,Regent,,True
Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,"Affiliation: Vicar General and Moderator of the Curia, Archdiocese of Newark",468.0,,,12524447.0,Seton Hall University,186584.0,Board Vice President,,True
Dr. Amado Gabriel M. Esteban,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,Regent,,True
Dr. Phillip Frese,Trustee,Seton Hall University,,,"Affiliation: Executive Vice President, Operations, Catholic Health and Human Services Corporation",468.0,,,12524447.0,Seton Hall University,186584.0,Regent,,True
Francis J. Hager,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,Regent,,True
"Phillip N. ""Phil"" Maisano",Trustee,Seton Hall University,,Belmont Abbey 1969 BA; lona 1976 MBA,,468.0,,,12524447.0,Seton Hall University,186584.0,Regent,,True
