Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,PrimarySample
William K. Johnson,Senior Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Marshal Keller,Senior Board Trustee,Abilene Christian University,,,"Chairman, West Texas Wholesale Supply Company",120.0,,,60205797,222178,False
George W. Knight,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
L. Roger Knight,Senior Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Guy Lewis,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Stanley A. Lockhart,Senior Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Holt Lunsford,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Thomas K. Lyons,Trustee,Abilene Christian University,,,"President, Lyons Company, Inc",120.0,,,60205797,222178,False
Janice Massey,Trustee,Abilene Christian University,,,"Professor, Duke University Medical Center Durham, NC 27710",120.0,,,60205797,222178,False
"Prentice A. Meador, Jr.",Assistant Secretary,Abilene Christian University,,,"Minister, Prestoncrest Church of Christ",120.0,,,60205797,222178,False
C. Todd Miller,Trustee,Abilene Christian University,,,"Chief Executive Officer, Eiger, Inc",120.0,,,60205797,222178,False
Cle Montgomery,Trustee,Abilene Christian University,,,"President, Montgomery, Montgomery, Inc",120.0,,,60205797,222178,False
Tommy Morris,Assistant Secretary,Abilene Christian University,,,"Owner, Tommy Morris Agency",120.0,,,60205797,222178,False
James Muns,Senior Board Trustee,Abilene Christian University,,,"Partner and President, Muns Enterprises",120.0,,,60205797,222178,False
Randy Nicholson,Vice Chairman,Abilene Christian University,,,"Chairman and Chief Executive Officer, Auto Gas Systems",120.0,,,60205797,222178,False
George Offutt,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
"Robert Oglesby, Sr.",Senior Trustee,Abilene Christian University,,,Minister. Waterview Church of Christ,120.0,,,60205797,222178,False
Jim Orr,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Wilson C. Orr,Senior Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Harrold D. Owen,Senior Board Trustee,Abilene Christian University,,,"Owner, Owen Oil Tools, Inc",120.0,,,60205797,222178,False
Barry Packer,Trustee,Abilene Christian University,,Abilene Christian 1978,,120.0,,,60205797,222178,False
Patsy Parker,Trustee,Abilene Christian University,,Houston BS; U Phoenix MA,Southwestern Bell Communications,120.0,,,60205797,222178,False
"Hubert Pickett, Jr",Vice Chairman,Abilene Christian University,,,,120.0,,,60205797,222178,False
Jack Pope,Senior Board Trustee,Abilene Christian University,,,"Chief Justice, Texas Supreme Court",120.0,,,60205797,222178,False
James Porter,Trustee,Abilene Christian University,,,"President and Chief Executive Officer, Triad Systems Corporation",120.0,,,60205797,222178,False
Joe Powell',Trustee,Abilene Christian University,,,"President and Chief Executive Officer, Old Hickory Clay Company",120.0,,,60205797,222178,False
Don Clifford Rhoden,Assistant Secretary,Abilene Christian University,,,,120.0,,,60205797,222178,False
John James Riehi,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Joe T. Ritchie,Trustee,Abilene Christian University,,,"Career: Professor, Michigan State University",120.0,,,60205797,222178,False
Charles Rix,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Eddie Sharp,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Don M. Shultz,Senior Board Trustee,Abilene Christian University,,,Career: Ford Motor Company,120.0,,,60205797,222178,False
S. Douglas Smith,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Steve Smith,Trustee,Abilene Christian University,,,Education: Abilene Christian 1974; Texas,120.0,,,60205797,222178,False
Trey Smith,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Sam Sparks,Senior Board Trustee,Abilene Christian University,,,"Affiliation: President, B&P Bridge Company of Weslaco",120.0,,,60205797,222178,False
Gene C. Stallings,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Johnny Stites II,Trustee,Abilene Christian University,,,"Affiliation: President, J&S Construction CoCookeville, TN 38501",120.0,,,60205797,222178,False
R. Jerry Strader,Senior Board Trustee,Abilene Christian University,,,"Affiliation: Vice President, Medical Staff Affairs, Hendrick Medical Center",120.0,,,60205797,222178,False
I. Joe Talbot,Senior Board Trustee,Abilene Christian University,,,"Affiliation: Owner, Joe Talbot and Associates",120.0,,,60205797,222178,False
Warlick Thomas,Senior Board Trustee,Abilene Christian University,,,"Career: Attorney, Burdett, Morgan & Thomas",120.0,,,60205797,222178,False
Gary A. Thornton,Trustee,Abilene Christian University,,,"Affiliation: Attorney, Jackson Walker, LLP",120.0,,,60205797,222178,False
William R. Waugh,Senior Board Trustee,Abilene Christian University,,,"Affiliation: Chief Executive Officer, Waugh Enterprise, IncO. J. Weber",120.0,,,60205797,222178,False
Louie Welch,Senior Board Trustee,Abilene Christian University,,,"Career: Mayor, City of Houston, Texas",120.0,,,60205797,222178,False
Robert Lee West,Senior Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
J. McDonald Williams,Trustee,Abilene Christian University,,,"Affiliation: Chairman, Trammell Crow Company",120.0,,,60205797,222178,False
Melinda Worley,Trustee,Abilene Christian University,,,"Affiliation: Teacher, Brentwood Christian School",120.0,,,60205797,222178,False
Robert Allyn Scott,President,Adelphi University,,Education: Bucknell BA; Cornell PhD,"Career: Assistant Commissioner. Indiana Commission for Higher Education; Associate Den and Senior Administrator, College of Arts and Sciences, Cornell University; President and Chief Executive Officer, Ramapo College (1985-2000)",120.0,,,71965598,188429,True
Lori Duggan-Gold,"Assistant to the President and Executive Director, External Affairs",Adelphi University,,,,120.0,,,71965598,188429,True
Marcia Welsh,"Provost and Senior Vice President, Academic Affairs",Adelphi University,,,,121.0,,,71965598,188429,True
Audrey Blumberg,"Senior Associate Provost, Academic Affairs",Adelphi University,,,,121.0,,,71965598,188429,True
Lester B. Baltimore,"Associate Provost, Academic Affairs, Academic Services and Retention",Adelphi University,,,,121.0,,,71965598,188429,True
Henry F. Ahner,"Associate Provost, Administration",Adelphi University,,,,121.0,,,71965598,188429,True
James McGowan,"Associate Provost, Off-Campus Programs",Adelphi University,,,,121.0,,,71965598,188429,True
Angelo Proto,"Vice President, Enrollment Management and Student Affairs",Adelphi University,,,,121.0,,,71965598,188429,True
Timothy Burton,"Vice President, Finance and Treasurer",Adelphi University,,,,121.0,,,71965598,188429,True
Christian P. Vaupel,"Deputy Vice President, University Advancement",Adelphi University,,,,121.0,,,71965598,188429,True
Joseph Posillico,"Assistant Vice President, Admissions, Student Financial Services and Promotions",Adelphi University,,,,121.0,,,71965598,188429,True
Robert DeCarlo,"Assistant Vice President, Finance and Controller",Adelphi University,,,,121.0,,,71965598,188429,True
Lisa Araujo,"Assistant Vice President, Human Resources, Labor Relations and Public Safety",Adelphi University,,,,121.0,,,71965598,188429,True
Jack Chen,Chief Information Officer,Adelphi University,,,,121.0,,,71965598,188429,True
Louis Primavera,"Dean, Derner Institute of Advanced Psychological Studies",Adelphi University,Derner Institute of Advanced Psychological Studies,,,121.0,,,71965598,188429,True
Richard Garner,"Dean, Honors College",Adelphi University,Honors College,,,121.0,,,71965598,188429,True
Jeffrey Kessler,"Dean, Student Affairs",Adelphi University,Student Affairs,,,121.0,,,71965598,188429,True
Charles W. Simpson,"Dean, University Libraries",Adelphi University,University Libraries,,,121.0,,,71965598,188429,True
Christine Dolan Murphy,"Director, Admissions (Interim)",Adelphi University,,,,121.0,,,71965598,188429,True
Patricia D. Mitchell,"Director, Center for Career Development",Adelphi University,,,"Post Hall East, Garden City, NY 11530",121.0,,,71965598,188429,True
Donald Barto,"Director, Public Safety",Adelphi University,,,,121.0,,,71965598,188429,True
Nava Lerer R,"Director, Research, Assessment and Planning",Adelphi University,,,,121.0,,,71965598,188429,True
Gayle D. Insler,Dean,Adelphi University,College of Arts and Sciences,,,121.0,,,71965598,188429,True
Anthony Libertella,Dean,Adelphi University,School of Business,,,121.0,,,71965598,188429,True
Ronald Feingold,Dean (Interim),Adelphi University,School of Education,,,121.0,,,71965598,188429,True
Patrick Coonan,Dean (Interim),Adelphi University,School of Nursing,,,121.0,,,71965598,188429,True
Andrew W. Safer,Dean,Adelphi University,School of Social Work,"SUNY (Purchase) BA; Rutgers MS; Michigan MSW, MA, PhD",,121.0,,,71965598,188429,True
William A. Ackerman,Trustee,Adelphi University,,,"Partner, Ackerman, Levine, Cullen, Brickman & Limmer",121.0,,,71965598,188429,True
Bernard F. Ashe,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
John C. Bierwirth,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
Richard C. Cahn,Trustee,Adelphi University,,,"Attorney and Founding Partner, Can and Cahn, LLP",121.0,,,71965598,188429,True
Michael Campbell,Vice Chairman,Adelphi University,,,"President and Chief Executive Officer, Dominick & Dominick LLC",121.0,,,71965598,188429,True
"CAPT Robert G. Darling, USN",Director,Adelphi University,,,,121.0,,,71965598,188429,True
Steven N. Fischer,Chairman,Adelphi University,,,,121.0,,,71965598,188429,True
Robert W. Gary,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
Joan S. Girgus,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
Douglas J. Green,Trustee,Adelphi University,,,"Partner in Charge, Leadership Development. KPMG LLP",121.0,,,71965598,188429,True
Palmina R. Grella,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
John J. Gutleber,Trustee,Adelphi University,,,"President and Chief Executive Officer, Castagna Realty Company",121.0,,,71965598,188429,True
Steven L. Isenberg,Chairman Emeritus,Adelphi University,,,,121.0,,,71965598,188429,True
Jeh Charles Johnson,Secretary,Adelphi University,,,,121.0,,,71965598,188429,True
Michael Lazarus,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
"Kenneth A. McClane, Jr",Trustee,Adelphi University,,,"W.E.B. DuBois Professor of Literature, Cornell University",121.0,,,71965598,188429,True
Leon M. Pollack,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
Shahram K. Rabbani,Trustee,Adelphi University,,,"Chief Operating Officer, Treasurer and Secretary, Enzo Biochem, Inc.; President, Enzo Clinical Labs, Inc",121.0,,,71965598,188429,True
Robert Allyn Scott,President and Ex Officio Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
Om P. Soni,Trustee,Adelphi University,,,"Founder, President and Chief Executive Officer, Sonix Medical Resources",121.0,,,71965598,188429,True
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
Barbara Weisz,Trustee,Adelphi University,,,,121.0,,,71965598,188429,True
Joseph W. Westphal,Trustee,Adelphi University,,,"Chancellor, University of Maine System",121.0,,,71965598,188429,True
Barry T. Zeman,Trustee,Adelphi University,,,"President, U.S. Business Development Corp",121.0,,,71965598,188429,True
Mary Brown Bullock,President,Agnes Scott College,,"Agnes Scott 1966; Stanford 1968 MA, 1973 PhD","Director, Committee on Scholarly Communication with the People's Republic of China (1977-1988); Director, Asia Program, The Woodrow Wilson International Center for Scholars (1988-1995); Lecturer, School for Advanced International Studies. Johns Hopkins University",122.0,,,64506506,138600,False
Rosemary L. Zumwalt,"Vice President, Academic Affairs and Dean of the College",Agnes Scott College,,,,122.0,,,64506506,138600,False
William E. Gailey,"Vice President, Business and Finance",Agnes Scott College,,,,122.0,,,64506506,138600,False
Lewis E. Thayne,"Vice President, Institutional Advancement",Agnes Scott College,,,,122.0,,,64506506,138600,False
Gue P. Hudson,"Vice President, Student Life and Community Relations and Dean of Students",Agnes Scott College,,,,122.0,,,64506506,138600,False
Stephanie S. Balmer,"Associate Vice President, Enrollment and Dean, Admission",Agnes Scott College,,,,122.0,,,64506506,138600,False
Karen L. Roy,"Associate Vice President, Finance",Agnes Scott College,,,,122.0,,,64506506,138600,False
Marilyn Johnson Hammond,"Director, Alumnae Relations",Agnes Scott College,,,,122.0,,,64506506,138600,False
Joeleen B. Akin,Athletic Director,Agnes Scott College,,Kansas State,,122.0,,,64506506,138600,False
Catherine Neiner,"Director, Career Planning",Agnes Scott College,,,,122.0,,,64506506,138600,False
Mary G. Ackerly,"Director, Communications",Agnes Scott College,,,,122.0,,,64506506,138600,False
Pat Wildman,"Director, Corporate and Foundation Relations",Agnes Scott College,,,,122.0,,,64506506,138600,False
LaNeta Counts,"Director, Information Technology Services",Agnes Scott College,,,,122.0,,,64506506,138600,False
Tim Hussy,"Director, Interactive Communications",Agnes Scott College,,,,122.0,,,64506506,138600,False
Lea Ann Grimes Hudson,"Director, Office of the President",Agnes Scott College,,,,122.0,,,64506506,138600,False
Demetrice Parks,"Director, Special Events and Conferences",Agnes Scott College,,,,122.0,,,64506506,138600,False
Virginia F. Moreland,Librarian,Agnes Scott College,,,,122.0,,,64506506,138600,False
Sylvia Wilson,Chaplain (Interim),Agnes Scott College,,,,122.0,,,64506506,138600,False
Ann Stein Alperin,Trustee,Agnes Scott College,,,"Executive Director, Young Audiences of Atlanta, Inc",122.0,,,64506506,138600,False
Kathleen Blee Ashe,Trustee,Agnes Scott College,,,"Member, Georgia House of Representatives",122.0,,,64506506,138600,False
"Robert L. Brown, Jr",Trustee,Agnes Scott College,,,"President and Chief Executive Officer, R.LBrown & Associates. Inc",122.0,,,64506506,138600,False
JoAnn Sawver Delafield,Trustee,Agnes Scott College,,,,122.0,,,64506506,138600,False
John Walter Drake,Trustee,Agnes Scott College,,Davidson 1966 AB; Virginia 1969 LLB,"Managing Partner, McCurdy & Candler LLC",122.0,,,64506506,138600,False
Anne J. Fears,Trustee,Agnes Scott College,,,"Director, Education Services, Dekalb Medical Center",122.0,,,64506506,138600,False
Suzanne C. Feese,Trustee,Agnes Scott College,,Agnes Scott 1984; Yale 1987 JD,,122.0,,,64506506,138600,False
Lawrence L. Gellerstedt III,Trustee,Agnes Scott College,,,"Chairman and Chief Executive Officer, The Gellerstedt Group",122.0,,,64506506,138600,False
J. William Goodhew III,Trustee,Agnes Scott College,,,"Vice President, Intelligent Systems",122.0,,,64506506,138600,False
Audrey L. Grant,Trustee,Agnes Scott College,,,"Regional Medical Director, Team Health, Inc",122.0,,,64506506,138600,False
Lea Ann Grimes Hudson,"Director, Office of the President and Secretary",Agnes Scott College,,,,122.0,,,64506506,138600,False
Elizabeth R. Jones,Trustee,Agnes Scott College,,Agnes Scott 1972; NYU; Seton Hall 1995 JD,,122.0,,,64506506,138600,False
Harriet M. King,Chairperson,Agnes Scott College,,,"Senior Vice Provost, Academic Affairs and Associate Professor, Law, Emory University",122.0,,,64506506,138600,False
Nancy Moore Kuykendall,Trustee,Agnes Scott College,,Agnes Scott 1961,,122.0,,,64506506,138600,False
Christopher M. Little,Vice Chairman,Agnes Scott College,,,"President, Publishing Group, Meredith Corporation",122.0,,,64506506,138600,False
Sallie Taylor Manning,Trustee,Agnes Scott College,,Agnes Scott 1982,,122.0,,,64506506,138600,False
"Phil Noble, Jr.",Trustee,Agnes Scott College,,,"Founder, Politics Online; Founder, Phil Noble & Associates",122.0,,,64506506,138600,False
Marsha Norman,Trustee,Agnes Scott College,,,"Co-Chair, Playwriting Department, The Juilliard School",122.0,,,64506506,138600,False
Mildred Love Petty,Trustee,Agnes Scott College,,Agnes Scott 1961,,122.0,,,64506506,138600,False
"James D. Philips, Jr",Trustee,Agnes Scott College,,,"Partner, Hatfield Philips International LLC",122.0,,,64506506,138600,False
Louise Hill Reaves,Trustee,Agnes Scott College,,Agnes Scott 1954,,122.0,,,64506506,138600,False
B. Clayton Rolader,Trustee,Agnes Scott College,,Harvard BA: Oxford (UK) MA: Harvard JD,"President and Secretary, Balentine & Company",122.0,,,64506506,138600,False
Sally A. Skardon,Trustee,Agnes Scott College,,Agnes Scott 1970,"Director, Development, South Carolina Governor's School for the Arts and Humanities",122.0,,,64506506,138600,False
Susan G. Smathers,Trustee,Agnes Scott College,,Agnes Scott 1975,,122.0,,,64506506,138600,False
O. Benjamin Sparks,Trustee,Agnes Scott College,,Davidson; Union Sem (VA),"Pastor, Second Presbyterian Church",122.0,,,64506506,138600,False
Linda Grant Teasley,Trustee,Agnes Scott College,,Agnes Scott 1961,,122.0,,,64506506,138600,False
Jean Hoefer Toal,Trustee,Agnes Scott College,,Agnes Scott 1965 BA; South Carolina 1968 JD,"Chief Justice, South Carolina Supreme Court",122.0,,,64506506,138600,False
Clyde C. Tuggle,Trustee,Agnes Scott College,,Hamilton 1984 AB; Yale 1988 MDiv,"Senior Vice President, Worldwide Public Affairs and Communications, The Coca-Cola Company",122.0,,,64506506,138600,False
David L. Warren,Trustee,Agnes Scott College,,Washington State 1965 BA; Yale 1970 MA; Michigan 1976 PhD,President and Chief Executive Officer. National Association of Independent Colleges and Universities,123.0,,,64506506,138600,False
J. Scott Wilfong,Trustee,Agnes Scott College,,Mount St Mary's,"President and Chief Executive Officer, Atlanta, SunTrust Bank, Central Group, Atlanta Region",123.0,,,64506506,138600,False
Robert C. Williams,Trustee,Agnes Scott College,,Wesleyan U 1960; Harvard,"Vice President, Academic Affairs and Dean of Faculty, Davidson College (1986-1998)",123.0,,,64506506,138600,False
Peter T. Mitchell,President,Albion College,,Albion 1967 BA; Michigan 1968 MA; Indiana 1972; Northeastern 1981 EdD,,123.0,,,45644089,168546,False
Royal A. Ward,"Vice President, Academic Affairs and Dean of Faculty",Albion College,,,,123.0,,,45644089,168546,False
Marlene R. Kondelik,Assistant,Albion College,,,,123.0,,,45644089,168546,False
Lori Duff.,Administrative Assistant,Albion College,,,,123.0,,,45644089,168546,False
David S. Hawsey,"Vice President, Enrollment",Albion College,,,,123.0,,,45644089,168546,False
Dale R. Dopp.,"Vice President, Finance and Management",Albion College,,,,123.0,,,45644089,168546,False
Troy D. Van Aken.,"Vice President, Information Technology",Albion College,,,,123.0,,,45644089,168546,False
"Ben E. Hancock, Jr.","Vice President, Institutional Advancement",Albion College,,,,123.0,,,45644089,168546,False
Marie Ames .,Executive Secretary,Albion College,,,,123.0,,,45644089,168546,False
Sally J. Walker,Vice President. Student Affairs and Dean of Students,Albion College,,,,123.0,,,45644089,168546,False
Deb Crittenden,Administrative Assistant,Albion College,,,,123.0,,,45644089,168546,False
Sarah F. Briggs,"Director, Communications",Albion College,,,,123.0,,,45644089,168546,False
John P. Kondelik,"Director, Libraries",Albion College,,,,123.0,,,45644089,168546,False
Sylvia Dimma,"Manager, Human Resources",Albion College,,,,123.0,,,45644089,168546,False
"Daniel Boggan, Jr",Trustee,Albion College,,,,123.0,,,45644089,168546,False
"Frederick M. Adams, Jr.",Trustee,Albion College,,,"Career: Chairman, Northern Trust Bank, FSB (Bloomfield Hills)",123.0,,,45644089,168546,False
Carolyn E. Aishton,Trustee,Albion College,,,"Career: Director, Sales Expansion Opportunities, Avon Products, Inc",123.0,,,45644089,168546,False
Richard L. Baird,Trustee,Albion College,,,,123.0,,,45644089,168546,False
David M. Barrett,Trustee,Albion College,,Albion BA; Michigan MSW,Career: Senior Vice President and Chief Operating Officer. National Collegiate Athletic Association (1998-2003),123.0,,,45644089,168546,False
Carey S. Czech,Trustee,Albion College,,,,123.0,,,45644089,168546,False
Julius E. DelPino,Trustee,Albion College,,,"Affiliation: Senior Pastor, Metropolitan United Methodist Church",123.0,,,45644089,168546,False
John W. Ellinger,Trustee,Albion College,,,,123.0,,,45644089,168546,False
Benjamin X. Feeney,Trustee,Albion College,,,,123.0,,,45644089,168546,False
William C. Ferguson,Trustee,Albion College,,,"Career: Chairman and Chief Executive Officer, NYNEX Corporation",123.0,,,45644089,168546,False
Janet M. Goudie,Trustee,Albion College,,,,123.0,,,45644089,168546,False
Edward E. Hagenlocker,Trustee,Albion College,,Ohio State; Michigan MBA,"Career: Vice Chairman, Ford Motor Company (1996-1999)",123.0,,,45644089,168546,False
Robert B. Hetler,Trustee,Albion College,,,"Career: Partner, PricewaterhouseCoopers, L.L.P",123.0,,,45644089,168546,False
James A. Klungness,Chairman,Albion College,,,,123.0,,,45644089,168546,False
Linda Lee,Trustee,Albion College,,,,123.0,,,45644089,168546,False
Carol A. Leisenring,Trustee,Albion College,,,,123.0,,,45644089,168546,False
Thomas L. Ludington,Trustee,Albion College,,,,123.0,,,45644089,168546,False
Joel K. Manby,Trustee,Albion College,,,"Affiliation: Chairman, Silver Dollar City",123.0,,,45644089,168546,False
Peter T. Mitchell,President and Trustee,Albion College,,,,123.0,,,45644089,168546,False
Charles G. Raphael,Trustee,Albion College,,,,123.0,,,45644089,168546,False
William M. Ritter,Trustee,Albion College,,,"Affiliation: Senior Minister, Birmingham First United Methodist Church",123.0,,,45644089,168546,False
Judy Dow Rumelhart,Trustee,Albion College,,,,123.0,,,45644089,168546,False
Bill Schuette,Trustee,Albion College,,Georgetown 1976 BSFS; U San Francisco 1979 JD,"Career: State Senator (R-MI, Midland), Michigan State Senate (1995-2002)",123.0,,,45644089,168546,False
