Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Ronald Poulson,Regent,California Lutheran University,,,"Affiliation: President, Ron Poulson Associates, Inc",173.0,,,176611909.0,110413.0,False,Member
James D. Power IV,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Robert A. Samuelson,Regent,California Lutheran University,,,"Affiliation: Partner, Samuelson Brothers Construction",173.0,,,176611909.0,110413.0,False,Member
Leonard G. Schulze,Advisory Member,California Lutheran University,,,"Affiliation: Executive Director, Division for Higher Education and Schools, Evangelical Lutheran Church in America",173.0,,,176611909.0,110413.0,False,Member
Dean Soiland,Regent,California Lutheran University,,,,,,,176611909.0,110413.0,False,Member
Marvin Soiland,Advisory Member,California Lutheran University,,,"President and Owner, Mark West Aggregates",173.0,,,176611909.0,110413.0,False,Member
Karen B. Spies,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Marilyn Stember,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
James Swenson,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
GayLyn Talbot,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
"George Ullman, Jr",Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Brad Wilson,Regent,California Lutheran University,,,"President, Automated Rental Finder",173.0,,,176611909.0,110413.0,False,Member
Jane Lee Winter,Regent,California Lutheran University,,,"President, Town and Country Travel",173.0,,,176611909.0,110413.0,False,Member
Joan R. Young,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms, Inc",228.0,,,8078737.0,217882.0,True,Member
John J. Britton,Trustee,Clemson University,,Clemson 1954 BS; South Carolina 1959 LLB,,228.0,,,8078737.0,217882.0,True,Member
"Lawrence M. Gressette, Jr.",Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,True,Member
"Leon J. Hendrix, Jr.",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",228.0,,,8078737.0,217882.0,True,Board President
"Thomas C. Lynch, Jr.",Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,True,Member
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",228.0,,,8078737.0,217882.0,True,Member
Patricia Herring McAbee,Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,True,Member
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",228.0,,,8078737.0,217882.0,True,Member
Ellison Smyth McKissick III,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, Inc",228.0,,,8078737.0,217882.0,True,Member
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, McTeer Real Estate, IncP.O. Box 11923, Columbia, SC 29211",228.0,,,8078737.0,217882.0,True,Member
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211",228.0,,,8078737.0,217882.0,True,Member
Joseph D. Swann,Vice Chairman,Clemson University,,Clemson: Case Western 1969 MBA,"Vice President and General Manager, Dodge/Rockwell Automation P.O. Box 499, Ponders Ct., Greenville, SC 29602",228.0,,,8078737.0,217882.0,True,Board Vice President
Allen P. Wood,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., LtdPO. Box 3868, Florence, SC 29502",228.0,,,8078737.0,217882.0,True,Member
Justin L. Altshuler,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Kevin Scott Bright,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Michael Carson,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Theodore Benard Cutler,Chairman,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Board President
Vincent J. Di Bona,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Steven Goldman,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
David Grain,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Jeffrey Greenhawt,Treasurer,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Other Board Member
Gary Grossman,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Doug Herzog,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Douglas V. Holloway,Trustee,Emerson College,,Emerson BS,,279.0,,,87650153.0,165662.0,False,Overseer
Judith Huret,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Richard Janssen,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Sheryl S. Levy,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Peter Meade,Vice Chairman,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Board Vice President
Harry Morgan,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Lawrence Rasky,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Richard Remis,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Nancy Ryan,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Lucille S. Salhany,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Linda Schwartz,Trustee,Emerson College,,,"President and Chief Executive Officer, JHMedia",279.0,,,87650153.0,165662.0,False,Overseer
Peter Smyth,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Alan L. Stanzler,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Marillyn Zacharis,Trustee,Emerson College,,,,279.0,,,87650153.0,165662.0,False,Overseer
Timothy Barnard,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Fred Brown,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Walter J. Conn,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Gerri Craves,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
J. Donald Curran,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
"Rev. L. Paul Fitterer, SJ",Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Elizabeth Hanson,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
"Rev. William E. Hayes, SJ",Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Donald H. Herak,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
"Daniel P. Hogan, Jr",Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
James R. Jundt,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
"Rev. Joseph W. Koterski, SJ",Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
"Rev. Steve Kuder, SJ",Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
John Luger,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
"Rev. Robert V. Lyons, SJ",Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Harry F. Magnuson,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Shannon McCambridge,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
John McCann,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Philip G. McCarthey,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Angelo R. Mozilo.,Trustee,Gonzaga University,,Fordham 1960 BS,,308.0,,,119888943.0,235316.0,False,Regent
Donald P. Nelles,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Michael A. Patterson,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
William M. Pohlad,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
David A. Sabey,Chairman,Gonzaga University,,Mankato State 1966 BA,"Chairman, Two S Properties, Inc",308.0,,,119888943.0,235316.0,False,Board President
Gerald A. Schwalbach,Affiliation,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Other Board Member
"Rev. Robert J. Spitzer, SJ",President,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Board President
John M. Stone,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Thomas B. Tilford,Vice Chairman,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Board Vice President
"Rev. Kevin Waters, SJ",Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Patrick J. West,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Alvin J. Wolff,Trustee,Gonzaga University,,,,308.0,,,119888943.0,235316.0,False,Regent
Hanna Holborn Gray,Fellow,Harvard University,Harvard Corporation,Howard U 1962 BA; Harvard 1965 LLB,"Of Counsel, Simpson Thacher & Bartlett LLP",322.0,,,136199984.0,166027.0,True,Overseer
Conrad K. Harper,Fellow,Harvard University,Harvard Corporation,,"President and Professor, University of Chicago",322.0,,,136199984.0,166027.0,True,Overseer
James R. Houghton,Fellow,Harvard University,,"Harvard 1958 AB, 1962 MBA",Chairman and Chief,322.0,,,136199984.0,166027.0,True,Overseer
Robert D. Reischauer,Fellow,Harvard University,,"Harvard AB; Columbia MIA, PhD","President, The Urban Institute",322.0,,,136199984.0,166027.0,True,Overseer
James F. Rothenberg,Treasurer,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman of the Executive Committee, Citigroup Inc",322.0,,,136199984.0,166027.0,True,Other Board Member
James F. Rothenberg,Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman of the Executive Committee, Citigroup Inc",322.0,,,136199984.0,166027.0,True,Overseer
Robert E. Rubin,Fellow,Harvard University,,,,322.0,,,136199984.0,166027.0,True,Overseer
Lawrence H. Summers,President,Harvard University,,,"Secretary, United States Department of the Treasury, William J. Clinton Administration (1995-1999)",322.0,,,136199984.0,166027.0,True,Board President
Lawrence H. Summers,Fellow,Harvard University,,,"Secretary, United States Department of the Treasury, William J. Clinton Administration (1995-1999)",322.0,,,136199984.0,166027.0,True,Overseer
Theodore Baum,Overseer,Long Island University,,,"Chairman and Chief Executive Officer, Baum Investments, Inc",368.0,,,138873065.0,192448.0,True,Trustee
Adair A. Beutel,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Jerry L. Cohen,Overseer,Long Island University,,NYU BS,,368.0,,,138873065.0,192448.0,True,Trustee
Michael P. Galgano,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
John Adam Kanas,Overseer,Long Island University,,Long Island 1968 BA; Rutgers 1971 MBA,"Chairman, President and Chief Executive Officer, North Fork Bancorporation, Inc275 Broadhollow Road, Melville, NY 11747",368.0,,,138873065.0,192448.0,True,Trustee
Edward D. Kratovil,"Senior Vice President, Worldwide Government Relations",Long Island University,,Long Island 1969 BA,,368.0,,,138873065.0,192448.0,True,Board Vice President
Myron Levine,President,Long Island University,,,Autolog,368.0,,,138873065.0,192448.0,True,Board President
Myron Levine,Chief Executive Officer,Long Island University,,,Autolog,368.0,,,138873065.0,192448.0,True,Other Board Member
"William Lynch, Jr.",President,Long Island University,,,"Bill Lynch Associates; Director, Grants, The Brooklyn Academy of Music, Inc30 Lafayette Avenue, Brooklyn, NY 11217-1486",368.0,,,138873065.0,192448.0,True,Board President
Harry Marmion,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Robert R. Martin,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
R. Lawrence McCann,Education Division Director and Ex Offici,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Roy Nicholson,Associate Professor and Ex Officio,Long Island University,,,,368.0,,,138873065.0,192448.0,True,"Trustee, Ex Officio"
David Pinter,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Julie Ratner,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Jane Ross,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Pierre L. Schoenheimer,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Warren L. Schwerin,Oversee,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Robert F. X. Sillerman,Chancellor,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Board President
Robert F. X. Sillerman,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Andrew Stein,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
David J. Steinberg,President,Long Island University,,,Long Island University,368.0,,,138873065.0,192448.0,True,Board President
David J. Steinberg,Ex Officio Overseer,Long Island University,,,Long Island University,368.0,,,138873065.0,192448.0,True,"Trustee, Ex Officio"
"Samuel H. Swint, Jr.",Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Steven Tanger,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
William Blake,Regent,Louisiana State University System,,,"President, The Lacassane Company",376.0,,,107341208.0,,False,Member
Scott Brame,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,False,Member
Richard E. D'Aquin,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,False,Member
Jeraul Mackey,Student Regent,Louisiana State University System,,,,376.0,,,107341208.0,,False,Other Board Member
Reggie Dupre,Regent,Louisiana State University System,,,"Chief Executive Officer, Dupre Transport, LLC",376.0,,,107341208.0,,False,Member
Frances T. Henry,Vice Chairman,Louisiana State University System,,,,376.0,,,107341208.0,,False,Board Vice President
Stanley J. Jacobs,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,False,Member
Robert Levy,Regent,Louisiana State University System,,,,376.0,,,107341208.0,,False,Member
William A. Oliver,Regent,Louisiana State University System,,McNeese State BS; Tulane MBA,,376.0,,,107341208.0,,False,Member
"W. Clinton Rasberry, Jr.",Regent,Louisiana State University System,,,,376.0,,,107341208.0,,False,Member
"Virgil Robinson, Jr.",Regent,Louisiana State University System,,,"President and Chief Executive Officer, Dryades Savings Bank",376.0,,,107341208.0,,False,Member
William Clifford Smith,Regent,Louisiana State University System,,,"Chairman of the Board, T. Baker Smith & Son, Inc",376.0,,,107341208.0,,False,Member
Pat A. Strong,Secretary,Louisiana State University System,,,,376.0,,,107341208.0,,False,Other Board Member
"Artis Terrell, Jr",Regent,Louisiana State University System,,,"Chairman and Chief Executive Officer, Turner Industries",376.0,,,107341208.0,,False,Member
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Kathleen Hannon Aikenhead,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Robert C. Baker,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
"Rev. Paul Bernadicou, SJ",Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
"Rev. Gerald R. Blaszczak, SJ",Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Peter B. Caloveras,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Larry R. Carter,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
"Alex Chaves, Sr",Trustee,Loyola Marymount University,,Arizona State 1974 BS,,377.0,,,35566140.0,117946.0,True,Regent
John F. Cosgrove,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Frederick B. Craves,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
R. Chad Dreier,Chairman,Loyola Marymount University,,Lovola Marymount 1969 BS,,377.0,,,35566140.0,117946.0,True,Board President
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Robert H. Kerrigan, Jr",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Paul J. Fitzgerald, SJ",Trustee,Loyola Marymount University,,Santa Clara 1980 BA;,,378.0,,,35566140.0,117946.0,True,Regent
John F. Grundhofer,Trustee,Loyola Marymount University,,Loyola Marymount 1960 BA: USC 1964 MBA,,378.0,,,35566140.0,117946.0,True,Regent
"Thomas E. Larkin, Jr",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,378.0,,,35566140.0,117946.0,True,Regent
"Rev. Robert B. Lawton, SJ",President,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Board President
"Rev. Robert B. Lawton, SJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Liam E. McGee,Trustee,Loyola Marymount University,,UC San Diego; Pepperdine MBA; Loyola (CA) JD,,378.0,,,35566140.0,117946.0,True,Regent
John A. McMahon,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Paul W. Mikos,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Sister Mary E. Milligan, RSHM",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Susan F. Moley,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Stephen M. Mosko,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
John F. O'Reilly,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Stephen F. Page,Trustee,Loyola Marymount University,,Loyola Marymount,,378.0,,,35566140.0,117946.0,True,Regent
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,378.0,,,35566140.0,117946.0,True,Regent
"Rev. Kevin P. Quinn, SJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Edward P. Roski, Jr",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Mrs. Terry Seidler,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Louis A. ""Peter"" Siracusa",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Michael R. Steed,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Father Stephen V. Sundborg, SJ",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Joan Treacy, RSHM",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
"Rev. Jeffrey P. von Arx, SJ",Trustee,Loyola Marymount University,,"Princeton 1969 AB; Yale 1973 MA 1975 MPhil, 1980 PhD; Weston Theology 1981 MDiv",,378.0,,,35566140.0,117946.0,True,Regent
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
John A. Mercer,Chairman,Montana University System,,Montana BA; Northwestern JD,,415.0,,,2801213986.0,,False,Board President
Linda McCulloch,Ex Officio Regent,Montana University System,,"Montana 1982 BS, 1990 MS",,415.0,,,2801213986.0,,False,"Regent, Ex Officio"
Judy Martz,Ex Officio Regent,Montana University System,,,"Superintendent, Public Instruction, State of Montana P.O. Box 202501, Helena, MT 59620-2501",415.0,,,2801213986.0,,False,"Regent, Ex Officio"
Lynn Morrison-Hamilton,Member,Montana University System,,,,415.0,,,2801213986.0,,False,Regent
Richard Roehm,Member,Montana University System,,Montana State 1957 BS; Troy State MS,,415.0,,,2801213986.0,,False,Regent
Helen Astin,Trustee,Mount St Marys College,,,,418.0,,,4210134096.0,163462.0,False,Regent
James R. Belardi,Trustee,Mount St Marys College,,Stanford 1979 BA; UCLA 1981 MBA,"Executive Vice President, AIG Retirement Services, IncSunAmerica Center, Los Angeles, CA 90067-6022",419.0,,,4210134096.0,163462.0,False,Regent
"Sister Marilyn Binder, CSJ",Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Louis M. Castruccio,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
"Sister Imelda D'Agostino, CSJ",Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Jacqueline Powers Doud,President,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Board President
Jacqueline Powers Doud,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Kathleen McCarthy Duncan,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
William H. Elliott,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Michael A. Enright,Chairman,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Board President
James Flanigan,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Mark Foster,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
"Terry J. Hatter, Jr",Trustee,Mount St Marys College,,Wesleyan U 1954 AB; Chicago 1960 JD,"Judge, U.S. District Court",419.0,,,4210134096.0,163462.0,False,Regent
Phyllis L. Hennigan,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Maria D. Hummer,Trustee,Mount St Marys College,,,"Of Counsel, Manatt, Phelps & Phillips, LLP",419.0,,,4210134096.0,163462.0,False,Regent
The Honorable Jane Luecke Johnson,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
"Sister Mary Frances Johnson, CSJ",Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
"Sister Miriam Therese Larkin, CSJ",Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
"Thomas E. Larkin, Jr.",Trustee,Mount St Marys College,,Notre Dame 1961 BA,"Vice Chairman, The TCW Group",419.0,,,4210134096.0,163462.0,False,Regent
Karl H. Loring,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Monica Luechtefeld,Trustee,Mount St Marys College,,,"Executive Vice President, Global E-Commerce, Office Depot, Inc2200 Old Germantown Road, Delay Beach, FL 33445",419.0,,,4210134096.0,163462.0,False,Regent
David L. Mcintyre,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
"Sister Mary McKay, CSJ",Trustee,Mount St Marys College,,,"Provincial Superior, Sisters of St. Joseph of Carondelet",419.0,,,4210134096.0,163462.0,False,Regent
"Sister Jill Marie Napier, CSJ",Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
"Sister Maureen O'Connor, CSJ",Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
Barry Patmore,Trustee,Mount St Marys College,,,,419.0,,,4210134096.0,163462.0,False,Regent
