Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Gerald F. Mahoney,Trustee,Adelphi University,,Adelphi 1965,"Chairman and Chief Executive Officer, Mail-Well, Inc",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Ronald B. Lee,Trustee,Adelphi University,,Adelphi 1967 BA,"Founder and Chairman Emeritus, Lee, Nolan & Koroghlian, LLC",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Leon M. Pollack,Trustee,Adelphi University,,,"Managing Director, Donaldson, Lufkin & Jenrette, Inc",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Laurence Kessler,Trustee,Adelphi University,,Adelphi 1965 BS,"Founder and Co-Owner, Kessler Restaurants LLC 410 White Spruce Boulevard, Rochester, NY 14623",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Lindsey Kupterman,Trustee,Adelphi University,,,"Research Worker, Department of Psychiatry, Columbia University 107 Low Memorial Library, 535 West 116th Street, Mail Code 4304, New York, NY 10027",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
"Michael J. ""Mike"" Campbell",Trustee,Adelphi University,,Adelphi 1965,,119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Joan S. Girgus,Trustee,Adelphi University,,Sarah Lawrence 1963 BA: New School 1965 MA1969 PhD,"Professor, Department of Psychology, Princeton University",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Jeffrey R. Greene,Trustee,Adelphi University,,,"Transaction Executive, Ernst & Young LLP",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
John J. Gutleber,Trustee,Adelphi University,,,"President and Chief Executive Officer, Castagna Realty Company",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Jeffrey Bolton,Trustee,Adelphi University,,Adelphi 1961 BA,,119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Noreen Harrington,Trustee,Adelphi University,,Adelphi 1981,"Alternative Investments, M.D. Sass Investor Services, Inc1185 Avenue of the Americas, 18th Floor, New York, NY 10036-2699",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Osbert M. Hood,Trustee,Adelphi University,,Adelphi 1986 BS; NYU 1988 MBA,"Chairman and Chief Executive Officer, MacKay Shields (2007-2010)",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Angela M. Jaggar,Trustee,Adelphi University,,"Adelphi 1962 BS, 1965 MS","Professor, Education, New York University",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
N. Gerry House,Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
"Richard Maroun, JD",Treasurer,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Other Board Member
Jennifer Treese Wilson,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Steven Swig,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Kathryn Goldman Schuyler,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Steven Schoger,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Michael Rothman,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Beth Rom-Rymer,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Julius Robinson,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
"Donald B. ""Don"" Nadler",Trustee,Alliant International University,,"Wisconsin 1965 BA; low 1971 MA; California Psychology 1976 MA, 1978 PhD",,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Jon Knoll Rachna Kumar Morris Lawson III,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Geoffrey M. Cox,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Janet Hurwich,Secretary,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Other Board Member
Gonzalo Garreton,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Manuel Figueroa,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
"Elizabeth A. ""Liz"" Fetter",Chairman,Alliant International University,,Penn State BA; Carnegie Mellon MS,"President and Chief Executive Officer, NxGen Modular LLC, 2460 Zanker Road, San Jose, CA 95131, Tel: (408) 435-5004",122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Board President
Linda Cabellero-Sotelo,Trustee,Alliant International University,,,"President and Chief Operating Officer, Toltec Media",122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Elaine Burke,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Barbara Blake,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Nicolette Bautista,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
"Terry Anderlini, JD",Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
Matthew Kinoshita,Trustee,Alliant International University,,,,122.0,,,126533617.0,Alliant International University,110468.0,False,,,,Trustee
"C. Nicholas Keating, Jr",Trustee,American University,,"American U 1963 BA, 1964 MA","President and Chief Executive Officer, Network Equipment Technologies",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
"Dr. Cornelius M. ""Neil"" Kerwin",Ex Officio Trustee,American University,,,,124.0,,,181401687.0,American University,131159.0,True,,,,"Trustee, Ex Officio"
Margery Kraus,Trustee,American University,,American U 1967 BA. 1971 MA,"Founder and Chief Executive Officer, APCO Worldwide Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Gerald Bruce Lee,Trustee,American University,,American U 1973 BA; Washington College of Law 1976 JD,"District Judge, Chambers of District Judge Gerald Bruce Lee, United States District Court for the Eastern District of Virginia",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Charles H. Lydecker,Trustee,American University,,American U 1985 BA,"Executive Vice President, Brown & Brown, Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Robyn Rafferty Mathias,Trustee,American University,,American U 1964 BA; Washington College of Law 1992 JD,"Principal, Rolling Terrace Elementary School",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Mark L. Schneider,Trustee,American University,,UC Berkeley 1963 BA; San Jose State MA,"Senior Vice President, International Crisis Group",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Regina Liang Muehlhauser,Trustee,American University,,American U 1970,"President, San Francisco Market, Bank of America",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Arthur J. Rothkopf,Trustee,American University,,Lafayette 1955 AB; Harvard 1958 JD,"Vice Chair, National Advisory Committee on Institutional Quality and Integrity, Office of the Secretary, United States Department of Education (Note: Appointed by the House of Representatives.)",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Peter L. Scher,Trustee,American University,,American U 1983 BA; Washington College of Law 1987 JD,"Executive Vice President and Head, Corporate 25 IN A Responsibility, JPMorgan Chase & Co270 Park Avenue. New York, NY 10017-2070",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
John R. Schol,Ex Officio Trustee,American University,,,"Bishop, Baltimore- Washington Conference of The United Methodist Church",124.0,,,181401687.0,American University,131159.0,True,,,,"Trustee, Ex Officio"
"Jeffrey A. ""Jeff"" Sine",Chairman,American University,,American U 1976 BA: USC JD,"Partner, Raine Group LLC",124.0,,,181401687.0,American University,131159.0,True,,,,Board President
Gisela B. Huberman,Trustee,American University,,"George Washington 1964 AB, 1965 MA, 1970 PhD; Washington College of Law 1980 JD","President, GBH Radio, Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Alan L. Meltzer,Trustee,American University,,American U 1973,"Founder and Chief Executive Officer, The Meltzer Group",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Thomas A. Gottschalk,Trustee,American University,,Earlham 1964 BA: Chicago 1967 JD,"Chair, Pro Bono Management Committee, Kirkland & Ellis LLP",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Brett AtanasioStudent,Trustee,American University,,,,123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Dan Gasby,Trustee,American University,,,"Chief Executive Officer, B. Smith Enterprises Ltd",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Gary M. Abramson,Trustee,American University,,American U 1968 BA,"Partner, The Tower Companies",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Gina Ferguson Adams,Trustee,American University,,American U 1980 BA; Howard U 1983 JD; Georgetown 1987 LLM,"Corporate Vice President, Government Affairs, FedEx Corporation",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Stephanie M. Bennett-Smith,Trustee,American University,,"New Mexico BA, MA: lowa 1973 PhD","President Emerita, Centenary College",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Barlow Burke,Faculty Trustee,American University,Washington College of Law,,"Professor of Law, Washington College of Law",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Kim Cape,Ex Officio Trustee,American University,,,"General Secretary, General Board of Higher Education and Ministry",123.0,,,181401687.0,American University,131159.0,True,,,,"Trustee, Ex Officio"
"Patrick H. ""Pat"" Butler",Vice Chairman,American University,,Tennessee 1969; American U 1996 MA,"President and Chief Executive Officer, Association of Public Television Stations",123.0,,,181401687.0,American University,131159.0,True,,,,Board Vice President
Garv D. Cohn,Trustee,American University,,American U 1982 BSBA,"President and Chief Operating Officer, The Goldman Sachs Group, Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
"Pamela M. ""Pam"" Deese",Trustee,American University,,"American U 1980 BS, Washington College of Law 1983 JD","Partner, Arent Fox LLP",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
David R. Drobis,Trustee,American University,,American U 1965 MA,"Chairman Emeritus, Omnicom Group Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Marc N. Duber,Trustee,American University,,American U 1981 BS,"Executive Vice President and Chief Operating Officer, The Bernstein Companies",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Hani M. S. Farsi,Trustee,American University,,American U BA,"Chief Executive Officer, Corniche Group",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Jack C. Cassell,Trustee,American University,,American U 1977 BA,"President and Chief Executive Officer, Visual Aids Electronics & Conference Systems, Inc",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Dr. James E. Girard,Faculty Trustee,American University,,Penn State PhD,"Chair, Chemistry Department, American University",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
David R. Rowe,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Dr. Ron C. Smith, PhD",Trustee,Andrews University,,,"Executive Director, Institute for Healthcare Innovation",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Benjamin D. Schoun,Chairman,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Board President
"Dr. G. T. Ng, PhD",Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Juan R. Prestol,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Ray Pichette,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Glynn C.W. Scott,Trustee,Andrews University,,,"Treasurer, Lake Union Conference of Seventh-day Adventists",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Barbara J. Randall,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dolores E. Slikkers,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Dr. Ted N. C. Wilson, PhD",Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Dr. Judith L. ""Judy"" Storfiell, RN",Trustee,Andrews University,,"Walla Walla Col BS; Michigan MS, PhD",,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Garry Sudds,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Lynne K. Waihee,Trustee,Andrews University,,,"President, Read To Me International Foundation",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dana L. Wales,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dr. Rebekah May Wang Cheng,Trustee,Andrews University,,Loma Linda 1978 MD,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Danielle Wuchenich,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Edward E. Zinke,Trustee,Andrews University,,,"President, Ann's House of Nuts",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"William G. C. Murdoch, Jr",Trustee,Andrews University,,Andrews 1967,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Paul A. Stokstad,Trustee,Andrews University,,,"President, Pasco Scientific",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Larry R. Moore,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Mark A. Johnson,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Donald E. Livesay,Vice Chairman,Andrews University,,Andrews 1976 MDiv,"Affiliation: President, Lake Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Board Vice President
Fred M. Manchur,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Niels-Erik A. Andreasen,Secretary of the Board,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Other Board Member
Dr. Lisa M. Beardsley-Hardy.,Trustee,Andrews University,,Loma Linda 1983 MPH; Hawaii 1989 PhD; Claremont Grad 2006 MBA,"Vice Chancellor, Academic Affairs, Loma Linda University",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Debbi J. Christensen,Trustee,Andrews University,,,"Affiliation: President, Lake Region Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Jerome L. Davis,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Michael G. Edge,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Jay Gallimore,Trustee,Andrews University,,,"Affiliation: President, Michigan Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Cletus R. Georges,Trustee,Andrews University,,,"Affiliation: Physician, Mid-Florida Urological Associates",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Lynn S. Gray,Trustee,Andrews University,,,"Affiliation: Physician, Lakeland HealthCare",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Rose Marie Cazeau, RN.",Trustee,Andrews University,,Hunter BSN; DePaul JD 400 noin,"Career: Environmental Enforcement Bureau Chief, Attorney General's Chicago Office, Office of the Attorney General, State of 3 xoll",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Loren Hamel,Trustee,Andrews University,,,"Affiliation: President and Chief Executive Officer, Lakeland HealthCare",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Edwin Hernandez,Trustee,Andrews University,,,"Career: Dean, Faculty of Religion, Loma Linda University",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dann Hotelling,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Van G. Hurst,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Daniel R. Jackson,Trustee,Andrews University,,,"Affiliation: President, Canadian Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Sandra K. Johnson,Trustee,Andrews University,,Andrews; Rollins MBA,"Affiliation: Senior Vice President, Business Development, Risk Management and Compliance, Adventist Health System Sunbelt Healthcare Corporation",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Donald G. King,Trustee,Andrews University,,,"Affiliation: President, Atlantic Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Robert E. Lemon,Trustee,Andrews University,,,"Affiliation: Treasurer, General Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Rodney A. Grove.,Trustee,Andrews University,,,"Affiliation: Secretary, Lake Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Michael J. Mullin,Trustee,Arcadia University,,Villanova BA,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
"Carl T. ""Tobey"" Oxholm III",Ex Officio Trustee,Arcadia University,,,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,"Trustee, Ex Officio"
Garrett D. Page,Trustee,Arcadia University,,Swarthmore 1977 BA; North Carolina Central 1981 JD,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Clair M. Raubenstine,Trustee,Arcadia University,,,"Executive Vice President and Chief Financial Officer, PHH Corporation (2006-2008)",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
M. Fredric Rieders,Trustee,Arcadia University,,Arcadia 1980,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
John E. Riggan,Trustee,Arcadia University,,,"Chairman and Chief Executive Officer, TCC Group",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Michael V. Schluth,Trustee,Arcadia University,,,"President, Alstin Advertising",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Gerald B. Rorer,Trustee,Arcadia University,,Princeton 1964; Harvard 1966 MBA,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Allison Rossett,Trustee,Arcadia University,,Arcadia 1968,"Professor of Educational Technology, College of Business Administration, San Diego State University",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
"Dr. Nikunj R. Shah, MD",Trustee,Arcadia University,,,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Margaret Wright Steele,Chair,Arcadia University,,,"President, Perez-Steele Galleries, Inc",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Board President
Madeline J. Stein,Trustee,Arcadia University,,Arcadia 1968; Stanford 1972,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Hugh G. Moulton,Trustee,Arcadia University,,Amherst 1955 BA; Yale 1958 JD,"Executive Vice President, Unisource Worldwide, Inc",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Susan Jackson Tressider,Trustee,Arcadia University,,,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Theresa P. Rollins,Vice Chair,Arcadia University,,Western Illinois 1973 BA; Wharton 1976 MBA; Temple 1988 PhD,"Associate Professor, Accounting, Villanova University",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Board Vice President
Charles W. Lentz,Trustee,Arcadia University,,Arcadia 2003,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
David A. Paone,Trustee,Arcadia University,,"Arcadia 2004, 2009",,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Nancy R. Kyle,Trustee,Arcadia University,,,"Vice President, Investor Relations, PHH Corporation",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
"Alison L. Aaron Madsen, Esq.",Trustee,Arcadia University,,Arcadia 1985,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
"Dr. Joycellen Young ""Jey"" Auritt",Trustee,Arcadia University,,Arcadia 1971 BA; Temple 1974 MA. 1976 PhD,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
"Jo Bennett, Esq.",Trustee,Arcadia University,,Western Kentucky BA; Temple 1996 JD,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Joan Nadler Brantz,Trustee,Arcadia University,,,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Marilyn Sunners Cranin,Trustee,Arcadia University,,Arcadia 1954,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Toya Rucker Lawson,Trustee,Arcadia University,,Arcadia 2000 BA,"Recruiter, Peopleflex, Inc1025 Andrew Drive, Suite 100, West Chester, PA 19380
Tel: (610) 692-0900 Ext. 102",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Thora T. Easton,Trustee,Arcadia University,,Arcadia 1968,"Global Education Consultant and Marketing Manager,
International Business Machines Corporation",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Patricia DeBow,Trustee,Arcadia University,,Arcadia 2002 BS,"Strategy Consultant, Accenture LLP, Accenture ple
1 Grand Canal Square, Grand Canal Harbour, Dublin, L2 D2
Ireland",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Jean S. Hassler,Trustee,Arcadia University,,Arcadia 2000,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
"John W. Hlywak, Jr.",Trustee,Arcadia University,,,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
"Richard L. Jones, Jr.",Trustee,Arcadia University,,,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Mark K. Kessler,Trustee,Arcadia University,,Brown U 1957 AB; Pennsylvania 1960 JD,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Laura M. Korman,Trustee,Arcadia University,,Arcadia 1989,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Deborah Derrickson Kossmann,Trustee,Arcadia University,,Arcadia 1982,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Babette Senker Krug,Trustee,Arcadia University,,Arcadia 1968,,127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Ann N. Greene,Trustee,Arcadia University,,Pennsylvania 1954 BA,"Assistant to the Dean, Admissions, University of
Pennsylvania",127.0,,,51204116.0,Arcadia University,211088.0,False,,,,Trustee
Kaitlin Thompson,Student Regent,Arizona Board Of Regents,,,,132.0,,,,Arizona Board Of Regents,,False,,,,Regent
"Greg Patterson, CPA",Regent,Arizona Board Of Regents,,Arizona 1985; Arizona State 2008 JD,,132.0,,,,Arizona Board Of Regents,,False,,,,Regent
"Richard T. ""Rick"" Myers",Regent,Arizona Board Of Regents,,Alabama BS,"Chief Operating Officer, Critical Path Institute",132.0,,,,Arizona Board Of Regents,,False,,,,Regent
Anne L. Mariucci,Regent,Arizona Board Of Regents,,Arizona,"Partner, Inlign Capital Partners",132.0,,,,Arizona Board Of Regents,,False,,,,Regent
LuAnn Leonard,Vice Chairman,Arizona Board Of Regents,,Northern Arizona 1983,"Executive Director, Hopi Education Endowment Fund",132.0,,,,Arizona Board Of Regents,,False,,,,Board Vice President
LuAnn Leonard,Secretary,Arizona Board Of Regents,,Northern Arizona 1983,"Executive Director, Hopi Education Endowment Fund",132.0,,,,Arizona Board Of Regents,,False,,,,Other Board Member
Mark W. Killianc,Treasurer,Arizona Board Of Regents,,Arizona State 1981 BS,"Founding Partner and Senior Broker, Sunny Mesa Realty",132.0,,,,Arizona Board Of Regents,,False,,,,Other Board Member
John Huppenthal,Ex Officio Regent,Arizona Board Of Regents,,,"Superintendent of Public Instruction (R). Arizona Department of Education, State of Arizona",132.0,,,,Arizona Board Of Regents,,False,,,,"Regent, Ex Officio"
Jay Heiler,Regent,Arizona Board Of Regents,,Arizona State 1983,,132.0,,,,Arizona Board Of Regents,,False,,,,Regent
Dennis W. DeConcini,Regent,Arizona Board Of Regents,,"Arizona 1959, 1963 JD",,132.0,,,,Arizona Board Of Regents,,False,,,,Regent
Janice K. Brewer,Ex Officio Regent,Arizona Board Of Regents,,,,132.0,,,,Arizona Board Of Regents,,False,,,,"Regent, Ex Officio"
Dr. Ram R. Krishna,Chairman,Arizona Board Of Regents,,Bangalore (India) 1971 MBBS,"Physician Member, Arizona Medical Board. State of Arizona",132.0,,,,Arizona Board Of Regents,,False,,,,Board President
Dr. Elizabeth D. Phillips,Executive Vice President,Arizona State University,Arizona State University At The Tempe Campus [Asu Tempe],,,129.0,,,55732556.0,Arizona State University,104151.0,True,6.0,448.0,Arizona Board of Regents,Board Vice President
Mitzi Montoya,Vice Provost,Arizona State University,College of Technology and Innovation,,,129.0,,,55732556.0,Arizona State University,104151.0,True,5.0,446.0,Arizona Board of Regents,Director
"Frederick ""Fred"" Corey",Director,Arizona State University,School of Letters and Sciences,,,129.0,,,55732556.0,Arizona State University,104151.0,True,4.0,444.0,Arizona Board of Regents,Director
Jeffrey Englin,Director,Arizona State University,Morrison School of Agribusiness and Resource Management,,,129.0,,,55732556.0,Arizona State University,104151.0,True,3.0,443.0,Arizona Board of Regents,Director
Mitzi Montoya,Vice Provost,Arizona State University,Arizona State University at the Polytechnic Campus,,,128.0,,,55732556.0,Arizona State University,104151.0,True,2.0,436.0,Arizona Board of Regents,Director
