Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Elizabeth Z. Chace,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Barbara L. Chase,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Timothy C. Forbes,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Kathryn S. Fuller,Fellow,Brown University,Board of Fellows,Brown 1976 AB,,154.0,,27804330.0,217156.0,True,Trustee
E. Gordon Gee,President,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Board President
E. Gordon Gee,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Steven R. Jordan,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Artemis A.W. Joukowsky,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Frederick Lippitt,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Dand E. McKinney,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Wendy J. Strothman,Secretary,Brown University,Board of Fellows,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company 222 Berkeley St., Boston, MA 02116-3764 Tel: (617) 351-5909 Fax: (617) 351-1100",154.0,,27804330.0,217156.0,True,Other Board Member
Alva O. Way,Fellow,Brown University,Board of Fellows,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004 Tel: (212) 858-2545 Fax: (212) 425-0542",154.0,,27804330.0,217156.0,True,Trustee
Ronald Anderson,Regent,California Lutheran University,,,"President, Blue Circle CorpParamount, CA",159.0,,176611909.0,110413.0,False,Member
Sydney Anderson,Regent,California Lutheran University,,,"Paradise Valley, AZ",159.0,,176611909.0,110413.0,False,Member
Ronald J. Carlson,Regent,California Lutheran University,,,"President and Chief Executive Officer, Scripps Bank La Jolla, CA",159.0,,176611909.0,110413.0,False,Member
Luther H. Creed,Regent,California Lutheran University,,,"Partner, Desert Radiology Clinic Las Vegas, CA",159.0,,176611909.0,110413.0,False,Member
Siri M. Eliason,Chairman,California Lutheran University,,,"Honorary Consul General of Sweden
Swedish Consulate
San Francisco, CA",160.0,,176611909.0,110413.0,False,Board President
Louise Evenson,Regent,California Lutheran University,,,"Group Vice President, American
Express Financial Advisors
Walnut Creek, CA",160.0,,176611909.0,110413.0,False,Member
A. Joseph Everson,"Professor, Religion, Faculty Chair",California Lutheran University,,,,160.0,,176611909.0,110413.0,False,Board President
A. Joseph Everson,Regent,California Lutheran University,,,,160.0,,176611909.0,110413.0,False,Member
Ward A. Fredericks,Vice Chairman,California Lutheran University,,,"Chairman, MIXTEC CorpWestlake Village, CA",160.0,,176611909.0,110413.0,False,Board Vice President
"Samuel H. Giesy, Jr",Regent,California Lutheran University,,,,160.0,,176611909.0,110413.0,False,Member
Jerry Gross,Regent,California Lutheran University,,,"Superintendent, Conejo Valley Unified
School District",160.0,,176611909.0,110413.0,False,Member
Jett Jordan,Regent,California Lutheran University,,,"Vice President and General Manager,
GTE Network Services",160.0,,176611909.0,110413.0,False,Member
William J. Kane,Regent,California Lutheran University,,,"Audit Partner, Ernst & Young LLP
Los Angeles, CA",160.0,,176611909.0,110413.0,False,Member
Bethany Knorr,Regent,California Lutheran University,,,"Legislative Assistant, California State
Assembly
Sacramento, CA",160.0,,176611909.0,110413.0,False,Member
Elizabeth L. Knox,Regent,California Lutheran University,,,,160.0,,176611909.0,110413.0,False,Member
Connie Levi,Regent,California Lutheran University,,,"President, Greater Minneapolis Chamber
of Commerce; State Legislator, Minnesota House
of Representatives",160.0,,176611909.0,110413.0,False,Member
James Lincoln,Regent,California Lutheran University,,,"Owner and Operator, DeVille Homes
Sacramento. CA",160.0,,176611909.0,110413.0,False,Member
Luther S. Luedtke,President,California Lutheran University,,,,160.0,,176611909.0,110413.0,False,Board President
Luther S. Luedtke,Regent,California Lutheran University,,,,160.0,,176611909.0,110413.0,False,Member
Rev. John A. Lundblad,Regent,California Lutheran University,,,"Pastor, King of Kings Lutheran
Church
Oceanside, CA",160.0,,176611909.0,110413.0,False,Member
L. Karsten Lundring,Regent,California Lutheran University,,,,160.0,,176611909.0,110413.0,False,Member
Lawrence Major,Regent,California Lutheran University,,,"Manager, Public Relations, Karsten
Manufacturing CoPhoenix, AZ",160.0,,176611909.0,110413.0,False,Member
Rev. Robert W. Mattheis,Regent,California Lutheran University,,,"Bishop, Sierra Pacific Synod,
Evangelical Lutheran Church in America
Oakland, CA",160.0,,176611909.0,110413.0,False,Member
Ronald Poulsen,Regent,California Lutheran University,,,"President, Ron Poulson Associates,
IncWestlake Village, CA",160.0,,176611909.0,110413.0,False,Member
Frances Kav Prince,Regent,California Lutheran University,,,"Executive Director, Conejo Valley
Senior Concerns",160.0,,176611909.0,110413.0,False,Member
Wayne F. Rickert,Regent,California Lutheran University,,,"Vice President, Employee Relations,
National Broadcasting Company, IncBurbank, CA",160.0,,176611909.0,110413.0,False,Member
Bey. John Ridenour,"Chair, CLU Convocation and Regent",California Lutheran University,,,"Pastor, Good Shepherd Lutheran
Church
Novato, CA",160.0,,176611909.0,110413.0,False,Board President
Robert A. Samuelson,Regent,California Lutheran University,,,"Partner, Samuelson Brothers
Los Angeles, CA",160.0,,176611909.0,110413.0,False,Member
Terry P. Sieck,Regent,California Lutheran University,,,"Director, Guiding Hands Foundation
 * Member of the Board",160.0,,176611909.0,110413.0,False,Member
Dean Soiland,Advisory Member,California Lutheran University,,,"President and Owner, Bodean CoSanta Rosa, CA",160.0,,176611909.0,110413.0,False,Member
Marvin Soiland,Advisory Member,California Lutheran University,,,"President, Soiland Company IncSanta Rosa, CA",160.0,,176611909.0,110413.0,False,Member
Rev. W. Robert Sorensen,Advisory Member,California Lutheran University,,,"Executive Director, Division for Higher Education and Schools, Evangelical Lutheran Church in America",160.0,,176611909.0,110413.0,False,Member
Andrew Taube,Regent,California Lutheran University,,,"President, ASCLU",160.0,,176611909.0,110413.0,False,Member
James Thigpen,Regent,California Lutheran University,,,"President and Chief Executive Officer, Thigpen Ltd., IncSan Francisco, CA",160.0,,176611909.0,110413.0,False,Member
David B. Watson,Regent,California Lutheran University,,,"Stockbroker, Paine Webber Woodland Hills, CA",160.0,,176611909.0,110413.0,False,Member
Brad Wilson,Regent,California Lutheran University,,,"President, Automated Rental Finder Park City, UT",160.0,,176611909.0,110413.0,False,Member
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms",204.0,,8078737.0,217882.0,True,Member
John. Britton,Trustee,Clemson University,,,,204.0,,8078737.0,217882.0,True,Member
"Lawrence M. Gressette, Jr",Chairman,Clemson University,,,"Executive Committee Chairman, SCANA Corporation",204.0,,8078737.0,217882.0,True,Board President
"Leon J. Hendrix, Jr",Trustee,Clemson University,,,"Clayton, Dubilier & Rice, Inc",204.0,,8078737.0,217882.0,True,Member
Harold D. Kingsmore,Trustee,Clemson University,,,Kingsmore Enterprises,204.0,,8078737.0,217882.0,True,Member
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",204.0,,8078737.0,217882.0,True,Member
Patricia Herring McAbee,Trustee,Clemson University,,,Piedmont Technical College,204.0,,8078737.0,217882.0,True,Member
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",204.0,,8078737.0,217882.0,True,Member
Ellison Smyth McKissick III,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, Inc",204.0,,8078737.0,217882.0,True,Member
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, McTeer Real Estate, Inc",204.0,,8078737.0,217882.0,True,Member
"William C. Smith, Jr",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, Inc",204.0,,8078737.0,217882.0,True,Member
Joseph D. Swann,Vice Chairmay,Clemson University,,,"Vice President and General Manager, Dodge/Rockwell Automation",204.0,,8078737.0,217882.0,True,Board Vice President
Allen P. Wood.,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., Ltd",204.0,,8078737.0,217882.0,True,Member
Monte Ahuja,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Regent
Michael L. Climaco,Treasurer,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Other Board Member
Timothy J. Cosgrove,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Regent
Edward F. Crawford,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Regent
Nancy C. Cribbs,University Legal Counsel,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Other Board Member
Nancy C. Cribbs,Secretary,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Other Board Member
Sally Florkiewicz,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Regent
Carl Glickman,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Regent
David G. Hill,Vice Chairman,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Board Vice President
Samuel H. Miller,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Regent
William F. Patient,Chairman,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Board President
Donna Phillips,Faculty Representative Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,True,Other Board Member
Rev. William H. Ameiss,"President, Northern Illinois District, The Lutheran Church-Missouri Synod",Concordia University,,,,222.0,,19406000.0,144351.0,False,Board President
Richard H. Blatt,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Marva Dawkins,Regemy,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Ronald Dietrich,Secretary,Concordia University,,,,222.0,,19406000.0,144351.0,False,Other Board Member
John L. Duda,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Rev. George C. Heider,President and Executive Offices,Concordia University,,,,222.0,,19406000.0,144351.0,False,Board President
Dorothy Hildebrandt,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
A. Ann Horton,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Rev. Philip S. Kaufmann,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
E. Theodore Lams,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Rev. Thomas A. Niermann,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Kathy Schulz,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Paula Trimpey,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Fred Wittlinger,Regent,Concordia University,,,,222.0,,19406000.0,144351.0,False,Member
Justin L. Altshuler,Trustee,Emerson College,,,"Director, Dental Services, Spaulding Rehabilitation Hospital",250.0,,87650153.0,165662.0,False,Overseer
"Elmer E. Baker, Jr",Trustee,Emerson College,,,"Professor, New York University",250.0,,87650153.0,165662.0,False,Overseer
Charles J. Beard,Chairman,Emerson College,,,"Partner, Foley, Hoag & Eliot",251.0,,87650153.0,165662.0,False,Board President
Michael Carson,Trustee,Emerson College,,,"Vice President and General Manager, WHDH-TV",251.0,,87650153.0,165662.0,False,Overseer
Joseph F. D'Angelo,Trustee,Emerson College,,,"President and General Manager, King Features Syndicate",251.0,,87650153.0,165662.0,False,Overseer
Vincent J. Di Bona,Trustee,Emerson College,,,"Executive Producer, Vin Di Bona Productions",251.0,,87650153.0,165662.0,False,Overseer
Shawn Donnelley,Trustee,Emerson College,,,"Public Affairs Professional, R.R Donnelley & Sons",251.0,,87650153.0,165662.0,False,Overseer
Donald B. Giddon,Trustee,Emerson College,,,"President, Health Programs International",251.0,,87650153.0,165662.0,False,Overseer
Jeffrey Greenhawt,Trustee,Emerson College,,,"Vice President and Partner, Sunshine Wireless Company, IncHollywood, FL",251.0,,87650153.0,165662.0,False,Overseer
Garv Grossman,Trustee,Emerson College,,,"Executive Producer, Weller Grossman Productions",251.0,,87650153.0,165662.0,False,Overseer
Peter G. Meade,Trustee,Emerson College,,,"Executive Vice President, Blue Cross/Blue Shield",251.0,,87650153.0,165662.0,False,Overseer
Harry Morgan,Treasurer,Emerson College,,,,251.0,,87650153.0,165662.0,False,Other Board Member
Richard F. Pollard,Trustee,Emerson College,,,"Chairman, Boston Ballet",251.0,,87650153.0,165662.0,False,Overseer
Dominic J. Puopolo,Vice Chairman,Emerson College,,,"Chief Financial Officer and Director, American Medical Response, Inc",251.0,,87650153.0,165662.0,False,Board Vice President
Lawrence Rasky,Trustee,Emerson College,,,"President, Rasky & Company",251.0,,87650153.0,165662.0,False,Overseer
Richard Remis,Corp. Secretary,Emerson College,,,"Executive Vice President, BankBoston",251.0,,87650153.0,165662.0,False,Other Board Member
Helen C. Rose,Trustee,Emerson College,,,,251.0,,87650153.0,165662.0,False,Overseer
Barbara M. Rowell,Chairman,Emerson College,,,"Chairman, The Boston Opera Association",251.0,,87650153.0,165662.0,False,Board President
Nancy Ryan,Trustee,Emerson College,,,"President, Pro Media, IncNeedham, MA",251.0,,87650153.0,165662.0,False,Overseer
Lucille S. Salhany,Trustee,Emerson College,,,,251.0,,87650153.0,165662.0,False,Overseer
Linda Schwartz,President,Emerson College,,,"Firm Affairs, IncWellesley Hills, MA",251.0,,87650153.0,165662.0,False,Board President
Linda Schwartz,Chief Executive Officer,Emerson College,,,"Firm Affairs, IncWellesley Hills, MA",251.0,,87650153.0,165662.0,False,Other Board Member
Susan Namm Spencer,Trustee,Emerson College,,,,251.0,,87650153.0,165662.0,False,Overseer
Alan L. Stanzler,Trustee,Emerson College,,,"Maselan Jones & Stanzler, P.C.",251.0,,87650153.0,165662.0,False,Overseer
Irma Mann Stearns,Chairman,Emerson College,,,Rhys Williams,251.0,,87650153.0,165662.0,False,Board President
Irma Mann Stearns,Chief Executive Officer,Emerson College,,,Rhys Williams,251.0,,87650153.0,165662.0,False,Other Board Member
Irma S. Mann,Senior Minister,Emerson College,,,The First and Second Church,251.0,,87650153.0,165662.0,False,Overseer
Marilyn Zacharis,Trustee,Emerson College,,,"General Manager, Masterworks Chorale",251.0,,87650153.0,165662.0,False,Overseer
Debra K. Zeyen,Trustee,Emerson College,,,"Vice President and General Manager, CBS New Media Group",251.0,,87650153.0,165662.0,False,Overseer
Walter J. Conn,Trustee,Gonzaga University,,,"Los Angeles, CA",271.0,,119888943.0,235316.0,False,Regent
J. Donald Curran,Trustee,Gonzaga University,,,"Luino Dell'Osso, JrChairman Mercer Island, WA",271.0,,119888943.0,235316.0,False,Regent
"Rev. L. Paul Fitterer, SJ",Trustee,Gonzaga University,,,"Seattle, WA",271.0,,119888943.0,235316.0,False,Regent
Thomas J. Greenan,Trustee,Gonzaga University,,,Seattle. WA,271.0,,119888943.0,235316.0,False,Regent
Elizabeth Hanson,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Rev. William E. Hayes,Trustee,Gonzaga University,,,"Portland, OR",271.0,,119888943.0,235316.0,False,Regent
Donald H. Herak,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
"Daniel P. Hogan, Jr",Trustee,Gonzaga University,,,"Lafayette, CA",271.0,,119888943.0,235316.0,False,Regent
James R. Jundt,Trustee,Gonzaga University,,,"Minneapolis, MN",271.0,,119888943.0,235316.0,False,Regent
Duff Kennedy,Trustee,Gonzaga University,,,"Seattle, WA",271.0,,119888943.0,235316.0,False,Regent
"Rev. Joseph W. Koterski, SJ",Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
"Rev. Steve Kuder, SJ",Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Pauline Love,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
"Rev. Robert V. Lyons, SJ",Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Harry F. Magnuson,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
John B. Maughan,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Shannon McCambridge,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
John McCann,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Philip G. McCarthey,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Angelo R. Mozilo,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Donald P. Nelles,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Richard J. O'Neill,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Michael A. Patterson,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
David A. Sabey,Vice Chairman,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Board Vice President
Gerald A. Schwalbach,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
"Rev. Robert J. Spitzer, SJ",President,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Board President
"Rev. Robert J. Spitzer, SJ",Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Thomas B. Tilford,Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
"Rev. Kevin Waters, SJ",Trustee,Gonzaga University,,,,271.0,,119888943.0,235316.0,False,Regent
Patrick J. West,Trustee,Gonzaga University,,,"Palm Desert, CA",271.0,,119888943.0,235316.0,False,Regent
D. Ronald Daniel,Treasurer,Harvard University,,,,284.0,,136199984.0,166027.0,True,Other Board Member
D. Ronald Daniel,Fellow,Harvard University,,,,284.0,,136199984.0,166027.0,True,Overseer
Hanna H. Gray,Fellow,Harvard University,,"Bryn Mawr 1950 AB; Harvard 1957 PhD; Yale 1971 MA, 1978 LLD","Chairperson, The Andrew W. Mellon Foundation",284.0,,136199984.0,166027.0,True,Overseer
Judith Richards Hope,Fellow,Harvard University,,,"Senior Counsel, Paul, Hastings, Janofsky & Walker, LLP",284.0,,136199984.0,166027.0,True,Overseer
James R. Houghton,Fellow,Harvard University,,,"Chairman of the Board, Corning, Inc",284.0,,136199984.0,166027.0,True,Overseer
Neil Leon Rudenstine,President,Harvard University,,,,284.0,,136199984.0,166027.0,True,Board President
Neil Leon Rudenstine,Fellow,Harvard University,,,,284.0,,136199984.0,166027.0,True,Overseer
Cora Smith Breckenridge,Trustee,Indiana University System,,,,,,,,False,Governor
"Frederick F. Eichorn, Jr.",Governor Appointed Vice President,Indiana University System,,,,,,,,False,Governor
Steve Ferguson,Governor Appointed Vice President,Indiana University System,,,,,,,,False,Governor
Dean A. Hertzler II,Governor Appointed Trustee,Indiana University System,,,,,,,,False,Governor
James T. Morris,Trustee,Indiana University System,,,,,,,,False,Governor
Peter L. Obremskey,Governor Appointed Trustee,Indiana University System,,,,,,,,False,Governor
Ray Richardson,Trustee,Indiana University System,,,,299.0,,,,False,Governor
James M. Biggar,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,True,Regent
Vincent A. Chiarucci,Chairman,Kent State University,,,,309.0,,149910238.0,203517.0,True,Board President
R. Douglas Cowan,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,True,Regent
Lynne S. Dragomier,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,True,Regent
Burton V. Jones,Vice Chairman,Kent State University,,,,309.0,,149910238.0,203517.0,True,Board Vice President
Norbert Lewandowski,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,True,Regent
Vincent D. Pettinelli,Secretary,Kent State University,,,,309.0,,149910238.0,203517.0,True,Other Board Member
James R. Schubert,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,True,Regent
James N. Walters IV,Student Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,True,Other Board Member
Earl W. Williams,Vice Chairman,Kent State University,,,,309.0,,149910238.0,203517.0,True,Board Vice President
Kristi Marie Zofchak,Student Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,True,Other Board Member
Stanley F. Barshay,Trustee,Long Island University,,,"Senior Vice President, American Home Products",324.0,,138873065.0,192448.0,True,Overseer
Mark A. Boyar,Trustee,Long Island University,,,"President, Mark Boyar & Company",324.0,,138873065.0,192448.0,True,Overseer
Sidney Braginsky,Member of the Board,Long Island University,,,"President, Olympus America Inc",324.0,,138873065.0,192448.0,True,Overseer
William F. de Neergaard,Trustee,Long Island University,,,"President and Owner, Neergaard Pharmacies",324.0,,138873065.0,192448.0,True,Overseer
William F. de Neergaard,Executive Committee Member,Long Island University,,,"President and Owner, Neergaard Pharmacies",324.0,,138873065.0,192448.0,True,Other Board Member
Donald H. Elliott,Trustee,Long Island University,,,"Partner, Hollyer, Brady, et al",324.0,,138873065.0,192448.0,True,Overseer
Donald H. Elliott,Executive Committee Member,Long Island University,,,"Partner, Hollyer, Brady, et al",324.0,,138873065.0,192448.0,True,Other Board Member
Anne W. Ellis,Trustee,Long Island University,,,"Board Chair, WLIW-TV",324.0,,138873065.0,192448.0,True,Overseer
"George L. Engelke, Jr",Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Astoria Federal Savings and Loan Association",324.0,,138873065.0,192448.0,True,Overseer
Arthur I. Goldberg,Trustee,Long Island University,,,"Law Partner, Jacobson & Goldberg",324.0,,138873065.0,192448.0,True,Overseer
Ernest P. Gonzalez,Trustee,Long Island University,,,"President and Chief Executive Officer, Captree Chemical Corp",324.0,,138873065.0,192448.0,True,Overseer
Msgr. Thomas J. Hartman,Trustee,Long Island University,,,"Director, Radio and Television, Telecare",324.0,,138873065.0,192448.0,True,Overseer
Msgr. Thomas J. Hartman,Executive Committee Member,Long Island University,,,"Director, Radio and Television, Telecare",324.0,,138873065.0,192448.0,True,Other Board Member
Stephen P. Kaufman,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Arrow Electronics, Inc",324.0,,138873065.0,192448.0,True,Overseer
Steven A. Klar,Trustee,Long Island University,,,"President, The Klar Organization",324.0,,138873065.0,192448.0,True,Overseer
Eric Krasnoff,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",324.0,,138873065.0,192448.0,True,Overseer
Eric Krasnoff,Executive Committee Member,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",324.0,,138873065.0,192448.0,True,Other Board Member
Steven J. Kumble,Secretary,Long Island University,,,"Chairman, Lincolnshire Management, Inc",324.0,,138873065.0,192448.0,True,Other Board Member
Steven J. Kumble,Executive Committee Member,Long Island University,,,"Chairman, Lincolnshire Management, Inc",324.0,,138873065.0,192448.0,True,Other Board Member
Howard M. Lorber,Trustee,Long Island University,,,"Chairman, Hallman & Lorber AssociateS",324.0,,138873065.0,192448.0,True,Overseer
Howard M. Lorber,Executive Committee Member,Long Island University,,,"Chairman, Hallman & Lorber AssociateS",324.0,,138873065.0,192448.0,True,Other Board Member
Eugene H. Luntey,Trustee,Long Island University,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,324.0,,138873065.0,192448.0,True,Overseer
Eugene H. Luntey,Executive Committee Member,Long Island University,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,324.0,,138873065.0,192448.0,True,Other Board Member
"William Lynch, Jr",Trustee,Long Island University,,,"Vice President, MacAndrews & Forbes Holdings, Inc",324.0,,138873065.0,192448.0,True,Overseer
"William Lynch, Jr",Executive Committee Member,Long Island University,,,"Vice President, MacAndrews & Forbes Holdings, Inc",324.0,,138873065.0,192448.0,True,Other Board Member
Joseph L. Mancino,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Roslyn Savings Bank and Roslyn Bancorp, Inc",324.0,,138873065.0,192448.0,True,Overseer
John M. May,Trustee,Long Island University,,International Management Consultant,,324.0,,138873065.0,192448.0,True,Overseer
John M. May,Executive Committee Member,Long Island University,,International Management Consultant,,324.0,,138873065.0,192448.0,True,Other Board Member
Nancy Hicks Maynard,Trustee,Long Island University,,,Maynard Partners Incorporated,324.0,,138873065.0,192448.0,True,Overseer
William P. Miller,Trustee,Long Island University,,,"Owner, Miller Transmission Tower Company",324.0,,138873065.0,192448.0,True,Overseer
Theresa Mall Mullarkey,"Chancellor, C. W. Post Campus",Long Island University,,"President, Mall Associates",,324.0,,138873065.0,192448.0,True,Board President
