Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Thomas A. Gottschalk,Vice Chairman,American University,,,"Of Counsel, Washington, DC Office, Kirkland & Ellis LLP",,,,,181401687.0,131159.0,True,,,,Board Vice President
Stephen Silvia,Faculty Trustee,American University,,,,,,,,181401687.0,131159.0,True,,,,Trustee
Mark L. Schneider,Trustee,American University,,UC Berkeley; San Jose State,"Senior Vice President, International Crisis Group1629 K Street NW, Suite 450, Washington, DC 20006",,,,,181401687.0,131159.0,True,,,,Trustee
John R. Schol,Trustee,American University,,,"Bishop, Baltimore- Washington Conference of The United Methodist Church100 Maryland Avenue, NE, Washington, DC 20002",,,,,181401687.0,131159.0,True,,,,Trustee
David Teslicko,Student Trustee,American University,,,,,,,,181401687.0,131159.0,True,,,,Trustee
Arthur J. Rothkopf,Trustee,American University,,Lafayette 1955 AB; Harvard 1958 JD,"Senior Vice President and Counselor to the President, U.S. Chamber of Commerce",,,,,181401687.0,131159.0,True,,,,Trustee
Alan L. Meltzer,Trustee,American University,,,"Founder and Chief Executive Officer, The Meltzer Group6500 Rock Spring Drive, Suite 500, Bethesda, MD 20817",,,,,181401687.0,131159.0,True,,,,Trustee
Robyn Rafferty Mathias,Trustee,American University,,,"Principal, Rolling Terrace Elementary School",,,,,181401687.0,131159.0,True,,,,Trustee
Charles H. Lydecker,Trustee,American University,,American U BA,"Executive Vice President, Brown & Brown, Inc220 South Ridgewood Avenue, Daytona Beach, FL 32114-4393",,,,,181401687.0,131159.0,True,,,,Trustee
Neal A. Sharma,Trustee,American University,,,"Chief Executive Officer, Digital Evolution Group* 10801 Mastin Street, Overland Park, KS 66210",,,,,181401687.0,131159.0,True,,,,Trustee
David Weigley,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Jerome Davis,Trustee,Andrews University,,,"President, Lake Region Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Glynn Scott. ones,Trustee,Andrews University,,,"Treasurer, Lake Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Matthew Bediako,Trustee,Andrews University,,,"President, Wisconsin Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Lynne K. Waihee,Trustee,Andrews University,,,"President, Read To Me International Foundation",,,,,102298084.0,168740.0,True,,,,Trustee
Dale E. Twomley,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
"William G. C. Murdoch, Jr",Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Danielle Wuchenich,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Lynn S. Gray,Trustee,Andrews University,,,"Physician, Lakeland Regional Health System",,,,,102298084.0,168740.0,True,,,,Trustee
Rebekah Wang Cheng,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Gary Thurber,Trustee,Andrews University,,,"President, Indiana Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Jere D. Patzer,Trustee,Andrews University,,,"President, North Pacific Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Ken Denslow,Trustee,Andrews University,,,"President, Illinois Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Naomi McKenzie,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Niels-Erik A. Andreasen,Secretary of the Board,Andrews University,,,"Secretary, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Other Board Member
Jan Paulsen,Trustee,Andrews University,,Union Col (NE); Andrews,"President, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Edward E. Zinke,Trustee,Andrews University,,,"President, Ann's House of Nuts",,,,,102298084.0,168740.0,True,,,,Trustee
Jay Gallimore,Trustee,Andrews University,,,"President, Michigan Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
C. Garland Dulan,Trustee,Andrews University,,,"Director, Education Department, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Donald W. Corkum,Trustee,Andrews University,,,"President, Wisconsin Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Donald C. Schneider,Trustee,Andrews University,,,"President, North American District, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
David R. Rowe,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Cletus R. Georges,Trustee,Andrews University,,,"Physician, Mid-Florida Urological Associates",,,,,102298084.0,168740.0,True,,,,Trustee
Paul A. Stokstad,Trustee,Andrews University,,,"President, Pasco Scientific",,,,,102298084.0,168740.0,True,,,,Trustee
Juan R. Prestol,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Dolores E. Slikkers,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Max A. Trevino,Trustee,Andrews University,,,"President, Southwestern Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Dana L. Wales,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Margaret McFarland,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Barbara J. Randall,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Robert E. Lemon,Trustee,Andrews University,,,"Treasurer, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Gerry D. Karst,Chairman,Andrews University,,,"Vice President, General Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Board President
Sandra K. Johnson,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Garry Sudds,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Roscoe Howard III,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
Edwin Hernandez,Trustee,Andrews University,,,"Vice President, Business Development, Risk Management and Compliance, Adventist Health System",,,,,102298084.0,168740.0,True,,,,Trustee
Rodney A. Grove,Trustee,Andrews University,,,"Secretary, Lake Union Conference of Seventh-day Adventists",,,,,102298084.0,168740.0,True,,,,Trustee
Fred Manchur,Trustee,Andrews University,,,,,,,,102298084.0,168740.0,True,,,,Trustee
"Thomas C. ""Tom"" Horne",Ex Officio Regent,Arizona State University,,Harvard 1970 JD,"Superintendent of Public Instruction (R), Education Department, State of Arizona",,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,"Regent, Ex Officio"
LuAnn Leonard,Regent,Arizona State University,,,,,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Robert Bulla,Regent,Arizona State University,,,"Chairman and Chief Executive Officer, Blue Cross and Blue Shield of Arizona",,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Fred Boice,President,Arizona State University,,,Head. Boice Financial Company,,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Board President
Janet Napolitano,Ex Officio Regent,Arizona State University,,Santa Clara 1979 BS; Virginia 1983 JD,,,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,"Regent, Ex Officio"
Ernest Calderon,Vice President,Arizona State University,,Northern Arizona; Arizona,"Attorney, Calderon Law Offices",,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Board Vice President
David Martinez III,Student Regent,Arizona State University,,,,,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Anne L. Mariucci,Regent,Arizona State University,,Arizona,"President, Inlign Capital Partners",,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Bob McLendon,Regent,Arizona State University,,,,,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Fred DuVal,Treasurer,Arizona State University,,,"President, DuVal and Associates",,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Other Board Member
Ross Meyer,Student Regent,Arizona State University,,,,,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Dennis W. DeConcini,Regent,Arizona State University,,"Arizona 1959, 1963 JD","Partner and Vice President (D), Parry, Romani, DeConcini & Symms",,,,,55732556.0,104151.0,True,,,Arizona Board of Regents,Regent
Virginia N. Thompson,Third Congressional District Trustee,Auburn University,,Auburn 1978,"Director, Marketing, East Alabama Medical Center 2000 Pepperell Parkway, Opelika, AL 36801 Tel: (334) 528-5924",,,,,82497590.0,100858.0,True,,,,Trustee
Sarah B. Newton,Seventh Congressional District Trustee,Auburn University,,Auburn 1974 BS; Alabama 1978 MAED,"Principal, Fayette Elementary School 509 Second Street, NE, Fayette, AL 35555 Tel: (205) 932-3161",,,,,82497590.0,100858.0,True,,,,Trustee
James W. Rane,Third Congressional District Trustee,Auburn University,,Auburn BS; Cumberland JD,"President and Chief Executive Officer, Great Southern Wood Preserving, IncP.O. Box 610, Abbeville, AL 36310 Tel: (334) 585-2291",,,,,82497590.0,100858.0,True,,,,Trustee
Samuel L. Ginn,At Large Member,Auburn University,,Auburn 1959 BS,"Chairman, Vodafone AirTouch Ple (1999-2000) 1g",,,,,82497590.0,100858.0,True,,,,Trustee
"John C. H. Miller, Jr",First Congressional District Trustee,Auburn University,,Duke; Alabama 1969 JD,"Partner, Miller, Hamilton, Snider & Odom, L.L.C P.O. Box 46, Mobile, AL 36601 Tel: (251) 439-7518",,,,,82497590.0,100858.0,True,,,,Trustee
Charles D. McCrary,At Large Member,Auburn University,,Auburn 1973 BS; Birmingham 1978 JD,"President and Chief Executive Officer, Alabama Power Company 600 North 18th Street, Birmingham, AL 35203 Tel: (205) 257-2700",,,,,82497590.0,100858.0,True,,,,Trustee
D. Gaines Lanier,Fifth Congressional District Trustee,Auburn University,,Auburn 1974 BS,"Chairman and Chief Executive Officer, J. Smith Lanier & CoP.O. Box 70, West Point, GA 31833-0070 Tel: (706) 645-2211",,,,,82497590.0,100858.0,True,,,,Trustee
"Paul J. Spina, Jr.",Sixth Congressional District Trustee,Auburn University,,Auburn 1963 BS,"President, Spina Enterprises, Inc3477 Indian Lake Way, Pelham, AL 35124 Tel: (205) 621-2000",,,,,82497590.0,100858.0,True,,,,Trustee
"Robert R. ""Bob"" Riley",Ex Officio President,Auburn University,,Alabama 1965 BS,"Governor (R), State of Alabama State Capitol, 600 Dexter Avenue, Suite N-104, Montgomery, AL 36130 Tel: (334) 242-7100",,,,,82497590.0,100858.0,True,,,,"Board President, Ex Officio"
Robert E. Lowder,Second Congressional District Trustee,Auburn University,,Auburn 1964 BS,"Chairman, President and Chief Executive Officer, The Colonial BancGroup, Inc100 Colonial Bank Boulevard, Montgomery, AL 36117 Tel: (334) 676-5008",,,,,82497590.0,100858.0,True,,,,Trustee
John G. Blackwell,Eighth Congressional District Trustee,Auburn University,,Auburn 1964 BS,"Chairman, INKANA Properties LLC",,,,,82497590.0,100858.0,True,,,,Trustee
Grant Davis,Secretary to the Board of Trustees,Auburn University,,,,,,,,82497590.0,100858.0,True,,,,Trustee
Charles W. Bruce,Assistant Treasurer,Auburn University,,,,,,,,82497590.0,100858.0,True,,,,Other Board Member
Lee F. Armstrong,General Counsel,Auburn University,,,,,,,,82497590.0,100858.0,True,,,,Other Board Member
Shauna Buring,Librarian,Auburn University,,,,,,,,82497590.0,100858.0,True,,,,Other Board Member
Earlon C. McWhorter,At Large Member,Auburn University,,Auburn 1968 BS,"President, McWhorter and Co., Inc",,,,,82497590.0,100858.0,True,,,,Trustee
Dwight L. Carlisle,Fourth Congressional District Trustee,Auburn University,,Auburn 1958 BS,"Commissioner, Revenue Department, State of Alabama",,,,,82497590.0,100858.0,True,,,,Trustee
"Rev. Byron Paul Franklin, Sr.",Ninth Congressional District Trustee,Auburn University,,Auburn BS,"Director, Special Marketing and Public Relations, Buffalo Rock Co111 Oxmoor Road, Birmingham, AL 35209",,,,,82497590.0,100858.0,True,,,,Trustee
Kellie Conrad,Student Trustee,Ball State University,,,,,,,,198089087.0,150136.0,True,,,,Trustee
Barbara Phillips,Trustee,Ball State University,,,,,,,,198089087.0,150136.0,True,,,,Trustee
Thomas L. DeWeese,President,Ball State University,,"Ball State 1968 BB, 1969",,,,,,198089087.0,150136.0,True,,,,Board President
Frank A. Bracken,Vice President,Ball State University,,"Ball State 1968 BB, 1969",,,,,,198089087.0,150136.0,True,,,,Board Vice President
Matt Momper,Trustee,Ball State University,,,"President, Momper Insulation 2431 West Main Street, Fort Wayne, IN 46808 Tel: (260) 432-7543 Education: Ball State 1983 BS; Drake 1984 MBA",,,,,198089087.0,150136.0,True,,,,Trustee
Richard J. Hall,Trustee,Ball State University,,,"Chair, Economic Development Practice Group, Barnes & Thornburg LLP 11 South Meridian Street, Indianapolis, IN 46204 Tel: (317) 231-7516 Education: Ball State 1989 BS; Northwestern 1992 JD",,,,,198089087.0,150136.0,True,,,,Trustee
Frank Hancock,Trustee,Ball State University,,,,,,,,198089087.0,150136.0,True,,,,Trustee
Hollis E. Hughes,Secretary,Ball State University,,,,,,,,198089087.0,150136.0,True,,,,Other Board Member
Marianne Glick,Trustee,Ball State University,,,,,,,,198089087.0,150136.0,True,,,,Trustee
Sue Holt Getterman :,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Randy Ferguson,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Gary D. Elliston,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Rev. Duane Brooks,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Tommy L. Bowman,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
"Ramiro Pena, Jr. Minette Drumwright Pratt",Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Arthur Phillip Lineberger,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Rev. Bobby Charles Dagnel,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Anne Graham Lotz,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
"Neal T. ""Buddy"" Jones",Regent,Baylor University,,"Baylor BA, JD",,,,,,157394403.0,223232.0,True,,,,Regent
Stan Allcorn,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
John C. ReimersBelinda A. ReyesR. Dary Stone.,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
James Alan Bowden,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
"Carl W. BellAlbert C. Black, Jr",Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Howard K. Batson,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Jim L. Turner,Regent,Baylor University,,,"Principal, JLT Beverages L.P5950 Sherry Lane, Suite #370, Dallas, TX 75225 Tel: (214) 265-5500 Education: Baylor BBA",,,,,157394403.0,223232.0,True,,,,Regent
Miles Jay AllisonJoseph Brooks Armes,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Donell Phillips Teaff,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Stephen CarmackHarold R. Cunningham,Regent,Baylor University,,Baylor 1956 BBA,,,,,,157394403.0,223232.0,True,,,,Regent
Wes Bailey,Regent,Baylor University,,,,,,,,157394403.0,223232.0,True,,,,Regent
Damoi Park,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Kennith Thompson,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
John Siefker,Chair,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Board President
Gorden Romberger,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Arthur Fraser,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Dwight Hanger,Vice Chair,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Board Vice President
Stanley Jantz,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
G. Bradley Cole,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Promod Haque,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
"Ronald Rallis, Sr.",Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Robert Thompson,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Jerry Rueb,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Hudson Saffell,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Ray Johnson,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
David Mitchell,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Wayne Lowell,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Al Mijares,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
"Rosemarie I. ""Rosie"" Avila",Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
William Bauer,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
William G. Billard,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Dean Bursch,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Michael Chang,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Carol Hawkins,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
David Karnes,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Allan Kavalich,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Hannah Lee,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Edgar R. Lehman,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Carol Lindskog,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
Barry H. Corey,Trustee,Biola University,,,,,,,,152479009.0,110097.0,True,,,,Trustee
"Rev. Robert B. Lawton, S.J",Trustee,Boston College,,Fordham 1971 AB; Harvard 1977 PhD,"President, Loyola Marymount University",,,,,103531236.0,164924.0,True,,,,Trustee
Peter S. Lynch,Trustee,Boston College,,Boston Col 1965 BA; Pennsylvania 1968 MBA,"Vice Chairman, Fidelity Management & Research Company",,,,,103531236.0,164924.0,True,,,,Trustee
"Rev. Douglas W. Marcouiller, S.J.",Trustee,Boston College,,,"Rector, Bellarmine House",,,,,103531236.0,164924.0,True,,,,Trustee
Peter K. Markell,Trustee,Boston College,,,"Vice President, Finance, Partners HealthCare System, Inc",,,,,103531236.0,164924.0,True,,,,Trustee
William J. Geary,Chairman,Boston College,,,"Partner, North Bridge Venture Partners",,,,,103531236.0,164924.0,True,,,,Board President
Janice Gipson,Trustee,Boston College,,,,,,,,103531236.0,164924.0,True,,,,Trustee
Mary J. Steele Guilfoile,Trustee,Boston College,,,"Chairman, MG Advisors, Inc",,,,,103531236.0,164924.0,True,,,,Trustee
Cynthia Lee Egan,Trustee,Boston College,,,"President and Director, T. Rowe Price Retirement Plan Services, Inc",,,,,103531236.0,164924.0,True,,,,Trustee
Gregory P. Barber,Trustee,Boston College,,,"Chairman, Gregory P. Barber & Associates, Inc",,,,,103531236.0,164924.0,True,,,,Trustee
"Rev. Bradley M. Schaeffer, S.J,",Trustee,Boston College,,,,,,,,103531236.0,164924.0,True,,,,Trustee
Brien M. O'Brien,Trustee,Boston College,,,"Chairman and Chief Executive Officer, Advisory Research, Inc",,,,,103531236.0,164924.0,True,,,,Trustee
Thomas P. O'Neill III,Trustee,Boston College,,Boston Col BA; Harvard 1979 MPA,"Chief Executive Officer, O'Neill and Associates",,,,,103531236.0,164924.0,True,,,,Trustee
"Brian G. Paulson, S.J",Trustee,Boston College,,,"President, St. Ignatius College Prep",,,,,103531236.0,164924.0,True,,,,Trustee
John L. LaMattina,Trustee,Boston College,,,"Senior Vice President and President, Pfizer Global Research and Development, Pfizer Inc (2003-2007)",,,,,103531236.0,164924.0,True,,,,Trustee
