Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,FixedPosition
"Leon J. Hendrix, Jr",Trustee,Clemson University,,Clemson 1976 BS; North Carolina MS Medical U (SC) 1988 DMD,,214.0,,,8078737.0,Clemson University,217882.0,True,Member
Kim Wilkerson,Trustee,Clemson University,,,"President, Bank of America South Carolina, Bank of America Corporation",214.0,,,8078737.0,Clemson University,217882.0,True,Member
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions",214.0,,,8078737.0,Clemson University,217882.0,True,Member
Louis B. Lynn,Trustee,Clemson University,,,"President. ENVIRO AgScience, Inc",214.0,,,8078737.0,Clemson University,217882.0,True,Member
David E. Dukes,Trustee,Clemson University,,Clemson 1981 BS: South Carolina 1984 JD,,214.0,,,8078737.0,Clemson University,217882.0,True,Member
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",214.0,,,8078737.0,Clemson University,217882.0,True,Member
"John N. ""Nick"" McCarter, J",Trustee,Clemson University,,,"President, Defender Services, Inc",214.0,,,8078737.0,Clemson University,217882.0,True,Member
Todd B. Sisitsky,Overseer,Dartmouth College,,Dartmouth 1993; Stanford MBA,"Partner, TPG Capital, L.P",233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Sue Lynch,Overseer,Dartmouth College,,,,233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
"Dr. Holly S. Andersen, MD",Overseer,Dartmouth College,,Dartmouth 1985 BS: Rochester MD,,232.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Douglas E. Williamson,Overseer,Dartmouth College,,,,233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Robert L. Thurer,Overseer,Dartmouth College,,"Dartmouth 1967, 1968; Harvard 1970 MD","Chief Academic Officer, Dubai HealthCare City",233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Barbara J. Couch,Overseer,Dartmouth College,,Dartmouth 1977 MA: Muskingum Col LHD,,232.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
"Dr. Peter L. Slavin, MD",Overseer,Dartmouth College,,"Harvard 1979 AB, 1984 MD, 1990 MBA","President, Massachusetts General Hospital",233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Thomas A. Scully,Overseer,Dartmouth College,,Virginia 1979 BA; Columbus Law 1986 JD,"Senior Counsel, Washington, DC Office, Alston & Bird LLP",233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
"Norman C. Payson, MD",Overseer,Dartmouth College,,MIT 1970 BS; Dartmouth 1973 MD,"Executive Chairman and Chief Executive Officer, Apria Healthcare Group Inc",233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Renee M. Landers,Overseer,Dartmouth College,,Radcliffe 1977 AB; Boston College 1985 JD,"Professor of Law, Suffolk University Law School",233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Bonnie Ann Henderson,Overseer,Dartmouth College,,Dartmouth 1993 MD,,233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
"William W. ""Bill"" Helman IV",Chairman,Dartmouth College,,Dartmouth 1980 AB; Harvard 1984 MBA,"Partner, Greylock Partners",233.0,,,107672454.0,Dartmouth College,182670.0,True,Board President
"Dr. Steven Gillis, PhD",Overseer,Dartmouth College,,Williams 1975 BA: Dartmouth 1978 PhD,"Managing Director, ARCH Venture Partners. L.PTel: (773) 380-6600",232.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Dr. Freddie H. Fu,Overseer,Dartmouth College,,"Dartmouth 1974 AB, 1975 BM; Pittsburgh 1977 MD","Professor and Chairman, Orthopedic Surgery, School of Medicine, University of Pittsburgh Pittsburgh. PA 15260",232.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
John L. Steffens,Overseer,Dartmouth College,,,,233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Susan G. Dentzer,Overseer,Dartmouth College,,Dartmouth 1977 AB. 1980 MD,"Principal Investigator, Excimer laser Study for Corneal Disease, Manhattan Eye. Ear and Throat Hospital",232.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
"Ross A. Jaffe, MD",Overseer,Dartmouth College,,Dartmouth 1980 BA; Johns Hopkins 1985 MD; Stanford MBA,"Managing Director, Versant Ventures",233.0,,,107672454.0,Dartmouth College,182670.0,True,Trustee
Joseph J. O'Donnell,Fellow,Harvard University,,"Harvard 1967 AB, 1971 MBA","Owner and Chairman, Boston Concessions Group, Inc",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
"Theodore V. Wells, Jr",Fellow,Harvard University,,Col Holy Cross 1972 BA; Harvard 1976 MBA1976 JD,"Co-Chair, Litigation, Paul, Weiss, Rifkind, Wharton & Garrison LLP",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
Robert E. Rubin,Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB: London School Econ (UK),"Special Advisor, Tinicum Capital Partners, L.P. 185",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
James F. Rothenberg,Fellow,Harvard University,,,"Chairman, Capital Research & Management Company",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
Robert D. Reischauer,Senior Fellow,Harvard University,,Harvard 1963 AB; Columbia 1966 MIA. 1971 PhD,,276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
"Dr. Drew Gilpin Faust, PhD",Fellow,Harvard University,,,,276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
Nannerl Overholser Keohane,Fellow,Harvard University,,"Wellesley 1961 BA; Oxford (UK) 1963 BA, MA: Yale 1967 PhD","Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Woodrow Wilson School of Public and International Affairs, Princeton University",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
Dr. Jessica Tuchman Mathews,Fellow,Harvard University,,Radcliffe 1967 BS; Caltech 1973 PhD,"President, Carnegie Endowment for International Peace",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
William F. Lee,Fellow,Harvard University,,"Harvard 1972 AB; Cornell 1976 JD, 1976 MBA",,276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Carmack Waterhouse Professor of Law, Medicine, Ethics, and Public Policy, The Law Center, Georgetown University",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
Susan L. Graham,Fellow,Harvard University,,Harvard 1964 AB; Stanford 1966 MS. 1971 PhD,"Pehong Chen Distinguished Professor of Electrical Engineering and Computer Science, Department of Electrical Engineering and Computer Sciences, College of Engineering, University of California, Berkeley",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
James F. Rothenberg,Treasurer,Harvard University,,,"Chairman, Capital Research & Management Company",276.0,,,136199984.0,Harvard University,166027.0,True,Other Board Member
Paul J. Finnegan,Fellow,Harvard University,,,"Co-Chief Executive Officer, Madison Dearborn Partners, LLC",276.0,,,136199984.0,Harvard University,166027.0,True,Overseer
Edward A. Landry,Trustee,Loyola Marymount University,,LSU 1961 BA; UCLA 1964 JD,"Partner, Executive Committee, Musick, Peeler & Garrett LLP One Wilshire Boulevard, Suite 2000, Los Angeles, CA 90017-3321 Tel: (213) 629-7657",320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Rev. Daniel K. Lahart, S.J",Trustee,Loyola Marymount University,,Georgetown 1983 BSBA; Weston Theology 1993 MDiv; Boston Col 1994 MEd; Stanford 1996 MBA,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Joseph M. Knott,Trustee,Loyola Marymount University,,Loyola Marymount 1974,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Paul W. Mikos,Vice Chair,Loyola Marymount University,,Loyola Marymount 1966,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Board Vice President
"Edison K. Miyawaki, MD",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"William H. Muller, S.J",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Timothy G. Psomas,Trustee,Loyola Marymount University,,Loyola Marymount 1962 BS,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Dr. Robert J. Sclabassi, MD",Trustee,Loyola Marymount University,,Loyola Marymount 1962,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Renata C. Smith Simril,Trustee,Loyola Marymount University,,Loyola Marymount 1993,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Walter F. Ulloa,Trustee,Loyola Marymount University,,USC: Loyola Marymount 1975 JD,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Rosemary L. Turner,Trustee,Loyola Marymount University,,Lovola Marymount 1984,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Deborah Lanni,Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Paul S. Viviano,Trustee,Loyola Marymount University,,UCLA MPA,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Rev. Robert T. Walsh, S.J",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Laura D. Williamson,Trustee,Loyola Marymount University,,Loyola Marymount 1974,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
David J. Zuercher,Trustee,Loyola Marymount University,,Loyola Marymount 1968,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Cecilia A. Magladry, CSJ",Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Michael C. McCarthy, S.J",Trustee,Loyola Marymount University,,Santa Clara U 1987 BA; Oxford (UK) MA; Jesuit Berkeley 1997 MDiv; Notre Dame 2003 PhD,"Executive Director. Ignatian Center for Jesuit Education, Santa Clara University 500 El Camino Real, Santa Clara, CA 95053-0001 Tel: (408) 554-4000",320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Michael R. Steed,Trustee,Loyola Marymount University,,Loyola Marymount 1971,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Michael A. Lawson,Trustee,Loyola Marymount University,,Loyola Marymount 1975 BA; Harvard 1978 JD,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Gregory J. O'Meara,Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Markos I. Tambakeras,Trustee,Loyola Marymount University,,U Witwatersrand 1975 BS; Loyola Marymount 1978 MBA,"Chairman, President and Chief Executive Officer, Kennametal Inc. (2002-2005)",320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Dr. Gerdenio M. ""Sonny"" Manuel, S.J.",Trustee,Loyola Marymount University,,U San Francisco 1971 BA; Jesuit Berkeley 1978 MDiv; Duke 1985 PhD,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
William Howard Ahmanson,Trustee,Loyola Marymount University,,,"President, The Ahmanson Foundation",319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Kathleen Hannon Aikenhead,Chair,Loyola Marymount University,,Bucknell BS,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Board President
"Sister Rita Arthur, RSHM",Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Robert C. Baker,Trustee,Loyola Marymount University,,Yale 1956 BA. 1959 LLB,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA: UCLA 1981 MBA,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Rev. Gerald R. Blaszczak, SJ",Trustee,Loyola Marymount University,,Fordham BA: Harvard 1983 PhD,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Alex Martin Chaves,Trustee,Loyola Marymount University,,Loyola Marymount 1986,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Frederick B. Craves,Trustee,Loyola Marymount University,,Georgetown 1967 BS: UC San Francisco PhD,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
David W. Burcham,Trustee,Loyola Marymount University,,Loyola Marymount 1967,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Elbridge H. Stuart III,Trustee,Loyola Marymount University,,,,320.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
David S. DeVito,Trustee,Loyola Marymount University,,,"Executive Vice President and Chief Administrative Officer, The TCW Group, Inc865 South Figueroa Street, Suite 1800, Los Angeles, CA 90017 Education: UCLA BA",319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Rudy F. deLeon, Jr.",Trustee,Loyola Marymount University,,Loyola Marymount 1974,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Nelly Llanos Kilroy,Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Gregory M. Goethals, S.JMary Elizabeth Ingham, CSJ",Trustee,Loyola Marymount University,,Loyola Marymount 1973. 1981,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Rev. Gerald T. ""Jerry"" Cobb, S.J",Secretary,Loyola Marymount University,,,"Associate Professor, Department of English, Seattle University",319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Other Board Member
Norean V. DreierKathleen M. Duncan,Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Karen J. DialThe Honorable Irma J. Brown Dillon,Trustee,Loyola Marymount University,,Loyola Marymount 1970. 1973,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,319.0,,,35566140.0,Loyola Marymount University,117946.0,True,Regent
Anthony R. Slimowicz,Trustee,New Jersey Institute Of Technology,,,"Managing Director, WCD Capital Partners, LLC",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris Holdings",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
"Lawrence A. ""Larry"" Raia, PE",Trustee,New Jersey Institute Of Technology,,,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Henry A. Mauermeyer,Treasurer,New Jersey Institute Of Technology,,,"Senior Vice President, Administration and Treasurer, New Jersey Institute of Technology",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Other Board Member
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
"Elizabeth ""Liz"" Garcia",Trustee,New Jersey Institute Of Technology,,,"Manager, Public Affairs, Infineum",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Binay Sugla,Trustee,New Jersey Institute Of Technology,,,"Chief Executive Officer and Chairman, Mobile Matrix Inc",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
"Gary C. Dahms, PE, PP, CME",Trustee,New Jersey Institute Of Technology,,,"Senior Vice President and Chief Operating Officer, T&M Associates",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Stephen P. DePalma,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1972,"President and Chief Executive Officer, Schoor DePalma",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Board Vice President
"Christopher J. ""Chris"" Christie",Ex Officio Trustee,New Jersey Institute Of Technology,,Delaware 1984 BA; Seton Hall 1987 JD,"Governor, State of New Jersey; Governor (R), State of New Jersey P.O. Box 001, Trenton, NJ 08625",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,"Overseer, Ex Officio"
Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,Stanford 1991 BA. 1992 MA: Yale 1997 JD,"Mayor, Office of the Mayor, City of Newark, New Jersey; Mayor (D), Office of the Mayor, City of Newark, New Jersey City Hall, 920 Broad Street, Room 200, Newark, NJ 07102",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,"Overseer, Ex Officio"
Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,West Virginia Tech 1973 BS; Rutgers 1984 MBA; Johns Hopkins MS,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,"President, New Jersey Alliance for Action",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Anne S. Babineau,Trustee,New Jersey Institute Of Technology,,New Rochelle 1973 BA; Seton Hall 1977 JD,"Chairman, Redevelopment Law Practice Area, Wilentz Goldman & Spitzer P.APO. Box 10, Woodbridge, NJ 07095-0958",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Holly Stern,Secretary,New Jersey Institute Of Technology,,,"General Counsel, New Jersey Institute of Technology",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Other Board Member
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,Overseer
Paul Panayotatos,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Other Board Member
Candace L. Straight,Governor,Rutgers State University Of New Jersey,,,,446.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
Daniel Schulman,Governor,Rutgers State University Of New Jersey,,Middlebury 1980 BA; Stern 1986 MBA,"Group President, Enterprise Growth Group, American Express Company",446.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
Kenneth M. Schmidt,Governor,Rutgers State University Of New Jersey,,Rutgers 1967 BA: Western New England 1969 MBA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
"Joseph J. Roberts, Jr",Governor,Rutgers State University Of New Jersey,,Rutgers BA; Pennsylvania 1986 MGA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Other Board Member
Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,"Baruch Col 1973 BBA: Michigan State 1975 MA, 1979 PhD",,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Other Board Member
Gordon Macinnes,Governor,Rutgers State University Of New Jersey,,Occidental 1963 BA: Princeton MPA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
Bruce Fehn,Treasurer,Rutgers State University Of New Jersey,,Rutgers 1972 BA: Columbia 1975 JD,"Executive Vice President, Secretary and General Counsel, Breeze-Eastern Corporation 700 Liberty Avenue, Union, NJ 07083-4115 Tel: (908) 686-4000",445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Other Board Member
Mark P. Hershhorn,Governor,Rutgers State University Of New Jersey,,Rutgers 1971 BA: Wharton 1972 MBA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
Gerald C. Harvey,Vice Chairman,Rutgers State University Of New Jersey,,Rutgers 1972 BA: Columbia 1975 JD,"Executive Vice President. Secretary and General Counsel. Breeze-Eastern Corporation 700 Liberty Avenue, Union, NJ 07083-4115 Tel: (908) 686-4000",445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Board Vice President
"Rev. M. William Howard, Jr",Governor,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA: Princeton Sem 1972 MDiv,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
"Gregory O. ""Greg"" Brown",Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
Robert L. Barchi,Ex Officio Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,"Trustee, Ex Officio"
Anthony J. DePetris,Governor,Rutgers State University Of New Jersey,,Rutgers (Camden) 1984 BA: Delaware 1986 MPA,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Trustee
Joseph T. Cashin,Student Representative Governor,Rutgers State University Of New Jersey,,,,445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Other Board Member
"Dr. Ralph Izzo, PhD",Chairman,Rutgers State University Of New Jersey,,"Columbia 1978 BS. 1979 MS, 1981 PhD; Rutgers MBA","Chairman, Chief Executive Officer and President, Public Service Enterprise Group Incorporated *P.O. Box 570, Newark, NJ 07101 Tel: (973) 430-7000",445.0,,,102322142.0,Rutgers State University Of New Jersey,186380.0,True,Board President
Robert E. Baldini,Trustee,Seton Hall University,,,,,,,12524447.0,Seton Hall University,186584.0,True,Regent
Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,"Affiliation: Vicar General and Moderator of the Curia, Archdiocese of Newark",468.0,,,12524447.0,Seton Hall University,186584.0,True,Board Vice President
Dr. Phillip Frese,Trustee,Seton Hall University,,,"Affiliation: Executive Vice President, Operations, Catholic Health and Human Services Corporation",468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
Francis J. Hager,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
"Phillip N. ""Phil"" Maisano",Trustee,Seton Hall University,,Belmont Abbey 1969 BA; lona 1976 MBA,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
Patrick M. Murray,Trustee,Seton Hall University,,"Seton Hall BS, MBA","Career: Chairman and Chief Executive Officer, Dresser, Inc",468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
Pamela M. Swartzberg,Secretary,Seton Hall University,,,"Affiliation: Chair, Womens Commission, Archdiocese of Newark",468.0,,,12524447.0,Seton Hall University,186584.0,True,Other Board Member
Donna O'Brien,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
Monsignor Joseph R. Reilly,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
The Most Reverend Arthur J. Serratelli,Trustee,Seton Hall University,,Seton Hall 1965 BA; U Gregoriana DD,"Affiliation: Bishop, Diocese of Paterson",468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
Bruce A. Tomason,Trustee,Seton Hall University,,Seton Hall BA; Columbia 1971 MBA,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
Rev. Mark O'Malley,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
The Most Reverend John J. Myers,Chairman,Seton Hall University,,,"Affiliation: Archbishop, Archdiocese of Newark",468.0,,,12524447.0,Seton Hall University,186584.0,True,Board President
A. Gabriel Esteban,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
Monsignor Robert Wister,Trustee,Seton Hall University,,,,468.0,,,12524447.0,Seton Hall University,186584.0,True,Regent
