Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Ronald B. Lee,Trustee,Adelphi University,,Adelphi 1967 BA,"Founder and Chairman Emeritus, Lee, Nolan & Koroghlian, LLC",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Robert Allyn Scott,Ex Officio Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,"Trustee, Ex Officio"
Patrick S. Smalley,Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Leon M. Pollack,Trustee,Adelphi University,,,"Managing Director, Donaldson, Lufkin & Jenrette, Inc",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Lois Carter Schlissel,Trustee,Adelphi University,,SUNY (Oswego) 1972 BA; Buffalo 1975 JD,"Managing Attorney and Member [Chair, Management Committee], Meyer, Suozzi, English and Klein P.C 990 Stewart Avenue, Suite 300, Garden City, NY 11530",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Dr. James E. Girard,Faculty Trustee,American University,,Penn State PhD,"Chair, Chemistry Department, American University",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
David R. Drobis,Trustee,American University,,American U 1965 MA,"Chairman Emeritus, Omnicom Group Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Dan Gasby,Trustee,American University,,,"Chief Executive Officer, B. Smith Enterprises Ltd",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Gary M. Abramson,Trustee,American University,,American U 1968 BA,"Partner, The Tower Companies",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Stephanie Bennett-Smith,Trustee,American University,,"New Mexico BA, MA: lowa 1973 PhD","President Emerita, Centenary College",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Barlow Burke,Faculty Trustee,American University,Washington College of Law,,"Professor of Law, Washington College of Law",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Gary D. Cohn,Trustee,American University,,American U 1982 BSBA,"President and Chief Operating Officer, The Goldman Sachs Group, Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Marc N. Duber,Trustee,American University,,American U 1981 BS,"Executive Vice President and Chief Operating Officer, The Bernstein Companies",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Jeffrey A. Sine,Chairman,American University,,American U 1976 BA: USC JD,"Partner, Raine Group LLC",124.0,,,181401687.0,American University,131159.0,True,,,,Board President
Patrick H. Butler,Vice Chairman,American University,,Tennessee 1969; American U 1996 MA,"President and Chief Executive Officer, Association of Public Television Stations",123.0,,,181401687.0,American University,131159.0,True,,,,Board Vice President
Gisela B. Huberman,Trustee,American University,,"George Washington 1964 AB, 1965 MA, 1970 PhD; Washington College of Law 1980 JD","President, GBH Radio, Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Hani M. S. Farsi,Trustee,American University,,American U BA,"Chief Executive Officer, Corniche Group",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Kim Cape,Ex Officio Trustee,American University,,,"General Secretary, General Board of Higher Education and Ministry",123.0,,,181401687.0,American University,131159.0,True,,,,"Trustee, Ex Officio"
Jack C. Cassell,Trustee,American University,,American U 1977 BA,"President and Chief Executive Officer, Visual Aids Electronics & Conference Systems, Inc",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Gina Ferguson Adams,Trustee,American University,,American U 1980 BA; Howard U 1983 JD; Georgetown 1987 LLM,"Corporate Vice President, Government Affairs, FedEx Corporation",123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Peter L. Scher,Trustee,American University,,American U 1983 BA; Washington College of Law 1987 JD,"Executive Vice President and Head, Corporate 25 IN A Responsibility, JPMorgan Chase & Co270 Park Avenue. New York, NY 10017-2070",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Thomas A. Gottschalk,Trustee,American University,,Earlham 1964 BA: Chicago 1967 JD,"Chair, Pro Bono Management Committee, Kirkland & Ellis LLP",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
"C. Nicholas Keating, Jr",Trustee,American University,,"American U 1963 BA, 1964 MA","President and Chief Executive Officer, Network Equipment Technologies",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
John R. Schol,Ex Officio Trustee,American University,,,"Bishop, Baltimore- Washington Conference of The United Methodist Church",124.0,,,181401687.0,American University,131159.0,True,,,,"Trustee, Ex Officio"
Margery Kraus,Trustee,American University,,American U 1967 BA. 1971 MA,"Founder and Chief Executive Officer, APCO Worldwide Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Alan L. Meltzer,Trustee,American University,,American U 1973,"Founder and Chief Executive Officer, The Meltzer Group",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Pamela M. Deese,Trustee,American University,,"American U 1980 BS, Washington College of Law 1983 JD","Partner, Arent Fox LLP",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Brett AtanasioStudent,Trustee,American University,,,,123.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Cornelius M. Kerwin,Ex Officio Trustee,American University,,,,124.0,,,181401687.0,American University,131159.0,True,,,,"Trustee, Ex Officio"
Charles H. Lydecker,Trustee,American University,,American U 1985 BA,"Executive Vice President, Brown & Brown, Inc",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Robyn Rafferty Mathias,Trustee,American University,,American U 1964 BA; Washington College of Law 1992 JD,"Principal, Rolling Terrace Elementary School",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Mark L. Schneider,Trustee,American University,,UC Berkeley 1963 BA; San Jose State MA,"Senior Vice President, International Crisis Group",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Regina L. Muehlhauser,Trustee,American University,,American U 1970,"President, San Francisco Market, Bank of America",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Arthur J. Rothkopf,Trustee,American University,,Lafayette 1955 AB; Harvard 1958 JD,"Vice Chair, National Advisory Committee on Institutional Quality and Integrity, Office of the Secretary, United States Department of Education (Note: Appointed by the House of Representatives.)",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Gerald Bruce Lee,Trustee,American University,,American U 1973 BA; Washington College of Law 1976 JD,"District Judge, Chambers of District Judge Gerald Bruce Lee, United States District Court for the Eastern District of Virginia",124.0,,,181401687.0,American University,131159.0,True,,,,Trustee
Edward E. Zinke,Trustee,Andrews University,,,"President, Ann's House of Nuts",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Sandra K. Johnson,Trustee,Andrews University,,Andrews; Rollins MBA,"Affiliation: Senior Vice President, Business Development, Risk Management and Compliance, Adventist Health System Sunbelt Healthcare Corporation",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Glynn Scott,Trustee,Andrews University,,,"Treasurer, Lake Union Conference of Seventh-day Adventists",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dana L. Wales,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Debbi J. Christensen,Trustee,Andrews University,,,"Affiliation: President, Lake Region Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Robert E. Lemon,Trustee,Andrews University,,,"Affiliation: Treasurer, General Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Ray Pichette,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Donald G. King,Trustee,Andrews University,,,"Affiliation: President, Atlantic Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Daniel R. Jackson,Trustee,Andrews University,,,"Affiliation: President, Canadian Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Jay Gallimore,Trustee,Andrews University,,,"Affiliation: President, Michigan Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Edwin Hernandez,Trustee,Andrews University,,,"Career: Dean, Faculty of Religion, Loma Linda University",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dann Hotelling,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Rose Marie Cazeau, RN.",Trustee,Andrews University,,Hunter BSN; DePaul JD 400 noin,"Career: Environmental Enforcement Bureau Chief, Attorney General's Chicago Office, Office of the Attorney General, State of 3 xoll",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Lynn S. Gray,Trustee,Andrews University,,,"Affiliation: Physician, Lakeland HealthCare",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Cletus R. Georges,Trustee,Andrews University,,,"Affiliation: Physician, Mid-Florida Urological Associates",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Michael G. Edge,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Jerome Davis,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Loren Hamel,Trustee,Andrews University,,,"Affiliation: President and Chief Executive Officer, Lakeland HealthCare",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Van G. Hurst,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Donald E. Livesay,Vice Chairman,Andrews University,,Andrews 1976 MDiv,"Affiliation: President, Lake Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Board Vice President
Fred M. Manchur,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Larry R. Moore,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Mark L. Johnson,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Dr. G. T. Ng, PhD",Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Juan R. Prestol,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Niels-Erik A. Andreasen,Secretary of the Board,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Other Board Member
"Dr. Ron C. Smith, PhD",Trustee,Andrews University,,,"Executive Director, Institute for Healthcare Innovation",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
David R. Rowe,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dr. Lisa M. Beardsley-Hardy,Trustee,Andrews University,,Loma Linda 1983 MPH; Hawaii 1989 PhD; Claremont Grad 2006 MBA,"Vice Chancellor, Academic Affairs, Loma Linda University",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Rodney A. Grove,Trustee,Andrews University,,,"Affiliation: Secretary, Lake Union Conference of Seventh-day Adventists",125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Dolores E. Slikkers,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Benjamin D. Schoun,Chairman,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Board President
"Dr. Judith L. ""Judy"" Storfjell, RN",Trustee,Andrews University,,"Walla Walla Col BS; Michigan MS, PhD",,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Garry Sudds,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Lynne K. Waihee,Trustee,Andrews University,,,"President, Read To Me International Foundation",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Rebekah Wang Cheng,Trustee,Andrews University,,Loma Linda 1978 MD,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Barbara J. Randall,Trustee,Andrews University,,,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Danielle Wuchenich,Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"William G. C. Murdoch, Jr",Trustee,Andrews University,,Andrews 1967,,125.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
Paul A. Stokstad,Trustee,Andrews University,,,"President, Pasco Scientific",126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Dr. Ted N. C. Wilson, PhD",Trustee,Andrews University,,,,126.0,,,102298084.0,Andrews University,168740.0,True,,,,Trustee
"Janice K. ""Jan"" Brewer",Ex Officio Regent,Arizona State University,,,,132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,"Regent, Ex Officio"
"Frederick ""Fred"" Corey",Director,Arizona State University,School of Letters and Sciences,,,128.0,,,55732556.0,Arizona State University,104151.0,True,0.0,432.0,Arizona Board of Regents,Director
Dr. Elizabeth D. Phillips,Executive Vice President,Arizona State University,Arizona State University At The Tempe Campus [Asu Tempe],,,129.0,,,55732556.0,Arizona State University,104151.0,True,6.0,448.0,Arizona Board of Regents,Board Vice President
Mitzi Montoya,Vice Provost,Arizona State University,Arizona State University at the Polytechnic Campus,,,128.0,,,55732556.0,Arizona State University,104151.0,True,2.0,436.0,Arizona Board of Regents,Director
Jeffrey Englin,Director,Arizona State University,Morrison School of Agribusiness and Resource Management,,,129.0,,,55732556.0,Arizona State University,104151.0,True,3.0,443.0,Arizona Board of Regents,Director
"Frederick ""Fred"" Corey",Director,Arizona State University,School of Letters and Sciences,,,129.0,,,55732556.0,Arizona State University,104151.0,True,4.0,444.0,Arizona Board of Regents,Director
Mitzi Montoya,Vice Provost,Arizona State University,College of Technology and Innovation,,,129.0,,,55732556.0,Arizona State University,104151.0,True,5.0,446.0,Arizona Board of Regents,Director
Dr. Ram R. Krishna,Chairman,Arizona State University,,Bangalore (India) 1971 MBBS,"Physician Member, Arizona Medical Board. State of Arizona",132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Board President
Jay Heiler,Regent,Arizona State University,,Arizona State 1983,,132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Regent
Mark W. Killian,Treasurer,Arizona State University,,Arizona State 1981 BS,"Founding Partner and Senior Broker, Sunny Mesa Realty",132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Other Board Member
Keith D. Lindor,"Executive Vice Provost, Health Solutions",Arizona State University,College of Nursing and Health Innovation,Minnesota 1975 BS: Mayo Medical 1979 MD,,128.0,,,55732556.0,Arizona State University,104151.0,True,1.0,434.0,Arizona Board of Regents,Director
LuAnn Leonard,Vice Chairman,Arizona State University,,Northern Arizona 1983,"Executive Director, Hopi Education Endowment Fund",132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Board Vice President
Anne L. Mariucci,Regent,Arizona State University,,Arizona,"Partner, Inlign Capital Partners",132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Regent
Richard T. Myers,Regent,Arizona State University,,Alabama BS,"Chief Operating Officer, Critical Path Institute",132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Regent
John Huppenthal,Ex Officio Regent,Arizona State University,,,"Superintendent of Public Instruction (R). Arizona Department of Education, State of Arizona",132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,"Regent, Ex Officio"
Dennis W. DeConcini,Regent,Arizona State University,,"Arizona 1959, 1963 JD",,132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Regent
Kaitlin Thompson,Student Regent,Arizona State University,,,,132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Regent
LuAnn Leonard,Secretary,Arizona State University,,Northern Arizona 1983,"Executive Director, Hopi Education Endowment Fund",132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Other Board Member
"Greg Patterson, CPA",Regent,Arizona State University,,Arizona 1985; Arizona State 2008 JD,,132.0,,,55732556.0,Arizona Board Of Regents,,True,,,,Regent
"Robert ""Bob"" Dumas",Third Congressional District Trustee,Auburn University,,Auburn 1976,,134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
"James R. ""Jim"" Pratt III",Ninth Congressional District Trustee,Auburn University,,Auburn 1972 BA; Cumberland 1978,"Attorney, Hare, Wynn, Newell & Newton LLP",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
Raymond J. Harbert,At Large Member,Auburn University,,Auburn 1982,"Chairman and Chief Executive Officer, Harbert Management Corporation",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
"James H. ""Jimmy"" Sanford",Fourth Congressional District Trustee,Auburn University,,"Auburn 1968 BSBA, 1971 MS","Chairman of the Board, Home Place Farms, Inc",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
M. Clark Sahlie,Second Congressional District Trustee,Auburn University,,Auburn 1988 BBA,,134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
Sarah B. Newton,Seventh Congressional District Trustee,Auburn University,,Auburn 1974 BS; Alabama 1978 MAED,"Principal, Fayette Elementary School",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
James W. Rane,Third Congressional District Trustee,Auburn University,,Auburn BS; Cumberland JD,"President and Chief Executive Officer, Great Southern Wood Preserving, IncPO. Box 610, Abbeville, AL 36310",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
Samuel L. Ginn,At Large Member,Auburn University,,Auburn 1959 BS,"Senior Advisor, San Francisco Office, Greenhill & Co., IncOne California Street, 26th Floor, San Francisco, CA 94111",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
Charles D. McCrary,At Large Member,Auburn University,,Auburn 1973 BSME: Birmingham 1978 JD,"President and Chief Executive Officer, Alabama Power Company",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
"Elizabeth H. ""Liz"" Huntley",Sixth Congressional District Trustee,Auburn University,,Auburn 1993 BS; Alabama 1997 JD,"Associate, Lightfoot, Franklin & White LLC",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
Raymond J. Harbert,President Pro Tempore,Auburn University,,Auburn 1982,"Chairman and Chief Executive Officer, Harbert Management Corporation",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Board President
"Ben Tom ""B.T."" Roberts",First Congressional District Trustee,Auburn University,,,,134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
D. Gaines Lanier,Fifth Congressional District Trustee,Auburn University,,Auburn 1974 BS,"Chairman and Chief Executive Officer, J. Smith Lanier & CoPO. Box 70. West Point, GA 31833-0070",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
John G. Blackwell,Eighth Congressional District Trustee,Auburn University,,Auburn 1964 BS,"Chairman, INKANA Properties LLC",134.0,,,82497590.0,Auburn University,100858.0,True,,,,Trustee
"Hollis E. Hughes, Jr.",President,Ball State University,,"Ball State 1965, 1972 MA","President and Chief Executive Officer, United Way of StJoseph County Inc. (1994-2007)",138.0,,,198089087.0,Ball State University,150136.0,True,,,,Board President
Michael Miller,Student Trustee,Ball State University,,,,138.0,,,198089087.0,Ball State University,150136.0,True,,,,Trustee
Matt Momper,Trustee,Ball State University,,,"President, Momper Insulation",138.0,,,198089087.0,Ball State University,150136.0,True,,,,Trustee
Thomas C. Bracken,Trustee,Ball State University,,Stanford; Chicago MBA,,137.0,,,198089087.0,Ball State University,150136.0,True,,,,Trustee
R. Wayne Estopinal,Trustee,Ball State University,,Ball State 1979 BS,"President, The Estopinal Group LLC",138.0,,,198089087.0,Ball State University,150136.0,True,,,,Trustee
Marianne Glick,Trustee,Ball State University,,Butler,,138.0,,,198089087.0,Ball State University,150136.0,True,,,,Trustee
Richard J. Hall,Secretary,Ball State University,,Ball State 1989 BS; Northwestern 1992 JD,"Partner and Chair, Economic Development Practice Group, Barnes & Thornburg. LLP",138.0,,,198089087.0,Ball State University,150136.0,True,,,,Other Board Member
Barbara Phillips,Assistant Secretary,Ball State University,,"Ball State 1952, 1963 MA",,138.0,,,198089087.0,Ball State University,150136.0,True,,,,Other Board Member
Frank Hancock,Vice President,Ball State University,,Ball State 1970,"President and Chief Executive Officer, Sport Graphics",138.0,,,198089087.0,Ball State University,150136.0,True,,,,Board Vice President
"Albert C. Black, Jr",Regent,Baylor University,,Texas (Dallas) BA; Southern Methodist MBA,"President and Chief Executive Officer, On-Target Supplies & Logistics, Ltd1133 South Madison Avenue, Dallas, TX 75208",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
M. Jay Allison,Regent,Baylor University,,"Baylor 1978 BBA, 1980 MS, 1981 JD","Chairman, President and Chief Executive Officer, Comstock Resources, IncComstock Tower, 5300 Town & Country Boulevard, Suite 500, Frisco, TX 75034",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
"Robert E. ""Bob"" Beauchamp",Regent,Baylor University,,Texas 1982 BBA; Houston Baptist 1987 MS,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Jerry K. Clements,Regent,Baylor University,,Texas Christian 1975 BS: Baylor 1981 JD,"Chairman, Executive Committee. Locke Lord Bissell & Liddell LLP100 Congress Avenue, Suite 300, Austin, TX 78701",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
James Cary Gray,Regent,Baylor University,,"Baylor 1979 BA, 1980 BAcc, 1983 JD","Firm Managing Director, Looper Reed & McGraw, I P.C1300 Post Oak Boulevard, Suite 2000, Houston, TX 77056",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Linda Jean Brian,Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Ken Carlile,Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Todd Still,Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Gary D. Elliston,Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Rev. Duane Brooks,Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
"Ronald Dean ""Ron"" Murff, CPA",Regent,Baylor University,,Baylor BBA,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
"Neal T. ""Buddy"" Jones",Regent,Baylor University,,Baylor 1974 BA. 1975 JD,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Jennifer Walker Elrod,Regent,Baylor University,,Baylor 1988 BA; Harvard 1992 JD,"Circuit Judge, Chambers of Circuit Judge JenniferWalker Elrod, United States Court of Appeals for the Fifth Circuit515 Rusk Street, Room 4627, Houston, TX 77002-2600",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Kelly Rapp,Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
"Joel T. Allison, FACHE",Regent,Baylor University,,Baylor 1970 BA; Trinity U 1973 MS 5,"Chairman, President and Chief Executive OfficerBaylor Health Care System",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
C. Clifton Robinson,Regent,Baylor University,,Baylor 1963 BBA,"Chief Executive Officer, NLASCO. IncPhilip W. Stewart",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Jeffrey D. Reeter,Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
"William K. Robbins, Jr",Regent,Baylor University,,,,142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
David Harlan Harper,Regent,Baylor University,,Baylor 1988 BBA: Harvard 1991 JD,"Partner and Section Chair, Business Litigation Insurance/Intellectual Property Litigation Section, Haynes and Boone, LLP2323 Victory Avenue, Suite 700, Dallas, TX 75219-7673",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Ronald L. Wilson,Regent,Baylor University,,,,143.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
Richard S. Willis,Regent,Baylor University,,,"Chairman, President and Chief Executive Officer, Baker & Taylor, Inc. (2004-2008)",142.0,,,157394403.0,Baylor University,223232.0,True,,,,Regent
