Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
"William C. Smith, Jr",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, Inc",204.0,,8078737.0,217882.0,Member,,True
Joseph D. Swann,Vice Chairmay,Clemson University,,,"Vice President and General Manager, Dodge/Rockwell Automation",204.0,,8078737.0,217882.0,Board Vice President,,True
Allen P. Wood.,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., Ltd",204.0,,8078737.0,217882.0,Member,,True
Monte Ahuja,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,Regent,,True
Michael L. Climaco,Treasurer,Cleveland State University,,,,206.0,,102607778.0,202134.0,Other Board Member,,True
Timothy J. Cosgrove,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,Regent,,True
Edward F. Crawford,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,Regent,,True
Nancy C. Cribbs,University Legal Counsel,Cleveland State University,,,,206.0,,102607778.0,202134.0,Other Board Member,,True
Nancy C. Cribbs,Secretary,Cleveland State University,,,,206.0,,102607778.0,202134.0,Other Board Member,,True
Sally Florkiewicz,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,Regent,,True
Carl Glickman,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,Regent,,True
David G. Hill,Vice Chairman,Cleveland State University,,,,206.0,,102607778.0,202134.0,Board Vice President,,True
Samuel H. Miller,Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,Regent,,True
William F. Patient,Chairman,Cleveland State University,,,,206.0,,102607778.0,202134.0,Board President,,True
Donna Phillips,Faculty Representative Trustee,Cleveland State University,,,,206.0,,102607778.0,202134.0,Other Board Member,,True
D. Ronald Daniel,Treasurer,Harvard University,,,,284.0,,136199984.0,166027.0,Other Board Member,,True
D. Ronald Daniel,Fellow,Harvard University,,,,284.0,,136199984.0,166027.0,Overseer,,True
Hanna H. Gray,Fellow,Harvard University,,"Bryn Mawr 1950 AB; Harvard 1957 PhD; Yale 1971 MA, 1978 LLD","Chairperson, The Andrew W. Mellon Foundation",284.0,,136199984.0,166027.0,Overseer,,True
Judith Richards Hope,Fellow,Harvard University,,,"Senior Counsel, Paul, Hastings, Janofsky & Walker, LLP",284.0,,136199984.0,166027.0,Overseer,,True
James R. Houghton,Fellow,Harvard University,,,"Chairman of the Board, Corning, Inc",284.0,,136199984.0,166027.0,Overseer,,True
Neil Leon Rudenstine,President,Harvard University,,,,284.0,,136199984.0,166027.0,Board President,,True
Neil Leon Rudenstine,Fellow,Harvard University,,,,284.0,,136199984.0,166027.0,Overseer,,True
Cora Smith Breckenridge,Trustee,Indiana University System,,,,,,nan,,Governor,,True
"Frederick F. Eichorn, Jr.",Governor Appointed Vice President,Indiana University System,,,,,,nan,,Governor,,True
Steve Ferguson,Governor Appointed Vice President,Indiana University System,,,,,,nan,,Governor,,True
Dean A. Hertzler II,Governor Appointed Trustee,Indiana University System,,,,,,nan,,Governor,,True
James T. Morris,Trustee,Indiana University System,,,,,,nan,,Governor,,True
Peter L. Obremskey,Governor Appointed Trustee,Indiana University System,,,,,,nan,,Governor,,True
Ray Richardson,Trustee,Indiana University System,,,,299.0,,nan,,Governor,,True
James M. Biggar,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,Regent,,True
Vincent A. Chiarucci,Chairman,Kent State University,,,,309.0,,149910238.0,203517.0,Board President,,True
R. Douglas Cowan,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,Regent,,True
Lynne S. Dragomier,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,Regent,,True
Burton V. Jones,Vice Chairman,Kent State University,,,,309.0,,149910238.0,203517.0,Board Vice President,,True
Norbert Lewandowski,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,Regent,,True
Vincent D. Pettinelli,Secretary,Kent State University,,,,309.0,,149910238.0,203517.0,Other Board Member,,True
James R. Schubert,Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,Regent,,True
James N. Walters IV,Student Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,Other Board Member,,True
Earl W. Williams,Vice Chairman,Kent State University,,,,309.0,,149910238.0,203517.0,Board Vice President,,True
Kristi Marie Zofchak,Student Trustee,Kent State University,,,,309.0,,149910238.0,203517.0,Other Board Member,,True
Stanley F. Barshay,Trustee,Long Island University,,,"Senior Vice President, American Home Products",324.0,,138873065.0,192448.0,Overseer,,True
Mark A. Boyar,Trustee,Long Island University,,,"President, Mark Boyar & Company",324.0,,138873065.0,192448.0,Overseer,,True
Sidney Braginsky,Member of the Board,Long Island University,,,"President, Olympus America Inc",324.0,,138873065.0,192448.0,Overseer,,True
William F. de Neergaard,Trustee,Long Island University,,,"President and Owner, Neergaard Pharmacies",324.0,,138873065.0,192448.0,Overseer,,True
William F. de Neergaard,Executive Committee Member,Long Island University,,,"President and Owner, Neergaard Pharmacies",324.0,,138873065.0,192448.0,Other Board Member,,True
Donald H. Elliott,Trustee,Long Island University,,,"Partner, Hollyer, Brady, et al",324.0,,138873065.0,192448.0,Overseer,,True
Donald H. Elliott,Executive Committee Member,Long Island University,,,"Partner, Hollyer, Brady, et al",324.0,,138873065.0,192448.0,Other Board Member,,True
Anne W. Ellis,Trustee,Long Island University,,,"Board Chair, WLIW-TV",324.0,,138873065.0,192448.0,Overseer,,True
"George L. Engelke, Jr",Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Astoria Federal Savings and Loan Association",324.0,,138873065.0,192448.0,Overseer,,True
Arthur I. Goldberg,Trustee,Long Island University,,,"Law Partner, Jacobson & Goldberg",324.0,,138873065.0,192448.0,Overseer,,True
Ernest P. Gonzalez,Trustee,Long Island University,,,"President and Chief Executive Officer, Captree Chemical Corp",324.0,,138873065.0,192448.0,Overseer,,True
Msgr. Thomas J. Hartman,Trustee,Long Island University,,,"Director, Radio and Television, Telecare",324.0,,138873065.0,192448.0,Overseer,,True
Msgr. Thomas J. Hartman,Executive Committee Member,Long Island University,,,"Director, Radio and Television, Telecare",324.0,,138873065.0,192448.0,Other Board Member,,True
Stephen P. Kaufman,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Arrow Electronics, Inc",324.0,,138873065.0,192448.0,Overseer,,True
Steven A. Klar,Trustee,Long Island University,,,"President, The Klar Organization",324.0,,138873065.0,192448.0,Overseer,,True
Eric Krasnoff,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",324.0,,138873065.0,192448.0,Overseer,,True
Eric Krasnoff,Executive Committee Member,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",324.0,,138873065.0,192448.0,Other Board Member,,True
Steven J. Kumble,Secretary,Long Island University,,,"Chairman, Lincolnshire Management, Inc",324.0,,138873065.0,192448.0,Other Board Member,,True
Steven J. Kumble,Executive Committee Member,Long Island University,,,"Chairman, Lincolnshire Management, Inc",324.0,,138873065.0,192448.0,Other Board Member,,True
Howard M. Lorber,Trustee,Long Island University,,,"Chairman, Hallman & Lorber AssociateS",324.0,,138873065.0,192448.0,Overseer,,True
Howard M. Lorber,Executive Committee Member,Long Island University,,,"Chairman, Hallman & Lorber AssociateS",324.0,,138873065.0,192448.0,Other Board Member,,True
Eugene H. Luntey,Trustee,Long Island University,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,324.0,,138873065.0,192448.0,Overseer,,True
Eugene H. Luntey,Executive Committee Member,Long Island University,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,324.0,,138873065.0,192448.0,Other Board Member,,True
"William Lynch, Jr",Trustee,Long Island University,,,"Vice President, MacAndrews & Forbes Holdings, Inc",324.0,,138873065.0,192448.0,Overseer,,True
"William Lynch, Jr",Executive Committee Member,Long Island University,,,"Vice President, MacAndrews & Forbes Holdings, Inc",324.0,,138873065.0,192448.0,Other Board Member,,True
Joseph L. Mancino,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Roslyn Savings Bank and Roslyn Bancorp, Inc",324.0,,138873065.0,192448.0,Overseer,,True
John M. May,Trustee,Long Island University,,International Management Consultant,,324.0,,138873065.0,192448.0,Overseer,,True
John M. May,Executive Committee Member,Long Island University,,International Management Consultant,,324.0,,138873065.0,192448.0,Other Board Member,,True
Nancy Hicks Maynard,Trustee,Long Island University,,,Maynard Partners Incorporated,324.0,,138873065.0,192448.0,Overseer,,True
William P. Miller,Trustee,Long Island University,,,"Owner, Miller Transmission Tower Company",324.0,,138873065.0,192448.0,Overseer,,True
Theresa Mall Mullarkey,"Chancellor, C. W. Post Campus",Long Island University,,"President, Mall Associates",,324.0,,138873065.0,192448.0,Board President,,True
Theresa Mall Mullarkey,Trustee,Long Island University,,"President, Mall Associates",,324.0,,138873065.0,192448.0,Overseer,,True
Theresa Mall Mullarkey,Executive Committee Member,Long Island University,,"President, Mall Associates",,324.0,,138873065.0,192448.0,Other Board Member,,True
David Pinter,Trustee,Long Island University,,,"President and Chief Executive Officer, Zwicker Electric Company, Inc",324.0,,138873065.0,192448.0,Overseer,,True
David Pinter,Executive Committee Member,Long Island University,,,"President and Chief Executive Officer, Zwicker Electric Company, Inc",324.0,,138873065.0,192448.0,Other Board Member,,True
"Edmund T. Pratt, Jr",Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Pfizer Inc",324.0,,138873065.0,192448.0,Overseer,,True
Thomas L. Pulling,Trustee,Long Island University,,,"Managing Director, Asset Management, Salomon Smith Barney",324.0,,138873065.0,192448.0,Overseer,,True
Thomas L. Pulling,Executive Committee Member,Long Island University,,,"Managing Director, Asset Management, Salomon Smith Barney",324.0,,138873065.0,192448.0,Other Board Member,,True
Bruce C. Ratner,Trustee,Long Island University,,,"President and Chief Executive Officer, Forest City Ratner Companies",324.0,,138873065.0,192448.0,Overseer,,True
Warren L. Schwerin,Trustee,Long Island University,,,"President and Chief Executive Officer, Related Properties Corporation",324.0,,138873065.0,192448.0,Overseer,,True
Terry Semel,Trustee,Long Island University,,,"Chairman and Co-Chief Executive Officer, Warner Bros",324.0,,138873065.0,192448.0,Overseer,,True
Robert F.X. Sillerman,"Chancellor, Southampton College",Long Island University,,,,324.0,,138873065.0,192448.0,Board President,,True
Robert F.X. Sillerman,Trustee,Long Island University,,,,324.0,,138873065.0,192448.0,Overseer,,True
Robert F.X. Sillerman,Executive Committee Member,Long Island University,,,,324.0,,138873065.0,192448.0,Other Board Member,,True
Howard Silverman,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Gruntal & Company, Inc.",325.0,,138873065.0,192448.0,Overseer,,True
The Hon. Eleanor A. Simpson,Chairman,Long Island University,,,"Mayor, Incorporated Village of Old Westbury",325.0,,138873065.0,192448.0,Board President,,True
The Hon. Eleanor A. Simpson,Chief Executive Officer,Long Island University,,,"Mayor, Incorporated Village of Old Westbury",325.0,,138873065.0,192448.0,Other Board Member,,True
Marvin M. Sirota,Trustee,Long Island University,,,"President and Chairman, Interactive Health Management, Inc.",325.0,,138873065.0,192448.0,Overseer,,True
Howard M. Smith,Trustee,Long Island University,,,"President and Chief Executive Officer, Dr. Fabricant's Foot Health Products, Inc.",325.0,,138873065.0,192448.0,Overseer,,True
Rev. Paul Smith,Trustee,Long Island University,,,"Senior Minister, First Presbyterian Church Brooklyn Heights, NY",325.0,,138873065.0,192448.0,Overseer,,True
David J. Steinberg,President,Long Island University,,,,325.0,,138873065.0,192448.0,Board President,,True
David J. Steinberg,Ex Officio Trustee,Long Island University,,,,325.0,,138873065.0,192448.0,"Overseer, Ex Officio",,True
Ronald J. Sylvestri,"Chancellor, Regional Campuses",Long Island University,,,"Vice President, Fleet Investment Committee Member Management",325.0,,138873065.0,192448.0,Board President,,True
Ronald J. Sylvestri,Trustee And Executive,Long Island University,,,"Vice President, Fleet Investment Committee Member Management",325.0,,138873065.0,192448.0,Overseer,,True
Roger Tilles,Chairman,Long Island University,,,"Director, The Tilles Investment Company",325.0,,138873065.0,192448.0,Board President,,True
Roger Tilles,Executive Committee Member,Long Island University,,,"Director, The Tilles Investment Company",325.0,,138873065.0,192448.0,Other Board Member,,True
Edward Travaglianti,"Chancellor, Brooklyn Campus",Long Island University,,,"Chairman and Chief Executive Officer, Committee Member",325.0,,138873065.0,192448.0,Board President,,True
Edward Travaglianti,Trustee And Executive,Long Island University,,,"Chairman and Chief Executive Officer, Committee Member",325.0,,138873065.0,192448.0,Overseer,,True
John O. Utendahl,Trustee,Long Island University,,,"President and Chief Executive Officer, Utendahl Capital Partners, L.P",325.0,,138873065.0,192448.0,Overseer,,True
William E. Viklund,Trustee,Long Island University,,,"President and Chief Executive Officer, Rosalind P. Walter Long Island Savings Bank",325.0,,138873065.0,192448.0,Overseer,,True
William E. Viklund,Executive Committee Member,Long Island University,,,"President and Chief Executive Officer, Rosalind P. Walter Long Island Savings Bank",325.0,,138873065.0,192448.0,Other Board Member,,True
Dan K. Wassong,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Del Laboratories, Inc",325.0,,138873065.0,192448.0,Overseer,,True
Edward J. Yodowitz,Affiliation: Senior Partner,Long Island University,,,"Skadden, Arps, Slate, Meagher & Flom LLP",325.0,,138873065.0,192448.0,Other Board Member,,True
Scott Brame,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Harold Callais,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Richard E. D'Aquin,Vice Chairman,Louisiana State University System,,,,329.0,,107341208.0,,Board Vice President,,True
Michael Dees,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Reggie Dupre,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
John D. Georges,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Frances T. Henry,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Melvin Rambin,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
"William T. Roberts, Jr",Secretary,Louisiana State University System,,,,329.0,,107341208.0,,Other Board Member,,True
"Virgil Robinson, Jr.",Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Mary Ella Sanders,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Norbert A. Simmons,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Pat A. Strong,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
Roland M. Toups.,Regent,Louisiana State University System,,,,329.0,,107341208.0,,Member,,True
"Rev. Joseph A. Appleyard, SJ",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Peter B. Caloyeras,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
"Rev. Robert V. Caro, SJ",Secretary,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Other Board Member,,True
John F. Cosgrove,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
R. Chad Dreier,Chairman,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Board President,,True
Robert J. Emmons,Vice Chairman,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Board Vice President,,True
"Rev. Michael E. Engh, SJ",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Robert Forgone,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
John F. Grundhofer,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
William E. Hickman,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
"Ellen Jordan, CSJ",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
"Thomas E. Larkin, Jr",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
"Rev. Robert B. Lawton, SJ",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Fiorenza Courtright Lucas,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Kathleen L. McCarthy,Vice Chairperson,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Board Vice President,,True
John A. McMahon,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Paul W. Mikos,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Sr. Mary E. Milligan,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
John F. O'Reilly,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Joan A. Payden,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
"Rev. John J. Piderit, SJ",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Avedick B. Poladian,Vice Chairman,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Board Vice President,,True
Dorothy Babbitt Shea,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Clarence L. Shields,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Marilyn P. Sutton,Vice Chairperson,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Board Vice President,,True
"Joan Tracy, RSHM",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Javier R. Uribe,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
"Thomas R. Von der Abe, Sr",Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
Christopher C. Wrather,Trustee,Loyola Marymount University,,,Loyola Marymount University,331.0,,35566140.0,117946.0,Regent,,True
John N. Bain,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Carella, Byrne, Bain & Gilfillan",366.0,,118118575.0,185828.0,Overseer,,True
Laura Bigley Battjer,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Battier & Associates",366.0,,118118575.0,185828.0,Overseer,,True
"Hamilton V. Bowser, Sr.",Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Evanbow Construction Company, Inc",366.0,,118118575.0,185828.0,Overseer,,True
W. Stanley Brown,Trustee,New Jersey Institute Of Technology,,,Affiliation: Consultant,366.0,,118118575.0,185828.0,Overseer,,True
Oswald L. Cano,Trustee,New Jersey Institute Of Technology,,,"Affiliation: General Manager, Corporate Responsibilities, Public Service Electric and Gas Company",366.0,,118118575.0,185828.0,Overseer,,True
The Hon. Sharpe James,Ex Officio Trustee,New Jersey Institute Of Technology,,Education: Montclair State BA; Springfield (MA) MA,"Career: Professor, Essex County College, 1968-86",366.0,,118118575.0,185828.0,"Overseer, Ex Officio",,True
James A. Kennedy,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President and Chief Executive Officer, National Starch and Chemical Company",366.0,,118118575.0,185828.0,Overseer,,True
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,"Affiliation: Proprietor, Black Horse Inn",366.0,,118118575.0,185828.0,Overseer,,True
Victor A. Pelson,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Director and Senior Advisor, SBC Warburg Dillion Read IncSwiss Bank Ctr. One, 677 Washington Blvd., Stamford, CT 06901 Tel: (203) 719-3000 Fax: (203) 719-5499",366.0,,118118575.0,185828.0,Overseer,,True
Martin Tuchman,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Chairman and Chief Executive Officer, Interpool, Inc",366.0,,118118575.0,185828.0,Overseer,,True
The Hon. Christine Todd Whitman,Ex Officio Trustee,New Jersey Institute Of Technology,,Education: Wheaton (MA) 1968 BA,,366.0,,118118575.0,185828.0,"Overseer, Ex Officio",,True
"Tahlman Krumm, Jr",Chairman,Ohio State University,,South Florida BA; Ohio State PhD,"Founder and Chairman, Inquest LLC",387.0,,52357470.0,204796.0,Board President,,True
Gerald H. Gordon,Secretary,Ohio State University,,"Cleveland State BA, MA","President and Chief Operating Officer, Sun Media Corporation 5510 Cloverleaf Pkwy., Cleveland, OH 44125-4887 * Member of the Board",387.0,,52357470.0,204796.0,Other Board Member,,True
Robert A. Gardner,Ex Officio Regent,Ohio State University,,Bowling Green State BA,"Member, Ohio Senate 2170 Chimney Ridge Rd., Madison, OH 44057",387.0,,52357470.0,204796.0,"Trustee, Ex Officio",,True
Jeanette Grasselli Brown,Vice Chairperson,Ohio State University,,Ohio BS; Case Western MS,Chairperson of the Board of Trustees,387.0,,52357470.0,204796.0,Board Vice President,,True
Elizabeth K. Lanier,Regent,Ohio State University,,Smith BA; Columbia JD,"Vice President and General Counsel, GE Power Systems",387.0,,52357470.0,204796.0,Trustee,,True
Gerald M. Miller,Regent,Ohio State University,,Dayton BA,"Chairman and Managing Partner, Miller-Valentine Group",387.0,,52357470.0,204796.0,Trustee,,True
Thomas W. Noe,Regent,Ohio State University,,,"President, Vintage Coins and Cards",387.0,,52357470.0,204796.0,Trustee,,True
Stephen A. Perry,Regent,Ohio State University,,Akron BS; Stanford MS,"Vice President, Human Resources and Logistics, The Timken Company",387.0,,52357470.0,204796.0,Trustee,,True
J. Gilbert Reese,Regent,Ohio State University,,"Ohio State BA, JD","Senior Partner, Reese, Pyle, Drake & Mever",387.0,,52357470.0,204796.0,Trustee,,True
Ralph E. Schey P,Regent,Ohio State University,,Ohio BS; Harvard MBA,"Chairman and Chief Executive Officer, The Scott Fetzer Company",387.0,,52357470.0,204796.0,Trustee,,True
"Tahlman Krumm, Jr",Chairman,Ohio University,,South Florida BA; Ohio State PhD,"Founder and Chairman, Inquest LIC",389.0,,4210106879.0,204857.0,Board President,,True
Gerald H. Gordon,Secretary,Ohio University,,"Cleveland State BA, MA","President and Chief Operating Officer, Sun Media Corporation",389.0,,4210106879.0,204857.0,Other Board Member,,True
Robert A. Gardner,Ex Officio Regent,Ohio University,,Bowling Green State BA,"Member, Ohio Senate",389.0,,4210106879.0,204857.0,"Trustee, Ex Officio",,True
Jeanette Grasselli Brown,Vice Chairperson,Ohio University,,Ohio BS; Case Western MS,,389.0,,4210106879.0,204857.0,Board Vice President,,True
Elizabeth K. Lanier,Regent,Ohio University,,Smith BA; Columbia JD,"Vice President and General Counsel, GE Power Systems",389.0,,4210106879.0,204857.0,Trustee,,True
Gerald M. Miller,Regent,Ohio University,,Dayton BA,"Chairman and Managing Partner, Miller-Valentine Group",389.0,,4210106879.0,204857.0,Trustee,,True
Thomas W. Noe,Regent,Ohio University,,,"President, Vintage Coins and Cards; Chairman, Lucas County Republican Party, 1992-95",389.0,,4210106879.0,204857.0,Trustee,,True
Stephen A. Perry,Regent,Ohio University,,Akron BS; Stanford MS,"Vice President, Human Resources and Logistics, The Timken Company",389.0,,4210106879.0,204857.0,Trustee,,True
J. Gilbert Reese,Regent,Ohio University,,"Ohio State BA, JD","Senior Partner, Reese, Pyle, Drake & Meyer",389.0,,4210106879.0,204857.0,Trustee,,True
Ralph E. Schey,Regent,Ohio University,,Ohio BS; Harvard MBA,"Chairman and Chief Executive Officer, The Scott Fetzer Company",389.0,,4210106879.0,204857.0,Trustee,,True
Joan L. Bildner,Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,Trustee,,True
Ruben Cardona,Governor,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,Trustee,,True
Enrica Gloe Chretien,Assistant Secretary,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,Other Board Member,,True
Kevin J. Collins,Vice Chairman,Rutgers State University Of New Jersey,,,,435.0,,102322142.0,186380.0,Board Vice President,,True
Louie Crew,Faculty Representative Governor,Rutgers State University Of New Jersey,,Baylor 1958 BA; Auburn 1959 MA; Alabama 1971 PhD,"Associate Professor. Fort Valley State College, 1973-79; Associate Professor, University of Wisconsin, Stevens Point, 1979-84; Director, Writing Program, Chinese University, Hong Kong, 1984-87",435.0,,102322142.0,186380.0,Other Board Member,,True
"Albert R. Gamper, Jr",Governor,Rutgers State University Of New Jersey,,Rutgers BA; Harvard PMD,,435.0,,102322142.0,186380.0,Trustee,,True
