Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Notes,Career,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Kathleen Hannon Aikenhead,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Sister Rita Arthur, RSHM",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Robert C. Baker,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA; UCLA 1981 MBA,,436.0,,,35566140.0,117946.0,Regent,,True
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,Arizona State 1974 BS,,436.0,,,35566140.0,117946.0,Regent,,True
Larry R. Carter,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Alex Chaves, Sr",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
John F. Cosgrove,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Frederick B. Craves,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Rudy F. deLeon, Jr",Chairman,Loyola Marymount University,,Loyola Marymount 1969 BS,,436.0,,,35566140.0,117946.0,Board President,,True
R. Chad Dreier,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
George A.V. Dunning,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Rev. Paul J. Fitzgerald, S.J",Trustee,Loyola Marymount University,,"Santa Clara 1980 BA; Weston Theology 1991 MDiv, 1993",,436.0,,,35566140.0,117946.0,Regent,,True
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Sister Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Thomas G. Hynes,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Rev. Daniel K. Lahart, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Deborah Lanni,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Thomas E. Larkin, Jr.",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,436.0,,,35566140.0,117946.0,Regent,,True
"Rev. Robert B. Lawton, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Liam E. McGee,Trustee,Loyola Marymount University,,Loyola Law JD,,436.0,,,35566140.0,117946.0,Regent,,True
Paul W. Mikos,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Susan F. Moley,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Stephen M. Mosko,Trustee,Loyola Marymount University,,Loyola Marymount,,436.0,,,35566140.0,117946.0,Regent,,True
Stephen F. Page,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,436.0,,,35566140.0,117946.0,Regent,,True
Timothy G. Psomas,Trustee,Loyola Marymount University,,Loyola Marymount BS,"Chairman, PSOMAS
11444 West Olympic Boulevard, Los Angeles, CA 90064
Tel: (310) 954-3701",436.0,,,35566140.0,117946.0,Regent,,True
"Rev. Kevin P. Quinn, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Edward P. Roski, Jr.",Trustee,Loyola Marymount University,,USC 1962 BS,,436.0,,,35566140.0,117946.0,Regent,,True
Rev. Robert W. Scholla,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Michael R. Steed,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Elbridge H. Stuart I,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Rosemary L. Turner,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Walter F. Ulloa,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Rev. Jeffrey P. von Arx, S.J",Trustee,Loyola Marymount University,,"Princeton 1969 AB; Yale 1973 MA1975 MPhil, 1980 PhD; Weston Theology 1981 MDiv",,436.0,,,35566140.0,117946.0,Regent,,True
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
"Rev. Robert T. Walsh, S.J.",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Laura D. Williamson,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,"President, New Jersey Alliance for Action",494.0,,,118118575.0,185828.0,Overseer,,True
Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,,"President, Verizon New Jersey Inc",494.0,,,118118575.0,185828.0,Overseer,,True
Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,"Stanford 1991 BA, 1992 MA; Yale 1997 JD","Mayor, Office of the Mayor, City of Newark",494.0,,,118118575.0,185828.0,"Overseer, Ex Officio",,True
James M. Burns,Vice Chairman,New Jersey Institute Of Technology,,,"Partner, Genova, Burns & Vernoia",494.0,,,118118575.0,185828.0,Board Vice President,,True
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,,494.0,,,118118575.0,185828.0,Overseer,,True
Jon S. Corzine,Ex Officio Trustee,New Jersey Institute Of Technology,,Illinois 1969 BA; Chicago 1973 MBA,"Governor (D), State of New Jersey",494.0,,,118118575.0,185828.0,"Overseer, Ex Officio",,True
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris",494.0,,,118118575.0,185828.0,Overseer,,True
Stephen P. DePalma,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1972,"President and Chief Executive Officer, Schoor DePalma",494.0,,,118118575.0,185828.0,Board Vice President,,True
Elizabeth Garcia,Trustee,New Jersey Institute Of Technology,,,"Manager, Public Affairs, Infineum",494.0,,,118118575.0,185828.0,Overseer,,True
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,"Owner, Black Horse Inn",494.0,,,118118575.0,185828.0,Overseer,,True
Diane Montalto,Trustee,New Jersey Institute Of Technology,,,"Senior Director, Corporate Engineering and Facilities Management, Par Pharmaceutical Companies, Inc",494.0,,,118118575.0,185828.0,Overseer,,True
Arthur F. Powell,Trustee,New Jersey Institute Of Technology,,,"President, Powell Capital Markets, Inc",494.0,,,118118575.0,185828.0,Overseer,,True
David J. Samuel,Trustee,New Jersey Institute Of Technology,,,"Managing Partner, CME Associates",494.0,,,118118575.0,185828.0,Overseer,,True
Kevin F. Toolan,Trustee,New Jersey Institute Of Technology,,,"President and Chairman of the Board, T&M Associates",494.0,,,118118575.0,185828.0,Overseer,,True
Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,Other Board Member,,True
Bruce Fehn,Treasurer (Interim),Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,Other Board Member,,True
"Albert R. Gamper, Jr",Governor,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,Trustee,,True
Rochelle Gizinski,Governor,Rutgers State University Of New Jersey,,Rutgers 1980 BA; Seton Hall 1983 JD,"Partner, Abazia & Gininski, L.L.C",595.0,,,102322142.0,186380.0,Trustee,,True
Leslie Eugene Goodman,Governor,Rutgers State University Of New Jersey,,"Rutgers 1965 BA, 1970 MBA; Rutgers (Camden) 1980 JD","Chair, The Eagle Group",595.0,,,102322142.0,186380.0,Trustee,,True
"Rev. M. William Howard, Jr",Chairman,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA; Princeton Sem 1972 MDiv,"Pastor, Bethany Baptist Church",595.0,,,102322142.0,186380.0,Board President,,True
Robert A. Laudicina,Governor,Rutgers State University Of New Jersey,,"Rutgers 1963 BA, 1965 MA; Columbia 1968 PhD",,595.0,,,102322142.0,186380.0,Trustee,,True
Duncan L. MacMillan,Governor,Rutgers State University Of New Jersey,,Rutgers 1966 BA; Fordham 1967 MA; NYU 1971 MBA,,595.0,,,102322142.0,186380.0,Trustee,,True
Richard L. McCormick,President,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,Board President,,True
Richard L. McCormick,Ex Officio Governor,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,"Trustee, Ex Officio",,True
Patricia Nachtigal,Vice Chairman,Rutgers State University Of New Jersey,,Montclair State Col 1968 BA; Rutgers (Newark) 1976 JD; NYU 1982 LLM,"Senior Vice President and General Counsel, Ingersoll-Rand Company Limited",595.0,,,102322142.0,186380.0,Board Vice President,,True
Eugene Michael O'Hara,Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1962 BS,"Chief Financial Officer, Prudential Insurance Company of America",595.0,,,102322142.0,186380.0,Trustee,,True
Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,Other Board Member,,True
"John F. Russo, Sr.",Governor,Rutgers State University Of New Jersey,,Notre Dame 1955; Columbia 1958 JD,"Partner, Princeton Public Affairs Group, Inc",595.0,,,102322142.0,186380.0,Trustee,,True
Patrick M. Ryan,Governor,Rutgers State University Of New Jersey,,Notre Dame 1967,"President and Chief Executive Officer, Yardville National Bank; Trustee, Board of Trustees, Rutgers, The State University of New Jersey",595.0,,,102322142.0,186380.0,Trustee,,True
George R. Zoffinger,Governor,Rutgers State University Of New Jersey,,Penn State 1970 BA: NYU 1971 MA,"President and Chief Executive Officer, New Jersey Sports and Exposition Authority Capital Corporation",595.0,,,102322142.0,186380.0,Trustee,,True
Kurt T. Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc",626.0,,,12524447.0,186584.0,Regent,,True
Gerald P. Buccino,Trustee,Seton Hall University,,,"President, The Buccino Foundation",626.0,,,12524447.0,186584.0,Regent,,True
Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,,626.0,,,12524447.0,186584.0,Board Vice President,,True
Monsignor John Doran,Trustee,Seton Hall University,,,"Vicar General and Moderator of the Curia, Archdiocese of Newark",626.0,,,12524447.0,186584.0,Regent,,True
Phillip Frese,Trustee,Seton Hall University,,,"Executive Vice President, Operations, Catholic Health and Human Services Corporation",626.0,,,12524447.0,186584.0,Regent,,True
Joseph P. LaSala,Trustee,Seton Hall University,,St Peter's Col 1969 BS; Seton Hall 1972 JD,"Partner, McElroy, Deutsch, Mulvaney & Carpenter, LLP",626.0,,,12524447.0,186584.0,Regent,,True
The Most Reverend John J. Myers,Chairman,Seton Hall University,,,"Archbishop, Archdiocese of Newark",626.0,,,12524447.0,186584.0,Board President,,True
Rev. Joseph Reilly,Trustee,Seton Hall University,,,,626.0,,,12524447.0,186584.0,Regent,,True
John J. Schimpf,Trustee,Seton Hall University,,,"Consultant and Portfolio Manager, Denholtz Associates",626.0,,,12524447.0,186584.0,Regent,,True
The Most Reverend Aurthur J. Serratelli,Trustee,Seton Hall University,,Seton Hall 1965 BA; Pontifical Gregorian (Italy) DD,"Affiliation: Bishop, Diocese of Paterson",626.0,,,12524447.0,186584.0,Regent,,True
Thomas J. Sharkey,Trustee,Seton Hall University,,,"General Partner, Sharkey & Associates, LLC",626.0,,,12524447.0,186584.0,Regent,,True
Monsignor Robert Sheeran,Trustee,Seton Hall University,,,,626.0,,,12524447.0,186584.0,Regent,,True
Pamela M. Swartzberg.,Secretary,Seton Hall University,,,"Chair, Womens Commission, Archdiocese of Newark",626.0,,,12524447.0,186584.0,Other Board Member,,True
Bruce A. Tomason,Trustee,Seton Hall University,,,"President and Chief Executive Officer, Alterna LLC",626.0,,,12524447.0,186584.0,Regent,,True
Monsignor Robert Wister,Trustee,Seton Hall University,,,,626.0,,,12524447.0,186584.0,Regent,,True
Randy A. Daniels,Vice Chairman,State University Of New York System,,Southern Illinois BA,,660.0,,,1327163397.0,,Board Vice President,,True
Father John J. Cremins,Member,State University Of New York System,,,,660.0,,,1327163397.0,,Member,,True
Edward F. Cox,Member,State University Of New York System,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,1327163397.0,,Member,,True
Christopher Parker Conners,Member,State University Of New York System,,,Vice President. British American,660.0,,,1327163397.0,,Member,,True
Thomas F. Egan,Trustee,State University Of New York System,,,,660.0,,,1327163397.0,,Member,,True
Timothy B. Anderson,Trustee,University Of Utah,,Southern Utah 1975 BA; J Reuben Clark Law 1978 JD,,920.0,,,223532165.0,230764.0,Regent,,True
Roger H. Boyer,Vice Chairman,University Of Utah,,,,921.0,,,223532165.0,230764.0,Board Vice President,,True
Randy L. Dryer,Chairman,University Of Utah,,,,921.0,,,223532165.0,230764.0,Board President,,True
C. Hope Eccles,Trustee,University Of Utah,,,"Chairman, Salt Lake City (UT) Branch, Federal Reserve System",921.0,,,223532165.0,230764.0,Regent,,True
Clark D. Ivory,Trustee,University Of Utah,,,,921.0,,,223532165.0,230764.0,Regent,,True
Spencer Kinard,Trustee,University Of Utah,,,,921.0,,,223532165.0,230764.0,Regent,,True
Scott Parker,Trustee,University Of Utah,,,,921.0,,,223532165.0,230764.0,Regent,,True
Spencer Pearson,Student Trustee,University Of Utah,,,,921.0,,,223532165.0,230764.0,Other Board Member,,True
Lorena Riffo-Jenson,Trustee,University Of Utah,,,,921.0,,,223532165.0,230764.0,Regent,,True
Laura Snow,Secretary,University Of Utah,,,,921.0,,,223532165.0,230764.0,Other Board Member,,True
Jim M. Wall,Trustee,University Of Utah,,,,921.0,,,223532165.0,230764.0,Regent,,True
Lee H. Burke,Secretary,Utah State University,,,"Partner, PricewaterhouseCoopers",967.0,,,121980950.0,230728.0,Other Board Member,,True
David P. Cook,Trustee,Utah State University,,,,967.0,,,121980950.0,230728.0,Regent,,True
Robert L. Foley,Trustee,Utah State University,,"Utah State 1972 BA, 1974 MS: Utah 1978 JD","Attorney, Foxley & Pignanelli",967.0,,,121980950.0,230728.0,Regent,,True
Douglas S. Foxley,Trustee,Utah State University,,,"Attorney, Foxley & Pignanelli",967.0,,,121980950.0,230728.0,Regent,,True
David Johnson III,Trustee,Utah State University,,,"Debt Collections Office Director, Administrative Services Department, State of Utah",967.0,,,121980950.0,230728.0,Regent,,True
Peter A. McChesney,Trustee,Utah State University,,,,967.0,,,121980950.0,230728.0,Regent,,True
Suzanne Pierce Moore,Vice Chairman,Utah State University,,,,967.0,,,121980950.0,230728.0,Board Vice President,,True
Richard Nelson,Trustee,Utah State University,,,,967.0,,,121980950.0,230728.0,Regent,,True
Paul D. Parkinson,Trustee,Utah State University,,,,967.0,,,121980950.0,230728.0,Regent,,True
Richard Shipley,Chairman,Utah State University,,,"President and Chief Executive Officer, Shipley Associates",967.0,,,121980950.0,230728.0,Board President,,True
Scott R. Watterson,Trustee,Utah State University,,,,967.0,,,121980950.0,230728.0,Regent,,True
David J. Azrieli,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Jayne G. Beker,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Jack A. Belz,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Robert M. Beren,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Julius Berman,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Marvin S. Bienenfeld,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Marjorie Diener Blenden,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Ludwig Bravmann,Vice Chairman,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Board Vice President,,True
Sender Z. Cohen,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Warren Eisenberg,Trustee,Yeshiva University,,,"Co-Chairman, Bed Bath & Beyond Inc650 Liberty Avenue, Union, NJ 07083",1030.0,,,19772626.0,197708.0,Overseer,,True
David Eshaghian,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Jeffrey J. Feil,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Felix L. Glaubach,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Alan E. Goldberg,Trustee,Yeshiva University,,NYU BA. MBA: Yeshiva JD,"Co-Managing Partner, Lindsay Goldberg & Bessemer G.P. LLC",1030.0,,,19772626.0,197708.0,Overseer,,True
David S. Gottesman,Trustee,Yeshiva University,,,"Senior Managing Director, First Manhattan Co",1030.0,,,19772626.0,197708.0,Overseer,,True
Kathryn O. Greenberg,Trustee,Yeshiva University,,,"Founder and Honorary Chairman, New York Legal Assistance Group450 West 33rd Street, 11th Floor, New York, NY 10001",1030.0,,,19772626.0,197708.0,Overseer,,True
Fanva Gottesfeld Heller,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Ronnie Heyman,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Lance L. Hirt,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
E. Billi Ivry,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Michael G. Jesselson,Trustee,Yeshiva University,,,"President, Jesselson Capital Corporation",1030.0,,,19772626.0,197708.0,Overseer,,True
Richard M. Joel,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Marcos D. Katz,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Mordecai D. Katz,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Henry Kressel,Trustee,Yeshiva University,,,"Managing Director, Warburg Pincus LLC",1030.0,,,19772626.0,197708.0,Overseer,,True
Ira Kukin,Vice Chairman,Yeshiva University,,,"Chairman, Apollo Technologies International",1030.0,,,19772626.0,197708.0,Board Vice President,,True
Norman Lamm,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Bernard L. Madoff,Treasurer,Yeshiva University,,,"Principal/Member, Bernard L. Madoff Investment Securities LLC",1030.0,,,19772626.0,197708.0,Other Board Member,,True
Matthew J. Maryles,Trustee,Yeshiva University,,Brooklyn BS; Brooklyn Law JD,"Member, Wolf Maryles & Associates, LLC",1030.0,,,19772626.0,197708.0,Overseer,,True
J. Ezra Merkin,Trustee,Yeshiva University,,,"Managing Partner, Gabriel Capital Group",1030.0,,,19772626.0,197708.0,Overseer,,True
Ira M. Millstein,Trustee,Yeshiva University,,Columbia 1949 LLB,"Senior Partner, Weil, Gotshal & Manges LLP",1030.0,,,19772626.0,197708.0,Overseer,,True
Joshua L. Muss,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Vivian Glueck Rosenberg,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
David I. Schachne,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Jav L. Schottenstein,Trustee,Yeshiva University,,,"Chairman of the Board and Chief Executive Officer, DSW Inc4150 East Fifth Avenue, Columbus, OH 43219",1030.0,,,19772626.0,197708.0,Overseer,,True
Irwin Shapiro,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Ronald P. Stanton,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Moshael J. Straus,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Sy Syms,Vice Chairman,Yeshiva University,,,"Chairman, Syms Corporation",1030.0,,,19772626.0,197708.0,Board Vice President,,True
Morry J. Weiss,Chairman,Yeshiva University,,,"Chairman, American Greetings Corporation One American Road, Cleveland, OH 44144-2398",1030.0,,,19772626.0,197708.0,Board President,,True
Josh S. Weston,Trustee,Yeshiva University,,CCNY 1950 BS,"Honorary Chairman, Automatic Data Processing, Inc. (1998-2004)",1030.0,,,19772626.0,197708.0,Overseer,,True
Joseph Wilf,Vice Chairman,Yeshiva University,,,"Chief Executive Officer, Garden Homes Management Corporation",1030.0,,,19772626.0,197708.0,Board Vice President,,True
David Yagoda,Trustee,Yeshiva University,,,,1030.0,,,19772626.0,197708.0,Overseer,,True
Lori L. Wagner,Board Member,Virginia Polytechnic Institute And State University,,Virginia Tech,,980.0,,,859038795.0,233921.0,Member,,True
Philip S. Thompson,Board Member,Virginia Polytechnic Institute And State University,,,,979.0,,,859038795.0,233921.0,Member,,True
